Unnamed: 0,NYJ,SDG
First Downs,20,24
Rush-Yds-TDs,28-126-0,33-100-0
Cmp-Att-Yd-TD-INT,23-33-279-2-0,31-42-319-2-1
Sacked-Yards,2-9,2-11
Net Pass Yards,270,308
Total Yards,396,408
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,8-49,9-75
Third Down Conv.,5-13,6-15
Fourth Down Conv.,0-0,0-0
Time of Possession,35:39,39:16
