Quarter,Time,Tm,Detail,NYJ,SDG
2,9:26,Chargers,Keenan McCardell 26 yard pass from Drew Brees (Nate Kaeding kick),0,7
,2:54,Jets,Anthony Becht 13 yard pass from Chad Pennington (Doug Brien kick),7,7
3,10:29,Jets,Santana Moss 47 yard pass from Chad Pennington (Doug Brien kick),14,7
,1:23,Jets,Doug Brien 42 yard field goal,17,7
4,10:43,Chargers,Nate Kaeding 35 yard field goal,17,10
,0:11,Chargers,Antonio Gates 1 yard pass from Drew Brees (Nate Kaeding kick),17,17
OT,0:05,Jets,Doug Brien 28 yard field goal,20,17
