Unnamed: 0,DEN,OAK
First Downs,18,20
Rush-Yds-TDs,38-121-1,17-60-0
Cmp-Att-Yd-TD-INT,16-22-205-1-0,26-50-310-2-3
Sacked-Yards,0-0,4-35
Net Pass Yards,205,275
Total Yards,326,335
Fumbles-Lost,2-2,1-0
Turnovers,2,3
Penalties-Yards,4-30,9-58
Third Down Conv.,5-13,4-15
Fourth Down Conv.,0-0,3-3
Time of Possession,30:47,29:13
