Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA
1,5:23,4,2,MIA 47,0,0,Brandon Fields punts 47 yards,-0.260,0.380
1,5:16,1,10,CLE 6,0,0,Peyton Hillis right tackle for 13 yards (tackle by Chris Clemons),-0.380,0.150
1,4:44,1,10,CLE 19,0,0,Peyton Hillis right end for 2 yards (tackle by Paul Soliai),0.150,-0.060
1,4:05,2,8,CLE 21,0,0,Jake Delhomme pass complete short middle to Brian Robiskie for 5 yards (tackle by Karlos Dansby),-0.060,-0.160
1,3:26,3,3,CLE 26,0,0,Jake Delhomme pass incomplete,-0.160,-1.630
1,3:18,4,3,CLE 26,0,0,"Reggie Hodges punts 44 yards, muffed catch by Jonathon Amaya, ball out of bounds at MIA-30",-1.630,-0.940
1,3:09,1,10,MIA 30,0,0,Ronnie Brown right tackle for 9 yards (tackle by Abram Elam),0.940,1.610
1,2:29,2,1,MIA 39,0,0,Ronnie Brown left guard for 3 yards (tackle by Ahtyba Rubin),1.610,1.730
1,1:52,1,10,MIA 42,0,0,Chad Henne pass complete short left to Davone Bess for 8 yards (tackle by Sheldon Brown),1.730,2.270
1,1:09,2,2,,0,0,Ronnie Brown middle for 1 yard (tackle by Shaun Rogers),2.270,1.690
1,0:29,3,1,CLE 49,0,0,Chad Henne pass incomplete short right intended for Lousaka Polite,1.690,0.000
1,0:25,4,1,CLE 49,0,0,"Brandon Fields punts 35 yards, fair catch by Josh Cribbs",0.000,0.280
1,0:17,1,10,CLE 14,0,0,Peyton Hillis right guard for 1 yard (tackle by Tim Dobbins),-0.280,-0.640
Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,CLE 15,0,0,Jake Delhomme pass complete short right to Peyton Hillis for no gain,-0.640,-1.280
2,14:19,3,9,CLE 15,0,0,Jake Delhomme pass complete short middle to Ben Watson for 15 yards,-1.280,0.940
2,13:42,1,10,CLE 30,0,0,Jake Delhomme pass incomplete,0.940,0.390
2,13:35,2,10,CLE 30,0,0,Peyton Hillis right tackle for 3 yards (tackle by Cameron Wake),0.390,0.100
2,12:51,3,7,CLE 33,0,0,Jake Delhomme pass incomplete short right intended for Mohamed Massaquoi (defended by Yeremiah Bell),0.100,-1.180
2,12:45,4,7,CLE 33,0,0,"Reggie Hodges punts 58 yards, returned by Davone Bess for 15 yards (tackle by T.J. Ward)",-1.180,-0.540
2,12:34,1,10,MIA 24,0,0,Chad Henne pass incomplete deep right intended for Brian Hartline is intercepted by Joe Haden at CLE-36,0.540,-1.330
2,12:22,1,10,CLE 36,0,0,Jake Delhomme pass complete short left to Peyton Hillis for 1 yard (tackle by Karlos Dansby),1.330,0.930
2,11:40,2,9,CLE 37,0,0,Jake Delhomme pass complete short left to Mohamed Massaquoi for 3 yards (tackle by Sean Smith),0.930,0.630
2,10:58,3,6,CLE 40,0,0,Jake Delhomme pass incomplete short right intended for Chansi Stuckey,0.630,-0.720
2,10:53,4,6,CLE 40,0,0,"Reggie Hodges punts 40 yards, fair catch by Davone Bess",-0.720,-0.280
2,10:44,1,10,MIA 20,0,0,"Ronnie Brown left tackle for 2 yards (tackle by Ahtyba Rubin). Penalty on Vernon Carey: Offensive Holding, 10 yards (no play)",0.280,-0.760
2,10:20,1,20,MIA 10,0,0,Ricky Williams right tackle for 5 yards (tackle by Kenyon Coleman),-0.760,-1.070
2,9:43,2,15,MIA 15,0,0,Chad Henne pass incomplete short right intended for Marlon Moore (defended by Joe Haden),-1.070,-1.860
2,9:37,3,15,MIA 15,0,0,Chad Henne pass incomplete deep left intended for Brian Hartline,-1.860,-2.440
2,9:31,4,15,MIA 15,0,0,"Brandon Fields punts 57 yards, returned by Josh Cribbs for 13 yards (tackle by Patrick Cobbs)",-2.440,-1.660
2,9:20,1,10,CLE 41,0,0,Peyton Hillis middle for 2 yards (tackle by Paul Soliai),1.660,1.390
2,8:37,2,8,CLE 43,0,0,Peyton Hillis left tackle for 10 yards (tackle by Chris Clemons),1.390,2.460
2,8:05,1,10,MIA 47,0,0,Peyton Hillis right end for no gain (tackle by Tim Dobbins and Tony McDaniel),2.460,1.910
2,7:25,2,10,MIA 47,0,0,Jake Delhomme pass complete short middle to Peyton Hillis for 4 yards (tackle by Vontae Davis),1.910,1.750
2,6:44,3,6,MIA 43,0,0,Peyton Hillis left end for 1 yard (tackle by Koa Misi),1.750,0.460
2,6:11,4,5,MIA 42,0,0,Reggie Hodges punts 41 yards,0.460,0.380
2,5:57,1,10,MIA 1,0,0,"Chad Henne pass complete short left to Davone Bess for 23 yards (tackle by Jason Trusnik). Penalty on Davone Bess: Taunting, 12 yards",-0.380,-0.350
2,5:29,1,10,MIA 12,0,0,Ricky Williams right guard for 5 yards (tackle by Brian Schaefering),-0.350,-0.230
2,4:51,2,5,MIA 17,0,0,Ricky Williams right end for 7 yards (tackle by Abram Elam),-0.230,0.540
2,4:13,1,10,MIA 24,0,0,Ronnie Brown middle for 4 yards (tackle by Ahtyba Rubin),0.540,0.540
2,3:37,2,6,MIA 28,0,0,Chad Henne pass incomplete deep middle intended for Davone Bess is intercepted by Abram Elam at MIA-46 and returned for 18 yards,0.540,-3.710
2,3:24,1,10,MIA 28,0,0,Jake Delhomme pass complete short middle to Peyton Hillis for 3 yards (tackle by Tim Dobbins),3.710,3.570
2,2:45,2,7,MIA 25,0,0,Jake Delhomme pass incomplete deep middle intended for Chansi Stuckey (defended by Chris Clemons),3.570,2.870
2,2:33,3,7,MIA 25,0,0,Jake Delhomme pass complete short right to Ben Watson for 7 yards (tackle by Yeremiah Bell),2.870,4.370
2,2:05,,,,0,0,Timeout #1 by Cleveland Browns,0.000,4.370
2,2:05,1,10,MIA 18,0,0,Peyton Hillis middle for no gain (tackle by Randy Starks),4.370,3.800
2,1:59,2,10,MIA 18,0,0,Jake Delhomme pass complete short right to Peyton Hillis for 4 yards (tackle by Quentin Moses),3.800,3.630
2,1:53,3,6,MIA 14,0,0,Jake Delhomme pass incomplete short left intended for Mohamed Massaquoi,3.630,2.530
2,1:47,4,6,MIA 14,3,0,Phil Dawson 32 yard field goal good,2.530,3.000
2,,,,CLE 30,3,0,"Phil Dawson kicks off 67 yards, returned by Nolan Carroll for 31 yards (tackle by Joe Haden)",0.000,1.200
2,1:37,1,10,MIA 34,3,0,"Chad Henne pass complete short right to Patrick Cobbs for 11 yards (tackle by Mike Adams). Penalty on Matt Roth: Roughing the Passer, 15 yards",1.200,2.920
2,1:21,1,10,CLE 40,3,0,Ronnie Brown middle for no gain (tackle by Matt Roth),2.920,2.370
2,1:01,2,10,CLE 40,3,0,Chad Henne pass complete short left to Roberto Wallace for 9 yards (tackle by Sheldon Brown),2.370,2.870
2,0:52,3,1,CLE 31,3,0,Chad Henne middle for 2 yards (tackle by Matt Roth),2.870,3.640
2,0:41,,,,3,0,Timeout #1 by Miami Dolphins,0.000,3.640
2,0:41,1,10,CLE 29,3,0,Chad Henne sacked by Shaun Rogers for -7 yards,3.640,2.160
2,0:32,,,,3,0,Timeout #2 by Miami Dolphins,0.000,2.160
2,0:32,2,17,CLE 36,3,0,Chad Henne pass incomplete short left intended for Roberto Wallace (defended by Sheldon Brown),2.160,1.490
2,0:25,3,17,CLE 36,3,0,"Chad Henne pass complete short left to Patrick Cobbs for 10 yards (tackle by David Bowens). Penalty on Roberto Wallace: Offensive Pass Interfere, 10 yards (no play)",1.490,0.170
2,0:14,,,,3,0,Timeout #3 by Miami Dolphins,0.000,0.000
2,0:14,,,,3,0,Timeout #2 by Cleveland Browns,0.000,0.170
2,0:14,3,27,CLE 46,3,0,Chad Henne pass complete short left to Davone Bess for 4 yards,0.170,0.460
2,0:07,4,23,CLE 42,3,3,Dan Carpenter 60 yard field goal good,0.460,3.000
2,,,,MIA 30,3,3,Dan Carpenter kicks off 44 yards,0.000,0.670
2,0:01,1,10,CLE 26,3,3,Jake Delhomme kneels for -1 yards,0.670,-0.010
Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 30,3,3,"Dan Carpenter kicks off 71 yards, returned by Josh Cribbs for 27 yards (tackle by Vontae Davis)",0.000,0.670
3,14:54,1,10,CLE 26,3,3,Peyton Hillis left tackle for 1 yard (tackle by Vontae Davis),0.670,0.270
3,14:19,2,9,CLE 27,3,3,Peyton Hillis middle for 2 yards (tackle by Paul Soliai),0.270,-0.160
3,13:32,3,7,CLE 29,3,3,Jake Delhomme pass incomplete short right intended for Peyton Hillis (defended by Benny Sapp),-0.160,-1.440
3,13:27,4,7,CLE 29,3,3,"Reggie Hodges punts 46 yards, returned by Davone Bess for 3 yards (tackle by Jason Trusnik)",-1.440,-0.810
3,13:15,1,10,MIA 28,3,3,Ricky Williams left end for 7 yards (tackle by Abram Elam),0.810,1.210
3,12:41,2,3,MIA 35,3,3,Ricky Williams left tackle for 4 yards (tackle by Brian Schaefering),1.210,1.530
3,12:03,1,10,MIA 39,3,3,Chad Henne pass incomplete short left intended for Anthony Fasano (defended by Jason Trusnik),1.530,0.990
3,12:00,2,10,MIA 39,3,3,Chad Henne pass complete short right to Davone Bess for 6 yards (tackle by Joe Haden),0.990,1.090
3,11:21,3,4,MIA 45,3,3,Chad Henne pass incomplete short right intended for Brian Hartline,1.090,-0.390
3,11:17,4,4,MIA 45,3,3,"Brandon Fields punts 55 yards, touchback",-0.390,-0.280
3,11:05,1,10,CLE 20,3,3,Jake Delhomme pass complete deep middle to Ben Watson for 20 yards (tackle by Yeremiah Bell),0.280,1.600
3,10:34,1,10,CLE 40,3,3,Jake Delhomme pass complete short right to Ben Watson for 5 yards (tackle by Koa Misi),1.600,1.730
3,10:15,2,5,CLE 45,3,3,Peyton Hillis middle for 7 yards (tackle by Kendall Langford),1.730,2.390
3,9:40,1,10,MIA 48,3,3,Jake Delhomme pass complete short middle to Ben Watson for 22 yards (tackle by Koa Misi and Yeremiah Bell),2.390,3.840
3,9:04,1,10,MIA 26,3,3,Peyton Hillis middle for 1 yard (tackle by Kendall Langford),3.840,3.430
3,8:24,2,9,MIA 25,3,3,Jake Delhomme pass complete short left to Brian Robiskie for 5 yards (tackle by Tim Dobbins),3.430,3.400
3,7:45,3,4,MIA 20,3,3,Jake Delhomme sacked by Tony McDaniel and Cameron Wake for -9 yards,3.400,1.500
3,7:18,4,13,MIA 29,3,3,Phil Dawson 47 yard field goal no good,1.500,-1.400
3,7:12,1,10,MIA 37,3,3,Chad Henne pass incomplete deep middle intended for Davone Bess,1.400,0.860
3,7:06,2,10,MIA 37,3,3,Chad Henne pass complete short left to Anthony Fasano for 12 yards (tackle by Chris Gocong),0.860,2.190
3,6:25,1,10,MIA 49,3,3,Ronnie Brown right end for 2 yards (tackle by Joe Haden),2.190,1.920
3,5:45,2,8,CLE 49,3,3,Chad Henne pass incomplete deep middle intended for Marlon Moore (defended by Joe Haden),1.920,1.220
3,5:38,3,8,CLE 49,3,3,Ronnie Brown right end for 3 yards (tackle by Joe Haden),1.220,0.200
3,5:06,4,5,CLE 46,3,3,"Brandon Fields punts 35 yards, muffed catch by Josh Cribbs, recovered by Josh Cribbs and returned for no gain. Penalty on Marcus Benard: Offensive Holding, 5 yards",0.200,0.380
3,4:56,1,10,CLE 6,3,3,Peyton Hillis middle for 3 yards (tackle by Paul Soliai),-0.380,-0.560
3,4:15,2,7,CLE 9,3,3,Jake Delhomme pass complete deep right to Mohamed Massaquoi for 37 yards (tackle by Chris Clemons),-0.560,1.990
3,3:29,1,10,CLE 46,3,3,Jake Delhomme pass complete short middle to Ben Watson for 15 yards (tackle by Tim Dobbins),1.990,2.980
3,2:50,1,10,MIA 39,3,3,Peyton Hillis middle for 3 yards (tackle by Randy Starks and Tim Dobbins),2.980,2.850
3,2:10,2,7,MIA 36,3,3,Jake Delhomme pass complete short left to Mohamed Massaquoi for 33 yards (tackle by Sean Smith),2.850,6.510
3,1:22,1,3,MIA 3,9,3,"Jake Delhomme pass complete short middle to Ben Watson for 3 yards, touchdown",6.510,7.000
3,,,,MIA 2,10,3,Phil Dawson kicks extra point good,0.000,0.000
3,,,,CLE 30,10,3,"Phil Dawson kicks off 74 yards, touchback",0.000,0.280
3,1:16,1,10,MIA 20,10,3,Chad Henne pass complete short right to Anthony Fasano for 14 yards (tackle by Abram Elam),0.280,1.200
3,0:38,1,10,MIA 34,10,3,Chad Henne pass complete short right to Ricky Williams for 17 yards (tackle by Abram Elam),1.200,2.320
3,0:02,1,10,CLE 49,10,3,Chad Henne pass complete short right to Ronnie Brown for 3 yards (tackle by Joe Haden),2.320,2.190
Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,CLE 46,10,3,Chad Henne pass complete short right to Ricky Williams for 2 yards (tackle by David Bowens),2.190,1.750
4,14:14,3,5,CLE 44,10,3,Chad Henne middle for 10 yards,1.750,3.310
4,13:29,1,10,CLE 34,10,3,Ricky Williams right tackle for 4 yards (tackle by Matt Roth),3.310,3.310
4,12:53,2,6,CLE 30,10,3,Ronnie Brown for 3 yards,3.310,3.010
4,12:17,3,3,CLE 27,10,3,Chad Henne pass complete short right to Davone Bess for 9 yards (tackle by Joe Haden and T.J. Ward),3.010,4.370
4,12:07,1,10,CLE 18,10,3,Ronnie Brown right end for 5 yards (tackle by David Bowens),4.370,4.610
4,11:14,2,5,CLE 13,10,3,Ronnie Brown middle for 2 yards (tackle by Chris Gocong),4.610,4.260
4,10:33,3,3,CLE 11,10,9,"Chad Henne pass complete short middle to Anthony Fasano for 11 yards, touchdown",4.260,7.000
4,,,,CLE 2,10,10,Dan Carpenter kicks extra point good,0.000,0.000
4,,,,MIA 30,10,10,"Dan Carpenter kicks off 71 yards, returned by Josh Cribbs for 23 yards (tackle by Reshad Jones)",0.000,0.410
4,10:21,1,10,CLE 22,10,10,Jake Delhomme pass complete short right to Ben Watson for 2 yards (tackle by Karlos Dansby),0.410,0.140
4,9:46,2,8,CLE 24,10,10,Jake Delhomme pass incomplete short middle intended for Peyton Hillis,0.140,-0.560
4,9:41,3,8,CLE 24,10,10,Jake Delhomme pass incomplete deep right intended for Mohamed Massaquoi,-0.560,-1.770
4,9:36,4,8,CLE 24,10,10,"Reggie Hodges punts 49 yards, returned by Davone Bess for 8 yards (tackle by Marcus Benard)",-1.770,-1.270
4,9:25,1,10,MIA 35,10,10,Ronnie Brown middle for 5 yards (tackle by Brian Schaefering),1.270,1.400
4,8:49,2,5,MIA 40,10,10,Ronnie Brown left end for -2 yards (tackle by T.J. Ward),1.400,0.430
4,8:03,3,7,MIA 38,10,10,Chad Henne right tackle for 1 yard (tackle by Shaun Rogers),0.430,-0.780
4,7:29,4,6,MIA 39,10,10,"Brandon Fields punts 61 yards, touchback",-0.780,-0.280
4,7:20,1,10,CLE 20,10,10,"Jake Delhomme middle for 2 yards (tackle by Kendall Langford and Tim Dobbins). Penalty on Floyd Womack: Offensive Holding, 10 yards (no play)",0.280,-0.760
4,6:51,1,20,CLE 10,10,10,Jake Delhomme pass complete short right to Ben Watson for 7 yards (tackle by Cameron Wake),-0.760,-0.790
4,6:14,2,13,CLE 17,10,10,Jake Delhomme pass complete short right to Peyton Hillis for 8 yards (tackle by Yeremiah Bell),-0.790,-0.300
4,5:29,3,5,CLE 25,10,10,Jake Delhomme pass complete short right to Chansi Stuckey for 4 yards (tackle by Benny Sapp),-0.300,-1.440
4,4:54,4,1,CLE 29,10,10,"Reggie Hodges punts 59 yards, returned by Davone Bess for 10 yards (tackle by Mike Adams)",-1.440,-0.410
4,4:42,1,10,MIA 22,10,10,Chad Henne left tackle for 2 yards (tackle by Jason Trusnik),0.410,0.140
4,4:02,2,8,MIA 24,10,10,Chad Henne pass incomplete short right intended for Ricky Williams (defended by David Bowens),0.140,-0.560
4,3:54,3,8,MIA 24,10,10,Chad Henne pass incomplete short left intended for Roberto Wallace,-0.560,-1.770
4,3:48,4,8,MIA 24,10,10,Brandon Fields punts 58 yards,-1.770,-0.040
4,3:39,1,10,CLE 18,10,10,Peyton Hillis right guard for 2 yards (tackle by Randy Starks),0.040,-0.130
4,3:04,,,,10,10,Timeout #1 by Miami Dolphins,0.000,-0.130
4,3:04,2,8,CLE 20,10,10,Peyton Hillis middle for 6 yards (tackle by Tim Dobbins),-0.130,-0.140
4,2:46,3,2,CLE 26,10,10,"Jake Delhomme middle for 1 yard. Penalty on Randy Starks: Defensive 12 On-field, 5 yards (no play)",-0.140,1.000
4,2:36,1,10,CLE 31,10,10,Jake Delhomme pass complete short right to Mohamed Massaquoi for 8 yards (tackle by Vontae Davis),1.000,1.540
4,2:00,2,2,CLE 39,10,10,Jake Delhomme sacked by Cameron Wake for -8 yards,1.540,-0.230
4,1:49,,,,10,10,Timeout #2 by Miami Dolphins,0.000,-0.230
4,1:49,3,10,CLE 31,10,10,Jake Delhomme pass incomplete short left intended for Ben Watson (defended by Nolan Carroll),-0.230,-1.310
4,1:44,4,10,CLE 31,10,10,"Reggie Hodges punts 56 yards, returned by Davone Bess for 12 yards (tackle by Mike Adams)",-1.310,-0.610
4,1:34,1,10,MIA 25,10,10,Ronnie Brown left end for 1 yard (tackle by Matt Roth),0.610,0.200
4,1:10,2,9,MIA 26,10,10,Chad Henne pass incomplete short middle intended for Anthony Fasano (defended by David Bowens),0.200,-0.490
4,1:05,3,9,MIA 26,10,10,Chad Henne pass incomplete short left intended for Davone Bess is intercepted by Mike Adams at MIA-27 and returned for 25 yards,-0.490,-6.740
4,0:54,1,2,MIA 2,10,10,Jake Delhomme kneels for -2 yards (tackle by Koa Misi),6.740,5.340
4,0:51,,,,10,10,Timeout #3 by Miami Dolphins,0.000,5.340
4,0:51,2,4,MIA 4,10,10,Jake Delhomme kneels for -1 yards,5.340,4.260
4,0:15,3,5,MIA 5,10,10,Jake Delhomme kneels for -1 yards,4.260,2.990
4,0:04,,,,10,10,Timeout #1 by Cleveland Browns,0.000,2.990
4,0:04,4,6,MIA 6,13,10,Phil Dawson 23 yard field goal good,2.990,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
