Unnamed: 0,CLE,MIA
First Downs,12,17
Rush-Yds-TDs,22-52-0,32-114-0
Cmp-Att-Yd-TD-INT,24-34-217-1-0,16-32-174-1-3
Sacked-Yards,2-17,1-7
Net Pass Yards,200,167
Total Yards,252,281
Fumbles-Lost,1-0,1-0
Turnovers,0,3
Penalties-Yards,4-45,4-37
Third Down Conv.,2-14,4-14
Fourth Down Conv.,0-0,0-0
Time of Possession,29:24,30:36
