Quarter,Time,Tm,Detail,CLE,MIA
2.0,1:43,Browns,Phil Dawson 32 yard field goal,3,0
,0:02,Dolphins,Dan Carpenter 60 yard field goal,3,3
3.0,1:16,Browns,Ben Watson 3 yard pass from Jake Delhomme (Phil Dawson kick),10,3
4.0,10:27,Dolphins,Anthony Fasano 11 yard pass from Chad Henne (Dan Carpenter kick),10,10
,0:00,Browns,Phil Dawson 23 yard field goal,13,10
