Quarter,Time,Tm,Detail,TEN,MIA
1.0,0:53,Dolphins,Cody Parkey 41 yard field goal,0,3
,0:06,Dolphins,Reshad Jones 38 yard fumble return (Cody Parkey kick),0,10
2.0,9:37,Titans,Ryan Succop 45 yard field goal,3,10
3.0,7:17,Titans,Phillip Supernaw 11 yard pass from Matt Cassel (Ryan Succop kick),10,10
4.0,10:33,Dolphins,Jarvis Landry 6 yard pass from Jay Cutler (Cody Parkey kick failed),10,16
