Unnamed: 0,TEN,MIA
First Downs,14,12
Rush-Yds-TDs,20-69-0,31-100-0
Cmp-Att-Yd-TD-INT,21-32-141-1-0,12-27-92-1-1
Sacked-Yards,6-22,1-14
Net Pass Yards,119,78
Total Yards,188,178
Fumbles-Lost,2-2,1-1
Turnovers,2,2
Penalties-Yards,11-77,5-23
Third Down Conv.,2-13,5-15
Fourth Down Conv.,0-0,0-0
Time of Possession,30:15,29:45
