Quarter,Time,Down,ToGo,Location,TEN,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,TEN 25,0,0,Taywan Taylor left end for 5 yards (tackle by Reshad Jones),0.610,0.740
1,14:28,2,5,TEN 30,0,0,DeMarco Murray right guard for no gain (tackle by Reshad Jones),0.740,0.040
1,13:47,3,5,TEN 30,0,0,Matt Cassel pass complete short right to DeMarco Murray for no gain,0.040,-1.370
1,13:24,4,5,TEN 30,0,0,"Brett Kern punts 60 yards, returned by Jakeem Grant for 4 yards (tackle by Daren Bates). Penalty on Cordrea Tankersley: Illegal Block Above the Waist, 7 yards",-1.370,0.380
1,13:12,1,10,MIA 7,0,0,Jay Cutler pass complete short left to Jay Ajayi for 2 yards (tackle by LeShaun Sims),-0.380,-0.630
1,12:48,2,8,MIA 9,0,0,Jay Ajayi left tackle for no gain (tackle by Wesley Woodyard),-0.630,-1.190
1,12:01,3,8,MIA 9,0,0,Jay Cutler pass complete short right to DeVante Parker for 6 yards (tackle by Jayon Brown),-1.190,-2.440
1,11:23,4,2,MIA 15,0,0,"Matt Haack punts 62 yards, returned by Adoree' Jackson for 12 yards (tackle by Terrence Fede)",-2.440,-1.270
1,11:05,1,10,TEN 35,0,0,Matt Cassel sacked by Ndamukong Suh for 0 yards,1.270,0.720
1,10:29,2,10,TEN 35,0,0,DeMarco Murray right guard for 5 yards (tackle by Cameron Wake),0.720,0.700
1,9:49,3,5,TEN 40,0,0,Matt Cassel pass complete short right to Eric Decker for 6 yards (tackle by Cordrea Tankersley),0.700,1.990
1,9:02,1,10,TEN 46,0,0,Matt Cassel pass complete short right to Jonnu Smith for 8 yards (tackle by Cordrea Tankersley),1.990,2.530
1,8:26,2,2,MIA 46,0,0,"Penalty on Jonnu Smith: False Start, 5 yards (no play)",2.530,1.860
1,8:13,2,7,TEN 49,0,0,DeMarco Murray left end for 1 yard (tackle by Xavien Howard),1.860,1.290
1,7:28,3,6,,0,0,Matt Cassel pass complete short middle to DeMarco Murray for 4 yards (tackle by Kiko Alonso),1.290,0.200
1,6:46,4,2,MIA 46,0,0,"Penalty on TEN: Delay of Game, 5 yards (no play)",0.200,-0.130
1,6:31,4,7,TEN 49,0,0,Brett Kern punts 48 yards,-0.130,0.380
1,6:16,1,10,MIA 3,0,0,Jay Ajayi left tackle for 4 yards (tackle by Jurrell Casey),-0.380,-0.490
1,5:38,2,6,MIA 7,0,0,Jay Cutler pass complete short right to Jarvis Landry for no gain,-0.490,-0.950
1,4:58,3,6,MIA 7,0,0,Jay Cutler pass incomplete short left intended for Jay Ajayi,-0.950,-2.490
1,4:48,4,6,MIA 7,0,0,Matt Haack punts 54 yards,-2.490,-1.530
1,4:34,1,10,TEN 39,0,0,Rishard Matthews right end for -3 yards (tackle by Kiko Alonso). Penalty on Taylor Lewan: Illegal Formation (Declined),1.530,0.580
1,4:17,2,13,TEN 36,0,0,"DeMarco Murray middle for 6 yards (tackle by Davon Godchaux). DeMarco Murray fumbles (forced by Davon Godchaux), recovered by Reshad Jones at TEN-42 (tackle by Taywan Taylor). Penalty on Taylor Lewan: Offensive Holding (Declined)",0.580,-2.790
1,4:02,1,10,TEN 42,0,0,Damien Williams right guard for 3 yards (tackle by Wesley Woodyard),2.790,2.650
1,3:18,2,7,TEN 39,0,0,Jay Cutler pass complete short right to Jay Ajayi for no gain,2.650,1.950
1,2:40,3,7,TEN 39,0,0,Jay Cutler pass complete short middle to Damien Williams for 13 yards (tackle by Kevin Byard),1.950,3.840
1,1:52,1,10,TEN 26,0,0,Jay Ajayi right guard for 3 yards (tackle by Sylvester Williams),3.840,0.000
1,1:08,,,,,,Timeout #1 by Miami Dolphins,0.000,-3.700
1,1:08,2,7,TEN 23,0,0,Jay Cutler pass incomplete deep middle intended for Jakeem Grant (defended by Adoree' Jackson),3.700,3.010
1,1:03,3,7,TEN 23,0,0,Jay Cutler pass incomplete,3.010,1.930
1,0:57,4,7,TEN 23,0,3,Cody Parkey 41 yard field goal good,1.930,3.000
1,0:53,,,MIA 35,0,3,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.610
1,0:53,1,10,TEN 25,0,3,"Derrick Henry left tackle for 11 yards (tackle by Reshad Jones). Penalty on Davon Godchaux: Defensive Holding, 5 yards",0.610,1.660
1,0:33,1,10,TEN 41,0,3,"Matt Cassel pass complete deep left to Delanie Walker for 59 yards. Penalty on Jonnu Smith: Offensive Pass Interference, 10 yards (no play)",1.660,1.000
1,0:20,1,20,TEN 31,0,3,Matt Cassel pass incomplete,1.000,-0.230
1,0:12,2,20,TEN 31,0,9,"Matt Cassel sacked by Kiko Alonso for -7 yards. Matt Cassel fumbles (forced by Kiko Alonso), recovered by Reshad Jones at TEN-38 and returned for 38 yards, touchdown",-0.230,-7.000
1,,,,TEN 15,0,10,Cody Parkey kicks extra point good,,
1,0:06,,,MIA 35,0,10,"Cody Parkey kicks off 72 yards, returned by Adoree' Jackson for 21 yards (tackle by Senorise Perry)",0.000,0.280
1,0:02,1,10,TEN 14,0,10,DeMarco Murray right tackle for 3 yards (tackle by Davon Godchaux),-0.280,-0.370
Quarter,Time,Down,ToGo,Location,TEN,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,TEN 17,0,10,Matt Cassel pass complete short right to Jonnu Smith for 9 yards (tackle by Cameron Wake),-0.370,0.670
2,14:48,1,10,TEN 26,0,10,DeMarco Murray left tackle for 7 yards (tackle by Cameron Wake and Rey Maualuga),0.670,1.070
2,14:08,2,3,TEN 33,0,10,"Penalty on Taylor Lewan: False Start, 5 yards (no play)",1.070,0.400
2,13:48,2,8,TEN 28,0,10,DeMarco Murray left guard for 1 yard (tackle by Kiko Alonso),0.400,-0.160
2,12:58,3,7,TEN 29,0,10,Matt Cassel pass incomplete short right intended for Delanie Walker (defended by Kiko Alonso),-0.160,-1.440
2,12:50,4,7,TEN 29,0,10,"Brett Kern punts 58 yards, fair catch by Jakeem Grant",-1.440,0.320
2,12:42,1,10,MIA 13,0,10,Jay Ajayi right tackle for 9 yards (tackle by Wesley Woodyard),-0.320,0.490
2,12:11,2,1,MIA 22,0,10,"Jay Ajayi middle for 6 yards (tackle by Adoree' Jackson). Jay Ajayi fumbles (forced by Adoree' Jackson), recovered by Kevin Byard at MIA-30 and returned for 6 yards (tackle by Ja'Wuan James)",0.490,-3.970
2,11:52,1,10,MIA 24,0,10,Matt Cassel pass complete short right to Jonnu Smith for no gain,3.970,3.430
2,11:10,2,10,MIA 24,0,10,Derrick Henry left guard for -5 yards (tackle by Reshad Jones),3.430,2.080
2,10:22,3,15,MIA 29,0,10,Matt Cassel pass complete short middle to Delanie Walker for 2 yards (tackle by Lawrence Timmons),2.080,1.670
2,9:42,4,13,MIA 27,3,10,Ryan Succop 45 yard field goal good,1.670,3.000
2,9:37,,,TEN 35,3,10,"Ryan Succop kicks off 67 yards, returned by Jakeem Grant for 25 yards (tackle by LeShaun Sims)",0.000,-0.480
2,9:31,1,10,MIA 23,3,10,Damien Williams right guard for 9 yards (tackle by Kevin Byard and Curtis Riley),0.480,1.150
2,9:02,2,1,MIA 32,3,10,Damien Williams middle for 3 yards (tackle by Avery Williamson and Da'Norris Searcy),1.150,1.270
2,8:24,1,10,MIA 35,3,10,MarQueis Gray pass incomplete short left intended for Jarvis Landry,1.270,0.720
2,8:11,2,10,MIA 35,3,10,Kenyan Drake left end for no gain (tackle by DaQuan Jones),0.720,0.040
2,7:34,3,10,MIA 35,3,10,Jay Cutler pass incomplete short right intended for Damien Williams,0.040,-1.040
2,7:24,4,10,MIA 35,3,10,Matt Haack punts 59 yards,-1.040,0.380
2,7:11,1,10,TEN 6,3,10,Matt Cassel pass complete short left to Phillip Supernaw for 5 yards (tackle by Rey Maualuga),-0.380,-0.420
2,6:36,2,5,TEN 11,3,10,DeMarco Murray left tackle for no gain (tackle by William Hayes),-0.420,-0.840
2,5:49,3,5,TEN 11,3,10,Matt Cassel pass incomplete short left intended for DeMarco Murray (defended by Charles Harris),-0.840,-2.490
2,5:42,4,5,TEN 11,3,10,"Brett Kern punts 49 yards, returned by Jarvis Landry for 5 yards. Penalty on Tye Smith: Unsportsmanlike Conduct, 15 yards",-2.490,-2.920
2,5:34,1,10,TEN 40,3,10,Jay Cutler pass incomplete short left intended for Anthony Fasano is intercepted by Tye Smith at TEN-27 and returned for 14 yards,2.920,-1.660
2,5:20,1,10,TEN 41,3,10,Matt Cassel sacked by Andre Branch for -5 yards,1.660,0.450
2,4:33,2,15,TEN 36,3,10,"Penalty on Matt Cassel: Delay of Game, 5 yards (no play)",0.450,-0.230
2,4:20,2,20,TEN 31,3,10,Matt Cassel pass complete short right to DeMarco Murray for no gain,-0.230,-0.890
2,3:40,3,20,TEN 31,3,10,Matt Cassel sacked by Andre Branch for 0 yards,-0.890,-1.310
2,2:58,4,20,TEN 31,3,10,"Brett Kern punts 48 yards, returned by Jarvis Landry for no gain",-1.310,-0.340
