Unnamed: 0,ATL,WAS
First Downs,25,20
Rush-Yds-TDs,24-154-1,15-79-1
Cmp-Att-Yd-TD-INT,26-38-350-4-1,30-46-306-1-1
Sacked-Yards,2-13,3-19
Net Pass Yards,337,287
Total Yards,491,366
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,7-50,10-147
Third Down Conv.,10-13,5-13
Fourth Down Conv.,0-0,2-2
Time of Possession,32:56,27:04
