Quarter,Time,Down,ToGo,Location,DAL,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Matt Prater kicks off 75 yards, returned by Miles Austin for 24 yards (tackle by Darrell Reid)",0.000,0.150
1,14:56,1,10,DAL 19,0,0,Marion Barber middle for 1 yard (tackle by Ronald Fields),0.150,-0.200
1,14:26,2,9,DAL 20,0,0,Marion Barber right guard for 4 yards (tackle by Andra Davis),-0.200,-0.420
1,13:49,3,5,DAL 24,0,0,"Tony Romo pass incomplete short middle intended for Jason Witten. Penalty on Wesley Woodyard: Defensive Holding, 5 yards (no play)",-0.420,0.870
1,13:45,1,10,DAL 29,0,0,Tony Romo pass complete short left to Marion Barber for 1 yard (tackle by Elvis Dumervil),0.870,0.460
1,13:21,2,9,DAL 30,0,0,Marion Barber left tackle for 9 yards (tackle by Andra Davis),0.460,1.530
1,12:38,,,,0,0,Timeout #1 by Denver Broncos,0.000,1.530
1,12:38,1,10,DAL 39,0,0,Tony Romo pass complete short right to Sam Hurd for 4 yards (tackle by Wesley Woodyard),1.530,1.530
1,12:00,2,6,DAL 43,0,0,Tashard Choice middle for -3 yards (tackle by Brian Dawkins and Kenny Peterson),1.530,0.430
1,11:20,3,9,DAL 40,0,0,Tony Romo sacked by Elvis Dumervil for -1 yards,0.430,-0.780
1,10:49,4,10,DAL 39,0,0,"Mat McBriar punts 47 yards, fair catch by Eddie Royal. Penalty on Peyton Hillis: Offensive Holding, 7 yards",-0.780,0.380
1,10:40,1,10,DEN 7,0,0,Kyle Orton pass complete short right to Correll Buckhalter for 5 yards (tackle by Keith Brooking),-0.380,-0.420
1,10:07,2,5,DEN 12,0,0,"Penalty on Ryan Harris: False Start, 5 yards (no play)",-0.420,-0.780
1,9:43,2,10,DEN 7,0,0,Kyle Orton pass incomplete deep right intended for Brandon Marshall,-0.780,-1.420
1,9:38,3,10,DEN 7,0,0,Kyle Orton pass incomplete short right intended for Eddie Royal (defended by Terence Newman),-1.420,-2.490
1,9:32,4,10,DEN 7,0,0,Brett Kern punts 62 yards,-2.490,-1.000
1,9:23,1,10,DAL 31,0,0,"Tony Romo pass incomplete short left intended for Roy Williams. Penalty on Leonard Davis: Offensive Holding, 10 yards (no play)",1.000,0.340
1,9:15,1,20,DAL 21,0,0,Tony Romo pass complete short left to Marion Barber for 26 yards (tackle by Renaldo Hill),0.340,2.060
1,8:27,1,10,DAL 47,0,0,Tashard Choice right guard for 11 yards (tackle by Andre' Goodman),2.060,2.790
1,7:57,1,10,DEN 42,0,0,Tashard Choice middle for 7 yards (tackle by Le Kevin Smith),2.790,3.190
1,7:23,2,3,DEN 35,0,0,Tony Romo pass complete short right to Tashard Choice for 3 yards (tackle by Mario Haggan),3.190,3.450
1,6:59,1,10,DEN 32,0,0,Marion Barber right guard for 4 yards (tackle by Andra Davis),3.450,3.440
1,6:16,2,6,DEN 28,0,0,Tony Romo pass incomplete short right intended for Patrick Crayton,3.440,2.740
1,6:11,3,6,DEN 28,0,0,Tashard Choice middle for -3 yards (tackle by Robert Ayers). Penalty on Andre Gurode: Offensive Holding (Declined),2.740,1.320
1,6:02,4,9,DEN 31,3,0,Nick Folk 49 yard field goal good,1.320,3.000
1,,,,DAL 30,3,0,"David Buehler kicks off 70 yards, returned by Kenny McKinley for 30 yards (tackle by Alan Ball)",0.000,0.940
1,5:50,1,10,DEN 30,3,0,Kyle Orton pass incomplete deep middle intended for Jabar Gaffney,0.940,0.390
1,5:45,2,10,DEN 30,3,0,Knowshon Moreno right guard for 5 yards (tackle by Keith Brooking and Ken Hamlin),0.390,0.370
1,5:04,3,5,DEN 35,3,0,"Penalty on Ryan Harris: False Start, 5 yards (no play)",0.370,-0.300
1,4:40,3,10,DEN 30,3,0,Kyle Orton pass incomplete short middle intended for Jabar Gaffney (defended by Gerald Sensabaugh),-0.300,-1.370
1,4:35,4,10,DEN 30,3,0,"Brett Kern punts 51 yards, returned by Patrick Crayton for 10 yards (tackle by Josh Barrett). Penalty on Mario Haggan: Offensive Holding, 10 yards",-1.370,-1.530
1,4:24,1,10,DAL 39,3,0,Tony Romo pass complete short left to Tashard Choice for 28 yards (tackle by Andra Davis),1.530,3.380
1,3:34,1,10,DEN 33,3,0,Tashard Choice middle for 1 yard (tackle by Mario Haggan and Andra Davis),3.380,2.970
1,3:00,2,9,DEN 32,3,0,Tony Romo pass complete short left to Martellus Bennett for 13 yards (tackle by D.J. Williams),2.970,4.310
1,2:33,1,10,DEN 19,3,0,Marion Barber middle for 3 yards (tackle by Kenny Peterson),4.310,4.180
1,1:55,2,7,DEN 16,3,0,Tony Romo pass incomplete short right intended for Patrick Crayton,4.180,3.410
1,1:51,3,7,DEN 16,3,0,Tony Romo pass complete short right to Roy Williams for 14 yards (tackle by Champ Bailey),3.410,6.740
1,1:23,1,2,DEN 2,3,0,Marion Barber middle for 1 yard (tackle by D.J. Williams),6.740,5.910
1,0:50,2,1,DEN 1,9,0,"Marion Barber middle for 1 yard, touchdown",5.910,7.000
1,,,,DEN 2,10,0,Nick Folk kicks extra point good,0.000,0.000
1,,,,DAL 30,10,0,"David Buehler kicks off 70 yards, touchback",0.000,0.280
1,0:43,1,10,DEN 20,10,0,"Correll Buckhalter middle for 5 yards (tackle by Gerald Sensabaugh). Penalty on Jay Ratliff: Defensive Holding, 5 yards",0.280,0.940
1,0:20,1,10,DEN 30,10,0,Kyle Orton pass complete short left to Jabar Gaffney for 8 yards (tackle by Mike Jenkins),0.940,1.470
Quarter,Time,Down,ToGo,Location,DAL,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,DEN 38,10,0,Correll Buckhalter right guard for 3 yards (tackle by Bradie James),1.470,1.660
2,14:28,1,10,DEN 41,10,0,Kyle Orton pass incomplete deep middle intended for Brandon Marshall (defended by Mike Jenkins),1.660,1.120
2,14:22,2,10,DEN 41,10,0,Correll Buckhalter left guard for 6 yards (tackle by Igor Olshansky and Bradie James),1.120,1.220
2,13:41,3,4,DEN 47,10,0,Kyle Orton sacked by Stephen Bowen for -7 yards,1.220,-0.720
2,13:20,4,11,DEN 40,10,0,"Brett Kern punts 53 yards, returned by Patrick Crayton for 5 yards (tackle by Josh Barrett)",-0.720,0.350
2,13:11,1,10,DAL 12,10,0,Tony Romo pass complete short right to Patrick Crayton for 9 yards (tackle by Champ Bailey),-0.350,0.420
2,12:54,2,1,DAL 21,10,0,Tashard Choice middle for no gain (tackle by Kenny Peterson and Andra Davis),0.420,-0.370
2,12:20,3,1,DAL 21,10,0,Marion Barber left guard for 4 yards (tackle by D.J. Williams),-0.370,0.610
2,11:39,1,10,DAL 25,10,0,Tony Romo pass incomplete short right intended for Roy Williams (defended by Champ Bailey),0.610,0.060
