Unnamed: 0,CLE,TEN
First Downs,26,25
Rush-Yds-TDs,36-118-1,18-62-1
Cmp-Att-Yd-TD-INT,26-34-340-4-0,29-45-389-3-1
Sacked-Yards,0-0,3-20
Net Pass Yards,340,369
Total Yards,458,431
Fumbles-Lost,1-1,4-2
Turnovers,1,3
Penalties-Yards,13-92,5-52
Third Down Conv.,10-16,2-10
Fourth Down Conv.,0-1,3-4
Time of Possession,36:46,23:14
