Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Jarvis Landry,CLE,10,8,62,1,6,25,3.1,37,4.6,4.0,0,,1,10.0,0,125.8
Rashard Higgins,CLE,9,6,95,1,4,71,11.8,24,4.0,11.7,0,,0,0.0,0,138.7
Kareem Hunt,CLE,3,3,24,0,2,-9,-3.0,33,11.0,-3.0,0,,0,0.0,0,100.0
Donovan Peoples-Jones,CLE,3,2,92,1,2,49,24.5,43,21.5,19.3,0,,1,33.3,0,149.3
Austin Hooper,CLE,2,2,24,0,1,15,7.5,9,4.5,7.5,0,,0,0.0,0,116.7
Nick Chubb,CLE,1,1,26,0,1,-2,-2.0,28,28.0,-2.0,0,,0,0.0,0,118.7
David Njoku,CLE,1,1,5,0,,-5,-5.0,10,10.0,-5.0,1,1.0,0,0.0,0,87.5
D'Ernest Johnson,CLE,1,1,5,0,,0,0.0,5,5.0,0.0,0,,0,0.0,0,87.5
Kendall Lamm,CLE,1,1,1,1,1,1,1.0,0,0.0,1.0,0,,0,0.0,0,118.7
Baker Mayfield,CLE,1,1,6,0,1,5,5.0,1,1.0,5.0,0,,0,0.0,0,91.7
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Corey Davis,TEN,12,11,182,1,8,132,12.0,50,4.5,11.4,1,11.0,0,0.0,0,146.5
Anthony Firkser,TEN,7,5,51,0,4,21,4.2,30,6.0,6.7,0,,0,0.0,0,92.0
A.J. Brown,TEN,7,4,87,0,3,61,15.3,26,6.5,22.4,0,,1,14.3,0,101.5
Cameron Batson,TEN,3,3,14,1,2,9,3.0,5,1.7,3.0,0,,0,0.0,0,125.7
Jeremy McNichols,TEN,4,3,15,0,0,8,2.7,7,2.3,3.0,0,,1,25.0,0,80.2
MyCole Pruitt,TEN,2,1,22,1,1,16,16.0,6,6.0,8.0,0,,1,50.0,0,129.2
Adam Humphries,TEN,4,1,9,0,,9,9.0,0,0.0,9.5,0,,1,25.0,1,0.0
Derrick Henry,TEN,1,1,9,0,0,1,1.0,8,8.0,1.0,0,,0,0.0,0,104.2
Geoff Swaim,TEN,1,0,0,0,,0,,0,,17.0,0,,0,0.0,0,39.6
Aaron Brewer,TEN,1,0,0,0,,0,,0,,3.0,0,,0,0.0,0,39.6
