Quarter,Time,Down,ToGo,Location,NOR,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"Martin Gramatica kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,WAS 20,0,0,Jason Campbell pass complete short left to Mike Sellers for 1 yard (tackle by Jo-Lonn Dunbar),0.280,-0.130
1,14:26,2,9,WAS 21,0,0,Clinton Portis right guard for 1 yard (tackle by Sedrick Ellis and Will Smith),-0.130,-0.690
1,13:43,3,8,WAS 22,0,0,Jason Campbell pass complete short middle to Antwaan Randle El for 14 yards (tackle by Kevin Kaesviharn),-0.690,1.330
1,13:07,1,10,WAS 36,0,0,Jason Campbell pass complete short left to Santana Moss for 12 yards (tackle by Kendrick Clancy),1.330,2.130
1,12:28,1,10,WAS 48,0,0,Clinton Portis right tackle for 1 yard (tackle by Jonathan Vilma and Scott Shanle),2.130,1.720
1,11:51,2,9,WAS 49,0,0,Clinton Portis left end for 4 yards (tackle by Jonathan Vilma),1.720,1.550
1,11:24,,,,0,0,Timeout #1 by Washington Redskins,0.000,1.550
1,11:24,3,5,NOR 47,0,0,Jason Campbell pass complete short right to Malcolm Kelly for 6 yards (tackle by Tracy Porter),1.550,2.850
1,10:43,1,10,NOR 41,0,0,Jason Campbell pass complete short right to Santana Moss for 11 yards (tackle by Kevin Kaesviharn),2.850,3.580
1,10:12,1,10,NOR 30,0,0,Clinton Portis right end for -1 yards (tackle by Sedrick Ellis),3.580,2.900
1,9:32,2,11,NOR 31,0,0,Jason Campbell pass incomplete deep left intended for Antwaan Randle El,2.900,2.210
1,9:26,3,11,NOR 31,0,0,Jason Campbell pass incomplete short left intended for Ladell Betts,2.210,1.320
1,9:20,4,11,NOR 31,0,0,Shaun Suisham 49 yard field goal no good,1.320,-1.530
1,9:15,1,10,NOR 39,0,0,Reggie Bush right tackle for 2 yards (tackle by Jason Taylor and Andre Carter),1.530,1.260
1,8:39,2,8,NOR 41,0,0,Drew Brees pass incomplete short right intended for David Patten (defended by H.B. Blades),1.260,0.560
1,8:34,3,8,NOR 41,0,0,"Drew Brees pass complete short left to Devery Henderson for 5 yards (tackle by Carlos Rogers). Penalty on Carlos Rogers: Unnecessary Roughness, 15 yards",0.560,2.980
1,8:13,1,10,WAS 39,0,0,"Drew Brees pass incomplete short right intended for David Patten (defended by London Fletcher). Penalty on Jamar Nesbit: Offensive Holding, 10 yards (no play)",2.980,2.320
1,8:06,,,,0,0,Timeout #2 by Washington Redskins,0.000,2.320
1,8:06,1,20,WAS 49,0,0,Drew Brees pass complete short right to David Patten for 7 yards (tackle by Kedric Golston),2.320,2.040
1,7:28,2,13,WAS 42,0,0,"Drew Brees pass incomplete is intercepted by LaRon Landry at WAS-20 and returned for 17 yards (tackle by Mark Campbell). Penalty on Cornelius Griffin: Defensive Offside, 5 yards (no play)",2.040,2.710
1,7:15,2,8,WAS 37,0,0,Pierre Thomas right tackle for 1 yard (tackle by Kedric Golston and Andre Carter),2.710,2.150
1,6:34,3,7,WAS 36,0,0,"Drew Brees pass complete short middle to Jeremy Shockey for 8 yards (tackle by Rocky McIntosh). Jeremy Shockey fumbles (forced by Rocky McIntosh), recovered by Chris Horton at WAS-28 and returned for 5 yards (tackle by Jonathan Goodwin)",2.150,-1.140
1,6:23,1,10,WAS 33,0,0,Clinton Portis right guard for 2 yards (tackle by Charles Grant and Jonathan Vilma),1.140,0.860
1,5:49,2,8,WAS 35,0,0,Clinton Portis left tackle for 10 yards (tackle by Jonathan Vilma),0.860,1.930
1,5:13,1,10,WAS 45,0,0,Clinton Portis left end for 5 yards (tackle by Will Smith and Jo-Lonn Dunbar),1.930,2.060
1,4:35,2,5,,0,0,Santana Moss left end for 27 yards (tackle by Tracy Porter),2.060,4.040
1,4:08,1,10,NOR 23,0,0,Jason Campbell pass complete short right to Ladell Betts for no gain,4.040,3.500
1,3:28,2,10,NOR 23,0,0,Jason Campbell pass incomplete short left intended for Ladell Betts (defended by Jo-Lonn Dunbar),3.500,2.810
1,3:22,,,,0,0,Timeout #3 by Washington Redskins,0.000,2.810
1,3:22,3,10,NOR 23,0,0,Jason Campbell pass complete short left to Antwaan Randle El for 11 yards (tackle by Jason Craft). Penalty on Charles Grant: Defensive Offside (Declined),2.810,4.780
1,3:02,1,10,NOR 12,0,0,Jason Campbell pass incomplete short right intended for Fred Davis,4.780,4.100
1,2:57,2,10,NOR 12,0,0,Clinton Portis right guard for 4 yards (tackle by Will Smith and Sedrick Ellis),4.100,3.930
1,2:11,3,6,NOR 8,0,0,Jason Campbell pass complete short right to Clinton Portis for 4 yards (tackle by Jonathan Vilma),3.930,3.040
1,1:32,4,2,NOR 4,0,3,Shaun Suisham 22 yard field goal good,3.040,3.000
1,,,,WAS 30,0,3,"Shaun Suisham kicks off 73 yards, returned by Pierre Thomas for 23 yards (tackle by Leigh Torrence)",0.000,0.280
1,1:20,1,10,NOR 20,0,3,Reggie Bush left end for -3 yards (tackle by Demetric Evans and Fred Smoot),0.280,-0.790
1,0:39,2,13,NOR 17,0,3,Drew Brees pass incomplete short left intended for Jeremy Shockey is intercepted by Chris Horton at NOR-27,-0.790,-3.780
1,0:31,1,10,NOR 27,0,3,Clinton Portis right tackle for 1 yard (tackle by Jo-Lonn Dunbar and Kendrick Clancy),3.780,3.370
Quarter,Time,Down,ToGo,Location,NOR,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,NOR 26,0,3,Jason Campbell pass complete short right to Chris Cooley for 6 yards (tackle by Tracy Porter),3.370,3.470
2,14:12,3,3,NOR 20,0,3,Ladell Betts left tackle for 1 yard (tackle by Kendrick Clancy),3.470,2.310
2,13:30,4,2,NOR 19,0,6,Shaun Suisham 36 yard field goal good,2.310,3.000
2,,,,WAS 30,0,6,"Shaun Suisham kicks off 70 yards, touchback",0.000,0.280
2,13:24,1,10,NOR 20,0,6,Reggie Bush left end for 2 yards (tackle by Lorenzo Alexander),0.280,0.000
2,12:47,2,8,NOR 22,0,6,Drew Brees sacked by Jason Taylor for -12 yards,0.000,-2.590
2,12:47,3,20,NOR 10,0,6,Drew Brees pass complete short middle to Reggie Bush for 14 yards (tackle by Rocky McIntosh),-2.590,-1.770
2,11:31,4,6,NOR 24,0,6,"Steve Weatherford punts 52 yards, returned by Antwaan Randle El for 6 yards (tackle by Josh Bullocks). Antwaan Randle El fumbles, recovered by Troy Evans at WAS-30 and returned for 3 yards",-1.770,3.780
2,11:19,1,10,WAS 27,0,6,Drew Brees pass incomplete deep left intended for David Patten,3.780,3.230
2,11:14,2,10,WAS 27,0,6,Drew Brees pass complete short middle to Jeremy Shockey for 14 yards (tackle by London Fletcher),3.230,4.710
2,10:34,1,10,WAS 13,0,6,Reggie Bush right end for no gain (tackle by Kedric Golston),4.710,4.050
2,10:00,2,10,WAS 13,0,6,Drew Brees pass complete short middle to Pierre Thomas for 11 yards (tackle by Shawn Springs),4.050,6.740
2,9:17,1,2,WAS 2,0,6,"Drew Brees pass incomplete short middle intended for Mike Karney (defended by Rocky McIntosh). Penalty on Chris Horton: Defensive Holding, 1 yards (no play)",6.740,6.970
2,9:12,1,1,WAS 1,0,6,Pierre Thomas right tackle for no gain (tackle by H.B. Blades and London Fletcher),6.970,5.910
2,8:37,2,1,WAS 1,6,6,"Pierre Thomas right end for 1 yard, touchdown",5.910,7.000
2,,,,WAS 2,7,6,Martin Gramatica kicks extra point good,0.000,0.000
2,,,,NOR 30,7,6,"Martin Gramatica kicks off 66 yards, returned by Rock Cartwright for 36 yards (tackle by Pierre Thomas)",0.000,1.600
2,8:26,1,10,WAS 40,7,6,Jason Campbell pass incomplete short middle intended for Malcolm Kelly (defended by Kendrick Clancy),1.600,1.050
2,8:21,2,10,WAS 40,7,6,Jason Campbell pass complete short middle to Santana Moss for 14 yards (tackle by Josh Bullocks),1.050,2.520
2,7:45,1,10,NOR 46,7,6,"Jason Campbell pass incomplete short right intended for Chris Cooley. Penalty on Sedrick Ellis: Roughing the Passer, 15 yards (no play)",2.520,3.510
2,7:39,1,10,NOR 31,7,6,Jason Campbell pass incomplete short middle intended for Todd Yoder (defended by Jonathan Vilma),3.510,2.970
2,7:34,2,10,NOR 31,7,6,Clinton Portis right tackle for 11 yards (tackle by Kevin Kaesviharn and Jason Craft),2.970,4.240
2,6:55,1,10,NOR 20,7,6,Jason Campbell pass incomplete deep left intended for Santana Moss,4.240,3.690
2,6:48,2,10,NOR 20,7,6,Clinton Portis left tackle for 5 yards (tackle by Jo-Lonn Dunbar),3.690,3.700
2,6:07,3,5,NOR 15,7,6,Jason Campbell right end for 3 yards (tackle by Kevin Kaesviharn and Jonathan Vilma),3.700,2.760
2,5:23,4,2,NOR 12,7,6,Shaun Suisham 30 yard field goal no good,2.760,-0.280
2,5:17,1,10,NOR 20,7,6,Reggie Bush right tackle for no gain (tackle by H.B. Blades and Andre Carter),0.280,-0.270
2,4:42,2,10,NOR 20,7,6,"Drew Brees pass complete short middle to Reggie Bush for 9 yards (tackle by Shawn Springs). Penalty on Anthony Montgomery: Defensive Offside, 5 yards (no play)",-0.270,0.410
