#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,9:15,NOR 39,6,2:52,33,Fumble
2,1,1:27,NOR 20,2,0:56,-3,Interception
3,2,13:24,NOR 20,3,2:05,4,Punt
4,2,11:19,WAS 27,6,2:45,27,Touchdown
5,2,5:17,NOR 20,3,1:59,8,Punt
6,2,1:04,NOR 10,7,1:04,59,Field Goal
7,3,15:00,NOR 20,11,5:13,80,Touchdown
8,3,5:01,NOR 20,5,3:07,14,Punt
9,4,13:30,NOR 28,6,2:54,23,Punt
10,4,5:59,NOR 28,3,2:21,9,Punt
11,4,3:29,NOR 36,3,0:30,12,Interception
