Unnamed: 0_level_0,Unnamed: 1_level_0,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Reggie Bush,NOR,0,0,,0,0,1,55,55.0,1,55
Pierre Thomas,NOR,2,40,20.0,0,23,0,0,,0,0
Terrance Copper,NOR,1,17,17.0,0,17,0,0,,0,0
Lance Moore,NOR,1,36,36.0,0,36,0,0,,0,0
,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Antwaan Randle El,WAS,0,0,,0,0,4,23,5.8,0,10
Rock Cartwright,WAS,3,76,25.3,0,36,0,0,,0,0
