Unnamed: 0,NOR,WAS
First Downs,16,25
Rush-Yds-TDs,19-55-1,31-149-2
Cmp-Att-Yd-TD-INT,22-33-216-1-2,24-36-321-1-0
Sacked-Yards,2-21,2-15
Net Pass Yards,195,306
Total Yards,250,455
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,5-55,4-26
Third Down Conv.,3-10,3-11
Fourth Down Conv.,0-0,1-1
Time of Possession,25:46,34:14
