Unnamed: 0,NOR,GNB
First Downs,27,27
Rush-Yds-TDs,21-81-0,27-103-2
Cmp-Att-Yd-TD-INT,32-49-419-3-0,27-35-312-3-0
Sacked-Yards,3-23,2-16
Net Pass Yards,396,296
Total Yards,477,399
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,3-15,6-48
Third Down Conv.,9-14,8-12
Fourth Down Conv.,0-1,0-0
Time of Possession,27:06,32:54
