Quarter,Time,Tm,Detail,CAR,NOR
1,5:15,Panthers,John Kasay 24 yard field goal,3,0
2,13:30,Panthers,Stephen Davis 1 yard rush (John Kasay kick),10,0
,7:04,Saints,Joe Horn 14 yard pass from Aaron Brooks (John Carney kick),10,7
,1:17,Saints,Joe Horn 23 yard pass from Aaron Brooks (John Carney kick),10,14
,0:00,Saints,John Carney 46 yard field goal,10,17
3,9:14,Panthers,John Kasay 29 yard field goal,13,17
4,3:46,Panthers,Stephen Davis 1 yard rush (John Kasay kick),20,17
,0:36,Saints,John Carney 42 yard field goal,20,20
OT,10:24,Panthers,John Kasay 31 yard field goal,23,20
