Unnamed: 0,CAR,NOR
First Downs,20,19
Rush-Yds-TDs,39-223-2,29-104-0
Cmp-Att-Yd-TD-INT,12-27-148-0-0,21-34-201-2-1
Sacked-Yards,1-3,3-11
Net Pass Yards,145,190
Total Yards,368,294
Fumbles-Lost,1-0,3-2
Turnovers,0,3
Penalties-Yards,6-50,4-43
Third Down Conv.,5-14,2-12
Fourth Down Conv.,0-0,2-3
Time of Possession,33:52,30:44
