Quarter,Time,Down,ToGo,Location,SDG,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Nick Novak kicks off 64 yards, returned by Johnny Knox for 21 yards (tackle by Bront Bird)",0.000,0.410
1,14:54,1,10,CHI 22,0,0,Matt Forte right end for 1 yard (tackle by Quentin Jammer),0.410,0.000
1,14:21,2,9,CHI 23,0,0,Jay Cutler pass complete short right to Matt Forte for -2 yards (tackle by Eric Weddle),0.000,-0.960
1,13:40,3,11,CHI 21,0,0,Jay Cutler pass incomplete deep right intended for Roy E. Williams,-0.960,-1.960
1,13:36,4,11,CHI 21,0,0,"Adam Podlesh punts 36 yards, fair catch by Patrick Crayton",-1.960,-1.800
1,13:25,1,10,SDG 43,0,0,Philip Rivers pass complete short right to Antonio Gates for 18 yards (tackle by Chris Conte and Brian Urlacher),1.800,2.980
1,12:36,1,10,CHI 39,0,0,Ryan Mathews left tackle for 23 yards (tackle by Chris Conte),2.980,4.510
1,11:54,1,10,CHI 16,0,0,Ryan Mathews right end for no gain (tackle by Charles Tillman),4.510,3.900
1,11:11,2,10,CHI 16,0,0,"Ryan Mathews left guard for 5 yards (tackle by Lance Briggs). Ryan Mathews fumbles (forced by Lance Briggs), recovered by Brandyn Dombrowski at CHI-11",3.900,3.940
1,10:25,3,5,CHI 11,0,0,Philip Rivers pass complete short right to Vincent Jackson for 1 yard (tackle by Charles Tillman),3.940,2.840
1,9:43,4,4,CHI 10,3,0,Nick Novak 28 yard field goal good,2.840,3.000
1,,,,SDG 35,3,0,"Nick Novak kicks off 61 yards, returned by Devin Hester for 10 yards (tackle by Mike Tolbert)",0.000,-0.280
1,9:35,1,10,CHI 14,3,0,Matt Forte right guard for 5 yards (tackle by Cam Thomas),-0.280,-0.040
1,9:01,2,5,CHI 19,3,0,Matt Forte right guard for 2 yards (tackle by Steve Gregory),-0.040,-0.560
1,8:19,3,3,CHI 21,3,0,"Penalty on J'Marcus Webb: False Start, 5 yards (no play)",-0.560,-1.160
1,7:58,3,8,CHI 16,3,0,Jay Cutler pass complete short right to Roy E. Williams for 15 yards (tackle by Dante Hughes and Antoine Cason),-1.160,1.000
1,7:14,1,10,CHI 31,3,0,Jay Cutler pass complete deep right to Johnny Knox for 31 yards (tackle by Quentin Jammer),1.000,3.050
1,6:36,1,10,SDG 38,3,0,Jay Cutler pass complete short middle to Matt Forte for 17 yards (tackle by Donald Butler),3.050,4.170
1,5:56,1,10,SDG 21,3,0,Jay Cutler pass incomplete intended for Earl Bennett (defended by Cam Thomas),4.170,3.630
1,5:52,2,10,SDG 21,3,0,Matt Forte right guard for -3 yards (tackle by Vaughn Martin),3.630,2.540
1,5:12,3,13,SDG 24,3,0,Jay Cutler pass incomplete short right intended for Earl Bennett,2.540,1.870
1,5:06,4,13,SDG 24,3,3,Robbie Gould 42 yard field goal good,1.870,3.000
1,,,,CHI 35,3,3,"Robbie Gould kicks off 73 yards, returned by Richard Goodman for 34 yards (tackle by Dom DeCicco)",0.000,0.670
1,4:55,1,10,SDG 26,3,3,Ryan Mathews left guard for 5 yards (tackle by Israel Idonije),0.670,0.810
1,4:20,2,5,SDG 31,3,3,Ryan Mathews right guard for 1 yard (tackle by Israel Idonije),0.810,0.230
1,3:40,3,4,SDG 32,3,3,Philip Rivers pass complete deep left to Vincent Jackson for 24 yards (tackle by Charles Tillman),0.230,2.650
1,3:15,1,10,CHI 44,3,3,Philip Rivers pass complete short right to Jacob Hester for 11 yards (tackle by Lance Briggs),2.650,3.380
1,2:28,1,10,CHI 33,3,3,"Ryan Mathews right tackle for 5 yards (tackle by Lance Briggs). Penalty on Jeromey Clary: Illegal Use of Hands, 10 yards (no play)",3.380,2.720
1,2:03,1,20,CHI 43,3,3,Philip Rivers pass complete short right to Jacob Hester for -5 yards (tackle by Nick Roach),2.720,0.810
1,1:15,2,25,CHI 48,3,3,Philip Rivers pass incomplete short right intended for Randy McMichael,0.810,0.170
1,1:11,3,25,CHI 48,3,3,Mike Tolbert right guard for 4 yards (tackle by Amobi Okoye),0.170,0.330
1,0:37,4,21,CHI 44,3,3,"Mike Scifres punts 35 yards, fair catch by Devin Hester",0.330,0.380
1,0:31,1,10,CHI 9,3,3,Matt Forte right guard for 2 yards (tackle by Vaughn Martin),-0.380,-0.630
Quarter,Time,Down,ToGo,Location,SDG,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,CHI 11,3,3,Jay Cutler pass incomplete short middle intended for Earl Bennett (defended by Antoine Cason),-0.630,-1.190
2,14:56,3,8,CHI 11,3,3,Jay Cutler pass incomplete deep right intended for Johnny Knox,-1.190,-2.490
2,14:50,4,8,CHI 11,3,3,Adam Podlesh punts 55 yards,-2.490,-1.200
2,14:38,1,10,SDG 34,3,3,Ryan Mathews right end for no gain (tackle by Corey Wootton),1.200,0.660
2,13:54,2,10,SDG 34,3,3,Philip Rivers pass complete short right to Vincent Brown for 8 yards (tackle by Tim Jennings),0.660,1.030
2,13:13,3,2,SDG 42,3,3,Philip Rivers pass complete short right to Mike Tolbert for 3 yards (tackle by Brandon Meriweather),1.030,1.930
2,12:27,1,10,SDG 45,3,3,"Penalty on Jeromey Clary: False Start, 5 yards (no play)",1.930,1.600
2,12:04,1,15,SDG 40,3,3,Philip Rivers pass complete short right to Ryan Mathews for 10 yards (tackle by Brandon Meriweather),1.600,2.060
2,11:24,2,5,,3,3,Ryan Mathews left end for -5 yards (tackle by Henry Melton),2.060,0.700
2,10:40,3,10,SDG 45,3,3,Philip Rivers pass complete short right to Mike Tolbert for 4 yards (tackle by Corey Graham),0.700,-0.130
2,10:10,4,6,SDG 49,3,3,"Mike Scifres punts 42 yards, returned by Devin Hester for 37 yards (tackle by Darrell Stuckey)",-0.130,-1.990
2,9:56,1,10,CHI 46,3,3,Matt Forte left guard for 4 yards (tackle by Everette Brown),1.990,1.990
2,9:20,2,6,,3,3,Matt Forte left tackle for 1 yard (tackle by Cam Thomas),1.990,1.420
2,8:32,3,5,SDG 49,3,3,Jay Cutler pass incomplete short right intended for Roy E. Williams. Penalty on Chris Spencer: Illegal Use of Hands (Declined),1.420,0.000
2,8:32,4,5,SDG 49,3,3,Adam Podlesh punts 46 yards,0.000,0.380
2,8:16,1,10,SDG 3,3,3,Jacob Hester right guard for 1 yard (tackle by Stephen Paea),-0.380,-0.710
2,7:39,2,9,SDG 4,3,3,Philip Rivers pass incomplete short left intended for Mike Tolbert,-0.710,-1.300
2,7:30,3,9,SDG 4,3,3,Mike Tolbert left end for 8 yards (tackle by Tim Jennings),-1.300,-2.490
