Quarter,Time,Tm,Detail,SDG,CHI
1.0,9:40,Chargers,Nick Novak 28 yard field goal,3,0
,5:01,Bears,Robbie Gould 42 yard field goal,3,3
2.0,4:09,Bears,Marion Barber III 1 yard rush (Robbie Gould kick),3,10
,2:04,Chargers,Antonio Gates 8 yard pass from Philip Rivers (Nick Novak kick),10,10
,0:20,Bears,Kellen Davis 4 yard pass from Jay Cutler (Robbie Gould kick),10,17
3.0,10:58,Chargers,Vincent Jackson 5 yard pass from Philip Rivers (Nick Novak kick),17,17
,5:47,Bears,Jay Cutler 1 yard rush (Robbie Gould kick),17,24
,4:53,Bears,Johnny Knox 24 yard pass from Jay Cutler (Robbie Gould kick),17,31
4.0,14:55,Chargers,Nick Novak 48 yard field goal,20,31
