Quarter,Time,Tm,Detail,WAS,CLE
1.0,8:41,Browns,Trent Richardson 6 yard rush (Phil Dawson kick),0,7
,2:16,Redskins,Leonard Hankerson 54 yard pass from Kirk Cousins (Kai Forbath kick),7,7
2.0,5:46,Redskins,Kai Forbath 44 yard field goal,10,7
,1:11,Browns,Trent Richardson 1 yard rush (Phil Dawson kick),10,14
3.0,13:14,Redskins,Alfred Morris 3 yard rush (Kai Forbath kick),17,14
,7:40,Redskins,Leonard Hankerson 2 yard pass from Kirk Cousins (Kai Forbath kick),24,14
4.0,11:19,Redskins,Evan Royster 4 yard rush (Kai Forbath kick),31,14
,10:11,Browns,Travis Benjamin 69 yard pass from Brandon Weeden (Phil Dawson kick),31,21
,5:00,Redskins,Alfred Morris 8 yard rush (Kai Forbath kick),38,21
