Unnamed: 0,WAS,CLE
First Downs,25,13
Rush-Yds-TDs,35-122-3,15-58-2
Cmp-Att-Yd-TD-INT,26-37-329-2-1,21-35-244-1-2
Sacked-Yards,2-21,2-11
Net Pass Yards,308,233
Total Yards,430,291
Fumbles-Lost,2-0,1-0
Turnovers,1,2
Penalties-Yards,6-45,5-30
Third Down Conv.,7-15,4-12
Fourth Down Conv.,1-1,0-2
Time of Possession,36:17,23:43
