Unnamed: 0,ARI,DAL
First Downs,9,18
Rush-Yds-TDs,18-32-0,36-97-0
Cmp-Att-Yd-TD-INT,14-28-121-1-2,20-31-277-2-1
Sacked-Yards,3-2,1-9
Net Pass Yards,119,268
Total Yards,151,365
Fumbles-Lost,0-0,1-0
Turnovers,2,1
Penalties-Yards,5-36,7-64
Third Down Conv.,3-12,6-16
Fourth Down Conv.,0-1,1-2
Time of Possession,23:32,36:28
