Quarter,Time,Tm,Detail,ARI,DAL
1.0,3:33,Cowboys,Terry Glenn 51 yard pass from Quincy Carter (Billy Cundiff kick),0,7
,1:52,Cardinals,Bryan Gilmore 24 yard pass from Jeff Blake (Tim Duncan kick),7,7
2.0,13:48,Cowboys,Richie Anderson 18 yard pass from Quincy Carter (Billy Cundiff kick),7,14
,2:12,Cowboys,Billy Cundiff 33 yard field goal,7,17
3.0,10:29,Cowboys,Billy Cundiff 36 yard field goal,7,20
,6:46,Cowboys,"Safety,",7,22
,3:34,Cowboys,"Safety,",7,24
