Quarter,Time,Down,ToGo,Location,ARI,DAL,Detail,EPB,EPA
2,13:53,,,ARI 2,7,14,Billy Cundiff kicks extra point good,0.000,0.000
2,13:53,,,DAL 30,7,14,"Toby Gowin kicks off 58 yards, returned by Damien Anderson for 15 yards (tackle by Randal Williams)",0.000,0.740
2,13:42,1,10,ARI 27,7,14,Jeff Blake pass incomplete intended for Bryant Johnson,0.740,0.200
2,13:37,2,10,ARI 27,7,14,Emmitt Smith up the middle for no gain (tackle by Randal Williams),0.200,-0.490
2,12:53,3,10,ARI 27,7,14,Jeff Blake pass incomplete intended for Bryan Gilmore (defended by Terence Newman),-0.490,-1.570
2,12:45,4,10,ARI 27,7,14,"Scott Player punts 38 yards, returned by Zuriel Smith for 1 yard (tackle by Gerald Hayes)",-1.570,-1.330
2,12:38,1,10,DAL 36,7,14,Quincy Carter pass complete to Richie Anderson for 10 yards (tackle by Ronald McKinnon and Renaldo Hill),1.330,1.990
2,12:12,1,10,DAL 46,7,14,Quincy Carter pass incomplete intended for Joey Galloway is intercepted by Renaldo Hill at ARI-10 and returned for -2 yards (tackle by Joey Galloway),1.990,0.380
2,12:02,1,10,ARI 8,7,14,Marcel Shipp up the middle for 3 yards (tackle by Dexter Coakley),-0.380,-0.560
2,11:27,2,7,ARI 11,7,14,"Jeff Blake pass incomplete intended for Bryant Johnson. Penalty on Mario Edwards: Defensive Pass Interference, 11 yards (no play)",-0.560,0.410
2,11:20,1,10,ARI 22,7,14,Marcel Shipp up the middle for 2 yards (tackle by Dat Nguyen),0.410,0.140
2,10:42,2,8,ARI 24,7,14,Jeff Blake pass incomplete intended for Bryant Johnson,0.140,-0.560
2,10:35,3,8,ARI 24,7,14,Jeff Blake pass complete to Freddie Jones for 12 yards (tackle by Lynn Scott),-0.560,1.330
2,9:53,1,10,ARI 36,7,14,"Jeff Blake pass incomplete intended for Bryant Johnson. Penalty on Kenyon Coleman: Roughing the Passer, 15 yards (no play)",1.330,2.320
2,9:46,1,10,DAL 49,7,14,"Jeff Blake pass incomplete intended for Marcel Shipp. Penalty on Leonard Davis: Offensive Holding, 10 yards (no play)",2.320,1.660
2,9:39,1,20,ARI 41,7,14,Marcel Shipp up the middle for -1 yards (tackle by Greg Ellis),1.660,0.300
2,8:58,2,21,ARI 40,7,14,Jeff Blake pass complete to Freddie Jones for 11 yards (tackle by Dexter Coakley),0.300,1.090
2,8:12,3,10,DAL 49,7,14,Jeff Blake pass incomplete,1.090,0.000
2,8:08,4,10,DAL 49,7,14,"Scott Player punts 49 yards, touchback",0.000,-0.280
2,8:00,1,10,DAL 20,7,14,Quincy Carter pass complete to Richie Anderson for 5 yards (tackle by Raynoch Thompson),0.280,0.410
2,7:38,2,5,DAL 25,7,14,"Troy Hambrick right tackle for 1 yard (tackle by Levar Fisher). Penalty on Andre Gurode: Offensive Holding, 10 yards (no play)",0.410,-1.070
2,7:09,2,5,DAL 25,7,14,Timeout #1 by Dallas Cowboys,0.410,-1.070
2,7:09,2,15,DAL 15,7,14,Quincy Carter pass complete to Joey Galloway for 22 yards (tackle by Ronald McKinnon),-1.070,1.400
2,6:37,1,10,DAL 37,7,14,Quincy Carter pass incomplete intended for Terry Glenn,1.400,0.860
2,6:32,2,10,DAL 37,7,14,Troy Hambrick up the middle for 8 yards (tackle by Coby Rhinehart),0.860,1.220
2,5:56,3,2,DAL 45,7,14,Quincy Carter pass complete to Antonio Bryant for 5 yards (tackle by Emmanuel McDaniel),1.220,2.260
2,5:11,1,10,ARI 50,7,14,Troy Hambrick right end for 11 yards (tackle by Emmanuel McDaniel),2.260,2.980
2,4:28,1,10,ARI 39,7,14,Quincy Carter pass incomplete intended for Antonio Bryant,2.980,2.440
2,4:23,2,10,ARI 39,7,14,Richie Anderson up the middle for -1 yards (tackle by Marcus Bell),2.440,1.620
2,3:43,3,11,ARI 40,7,14,Quincy Carter pass complete to Joey Galloway for 24 yards (tackle by Emmanuel McDaniel),1.620,4.510
2,2:55,1,10,ARI 16,7,14,Quincy Carter pass incomplete intended for Jason Witten (defended by Levar Fisher),4.510,3.900
2,2:51,2,10,ARI 16,7,14,Troy Hambrick right tackle for 1 yard (tackle by Emmanuel McDaniel),3.900,3.220
2,2:22,3,9,ARI 15,7,14,Quincy Carter pass incomplete intended for Antonio Bryant,3.220,2.440
2,2:22,4,9,ARI 15,7,17,Billy Cundiff 33 yard field goal good,2.440,3.000
2,2:22,,,DAL 30,7,17,"Toby Gowin kicks off 59 yards, returned by Josh Scobey for 15 yards (tackle by Keith O'Neil)",0.000,0.670
2,2:07,1,10,ARI 26,7,17,Jeff Blake up the middle for 2 yards (tackle by Dexter Coakley),0.670,0.400
2,2:00,2,8,ARI 28,7,17,Jeff Blake pass complete to Freddie Jones for 5 yards (tackle by Eric Ogbogu),0.400,0.370
2,1:31,3,3,ARI 33,7,17,Jeff Blake pass incomplete intended for Freddie Jones,0.370,-1.180
2,1:24,4,3,ARI 33,7,17,"Scott Player punts 46 yards, returned by Zuriel Smith for 13 yards (tackle by Ronald McKinnon)",-1.180,-1.200
2,1:08,1,10,DAL 34,7,17,Aveion Cason up the middle for -4 yards (tackle by Fred Wakefield),1.200,0.120
2,0:26,2,14,DAL 30,7,17,Aveion Cason right tackle for no gain (tackle by Dennis Johnson),0.120,-0.560
Quarter,Time,Down,ToGo,Location,ARI,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 30,7,17,--,0.000,0.870
3,14:55,1,10,DAL 29,7,17,Quincy Carter pass complete to Jason Witten for 7 yards (tackle by Raynoch Thompson),0.870,1.270
3,14:19,2,3,DAL 36,7,17,Troy Hambrick left end for -4 yards (tackle by Ronald McKinnon),1.270,0.040
3,13:37,3,7,DAL 32,7,17,Quincy Carter pass complete to Jason Witten for 18 yards (tackle by Adrian Wilson),0.040,2.260
3,13:00,1,10,ARI 50,7,17,Quincy Carter pass complete to Terry Glenn for 25 yards (tackle by Adrian Wilson),2.260,3.910
3,12:21,1,10,ARI 25,7,17,Troy Hambrick right tackle for -1 yards (tackle by Ronald McKinnon),3.910,3.230
3,11:41,2,11,ARI 26,7,17,Richie Anderson up the middle for no gain (tackle by Russell Davis),3.230,2.540
3,10:59,3,11,ARI 26,7,17,Quincy Carter pass complete to Aveion Cason for 8 yards (tackle by Adrian Wilson),2.540,2.350
3,10:33,4,3,ARI 18,7,20,Billy Cundiff 36 yard field goal good,2.350,3.000
3,10:33,,,DAL 30,7,20,"Toby Gowin kicks off 66 yards, returned by Josh Scobey for 29 yards (tackle by Markus Steele)",0.000,1.140
3,10:23,1,10,ARI 33,7,20,James Hodgins up the middle for 3 yards (tackle by Dat Nguyen),1.140,1.000
3,9:42,2,7,ARI 36,7,20,Jeff Blake pass incomplete intended for Marcel Shipp is intercepted by Alshermond Singleton at ARI-39 and returned for 1 yard (tackle by Marcel Shipp),1.000,-3.050
3,9:37,1,10,ARI 38,7,20,Troy Hambrick left tackle for 3 yards (tackle by Dexter Jackson),3.050,2.910
3,9:01,2,7,ARI 35,7,20,"Quincy Carter pass incomplete intended for Terry Glenn. Penalty on Dan Campbell: Offensive Holding, 10 yards (no play)",2.910,1.560
3,8:55,2,17,ARI 45,7,20,Quincy Carter pass complete to Richie Anderson for 5 yards (tackle by Levar Fisher),1.560,1.550
3,8:13,3,12,ARI 40,7,20,Quincy Carter pass incomplete intended for Richie Anderson,1.550,0.590
3,8:05,4,12,ARI 40,7,20,"Toby Gowin punts 35 yards, fair catch by Anquan Boldin",0.590,0.380
3,7:59,1,10,ARI 5,7,20,Marcel Shipp left end for -3 yards (tackle by Willie Blade),-0.380,-1.000
3,7:22,2,13,ARI 2,7,20,Jeff Blake pass incomplete intended for Anquan Boldin,-1.000,-1.770
3,7:15,3,13,ARI 2,7,20,"Penalty on Jeff Blake: Delay of Game, 1 yards (no play)",-1.770,-1.890
3,7:15,3,14,ARI 1,7,20,Jeff Blake pass complete to Anquan Boldin for 37 yards (tackle by Darren Woodson). Penalty on Anquan Boldin: Offensive Pass Interference (no play),-1.890,-1.890
3,6:51,3,14,ARI 1,7,22,"Jeff Blake sacked by La'Roi Glover for -1 yards, safety",-1.890,-2.000
3,6:51,3,14,ARI 1,7,22,--,-1.890,0.000
3,6:51,,,ARI 20,7,22,"Scott Player kicks off 57 yards, returned by Joey Galloway for 22 yards (tackle by Nate Poole). Penalty on Josh Scobey: Unnecessary Roughness, 15 yards",0.000,2.920
3,6:39,1,10,ARI 40,7,22,Troy Hambrick right end for no gain (tackle by Ronald McKinnon),2.920,2.370
3,6:01,2,10,ARI 40,7,22,Quincy Carter sacked by Levar Fisher for -9 yards,2.370,0.500
3,5:25,3,19,ARI 49,7,22,Quincy Carter pass complete to Aveion Cason for 8 yards (tackle by Justin Lucas),0.500,0.530
3,5:04,4,11,ARI 41,7,22,Toby Gowin punts 40 yards,0.530,0.380
3,4:53,1,10,ARI 1,7,22,Marcel Shipp right tackle for no gain (tackle by Dat Nguyen),-0.380,-0.780
3,4:17,2,10,ARI 1,7,22,Marcel Shipp left tackle for no gain (tackle by Dexter Coakley),-0.780,-1.420
3,3:38,3,10,ARI 1,7,24,"Jeff Blake sacked by Kenyon Coleman for -1 yards, safety",-1.420,-2.000
3,3:38,3,10,ARI 1,7,24,--,-1.420,0.000
3,3:38,,,ARI 20,7,24,"Scott Player kicks off 61 yards, returned by Joey Galloway for 16 yards (tackle by Gerald Hayes)",0.000,1.270
3,3:30,1,10,DAL 35,7,24,Quincy Carter pass incomplete intended for Jason Witten,1.270,0.720
3,3:25,2,10,DAL 35,7,24,Troy Hambrick right end for -1 yards (tackle by Ronald McKinnon),0.720,-0.100
3,2:44,3,11,DAL 34,7,24,Quincy Carter pass incomplete intended for Joey Galloway,-0.100,-1.110
3,2:39,4,11,DAL 34,7,24,"Toby Gowin punts 39 yards, out of bounds",-1.110,-0.740
3,2:31,1,10,ARI 27,7,24,Marcel Shipp right end for 16 yards (tackle by Ebenezer Ekuban),0.740,1.800
3,2:05,1,10,ARI 43,7,24,Jeff Blake sacked by Terence Newman for 0 yards,1.800,1.250
3,1:43,2,10,ARI 43,7,24,Marcel Shipp up the middle for 9 yards (tackle by Darren Woodson),1.250,1.750
3,1:02,3,1,DAL 48,7,24,"Jeff Blake pass incomplete intended for Anquan Boldin. Penalty on Pete Hunter: Defensive Holding, 4 yards (no play)",1.750,2.650
3,0:58,1,10,DAL 44,7,24,Marcel Shipp left end for 5 yards (tackle by Mario Edwards),2.650,2.780
3,0:20,2,5,DAL 39,7,24,Damien Anderson right end for -3 yards (tackle by Darren Woodson),2.780,1.690
Quarter,Time,Down,ToGo,Location,ARI,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,8,DAL 42,7,24,Jeff Blake pass incomplete intended for Anquan Boldin (defended by Darren Woodson),1.690,0.460
4,14:56,4,8,DAL 42,7,24,"Scott Player punts 34 yards, fair catch by Zuriel Smith. Penalty on Terence Newman: Offensive Holding, 4 yards",0.460,0.380
4,14:49,1,10,DAL 4,7,24,Troy Hambrick left guard for 2 yards (tackle by Ronald McKinnon),-0.380,-0.630
4,14:13,2,8,DAL 6,7,24,Troy Hambrick right tackle for -3 yards (tackle by Dennis Johnson),-0.630,-1.540
4,13:29,3,11,DAL 3,7,24,Quincy Carter pass complete to Jason Witten for 8 yards (tackle by Ronald McKinnon and Raynoch Thompson),-1.540,-2.490
4,12:54,4,3,DAL 11,7,24,"Toby Gowin punts 46 yards, fair catch by Bryant Johnson",-2.490,-1.800
4,12:39,1,10,ARI 43,7,24,Jeff Blake pass complete to James Hodgins for 4 yards (tackle by Alshermond Singleton),1.800,1.790
4,12:01,2,6,ARI 47,7,24,Jeff Blake pass complete to Bryant Johnson for 6 yards (tackle by Mario Edwards),1.790,2.460
4,11:45,1,10,DAL 47,7,24,"Jeff Blake for no gain (tackle by Pete Hunter). Penalty on Anquan Boldin: Offensive Holding, 10 yards (no play)",2.460,1.800
4,11:16,1,20,ARI 43,7,24,Jeff Blake pass complete to Bryan Gilmore for 6 yards (tackle by Terence Newman),1.800,1.370
4,10:40,2,14,ARI 49,7,24,Jeff Blake pass complete to Anquan Boldin for 10 yards (tackle by Pete Hunter),1.370,2.010
4,10:05,3,4,DAL 41,7,24,Jeff Blake pass incomplete intended for Bryan Gilmore,2.010,0.530
4,9:57,4,4,DAL 41,7,24,Jeff Blake pass incomplete intended for Bryan Gilmore,0.530,-1.660
4,9:52,1,10,DAL 41,7,24,Troy Hambrick up the middle for 2 yards (tackle by Raynoch Thompson),1.660,1.390
4,9:08,2,8,DAL 43,7,24,Joey Galloway left end for 7 yards (tackle by Dexter Jackson),1.390,1.620
4,8:23,3,1,,7,24,Jamar Martin up the middle for 3 yards (tackle by James Darling),1.620,2.460
4,7:43,1,10,ARI 47,7,24,"Troy Hambrick right end for 3 yards (tackle by Ronald McKinnon). Penalty on Ryan Young: Offensive Holding, 10 yards (no play)",2.460,1.800
4,7:15,1,20,DAL 43,7,24,Richie Anderson up the middle for 2 yards (tackle by Dennis Johnson),1.800,0.830
4,6:32,2,18,DAL 45,7,24,Richie Anderson right end for 2 yards (tackle by Ronald McKinnon),0.830,0.430
4,5:48,3,16,DAL 47,7,24,Richie Anderson up the middle for 19 yards (tackle by Emmanuel McDaniel),0.430,3.310
4,5:03,1,10,ARI 34,7,24,"Troy Hambrick up the middle for 3 yards (tackle by Russell Davis). Troy Hambrick fumbles (forced by Russell Davis), recovered by Troy Hambrick at ARI-31",3.310,3.180
4,4:47,1,10,ARI 34,7,24,Timeout #1 by Arizona Cardinals,3.310,3.180
4,4:47,2,7,ARI 31,7,24,Troy Hambrick left end for -2 yards (tackle by Levar Fisher),3.180,2.210
4,4:40,2,7,ARI 31,7,24,Timeout #2 by Arizona Cardinals,3.180,2.210
4,4:40,3,9,ARI 33,7,24,Quincy Carter pass complete to Aveion Cason for 8 yards (tackle by Levar Fisher),2.210,1.950
4,4:36,3,9,ARI 33,7,24,Timeout #1 by Dallas Cowboys,2.210,1.950
4,4:36,4,1,ARI 25,7,24,Quincy Carter pass incomplete intended for Antonio Bryant,1.950,-0.670
4,4:30,1,10,ARI 26,7,24,Jeff Blake pass incomplete intended for Anquan Boldin,0.670,0.130
4,4:24,2,10,ARI 26,7,24,Jeff Blake pass incomplete intended for Bryan Gilmore is intercepted by Randal Williams at DAL-42 and returned for 39 yards (tackle by Nate Poole). Penalty on Leonard Davis: Offensive Holding (Declined),0.130,-4.310
4,4:06,1,10,ARI 19,7,24,Troy Hambrick up the middle for 5 yards (tackle by Dexter Jackson),4.310,4.530
4,3:31,2,5,ARI 14,7,24,Troy Hambrick up the middle for 2 yards (tackle by Fred Wakefield),4.530,4.190
4,2:50,3,3,ARI 12,7,24,Troy Hambrick left tackle for 2 yards (tackle by Dexter Jackson),4.190,2.910
4,2:09,4,1,ARI 10,7,24,Troy Hambrick up the middle for 4 yards (tackle by David Barrett),2.910,5.830
4,1:59,1,6,ARI 6,7,24,Troy Hambrick up the middle for -1 yards (tackle by Marcus Bell),5.830,4.760
4,1:17,2,7,ARI 7,7,24,Quincy Carter for -1 yards,4.760,3.580
4,0:33,3,8,ARI 8,7,24,Quincy Carter for -1 yards,3.580,2.830
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
