Quarter,Time,Tm,Detail,CHI,DET
1.0,8:38,Bears,Robbie Gould 36 yard field goal,3,0
,2:32,Lions,Dan Campbell 23 yard pass from Jon Kitna (Jason Hanson kick),3,7
2.0,14:05,Bears,Bernard Berrian 13 yard pass from Rex Grossman (Robbie Gould kick),10,7
,0:26,Bears,Adrian Peterson 2 yard rush (Robbie Gould kick),17,7
3.0,10:53,Lions,Mike Furrey 20 yard pass from Jon Kitna (Jason Hanson kick),17,14
,4:27,Lions,Roy Williams 2 yard pass from Jon Kitna (Jason Hanson kick),17,21
4.0,12:21,Bears,Robbie Gould 36 yard field goal,20,21
,5:13,Bears,Robbie Gould 39 yard field goal,23,21
,2:50,Bears,Robbie Gould 44 yard field goal,26,21
