Unnamed: 0,CHI,DET
First Downs,22,18
Rush-Yds-TDs,30-116-1,18-67-0
Cmp-Att-Yd-TD-INT,26-45-248-1-0,27-45-283-3-0
Sacked-Yards,2-10,3-23
Net Pass Yards,238,260
Total Yards,354,327
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,7-48,11-92
Third Down Conv.,6-17,3-13
Fourth Down Conv.,1-1,2-3
Time of Possession,34:43,25:17
