Quarter,Time,Tm,Detail,KAN,TEN
1.0,9:19,Chiefs,Travis Kelce 3 yard pass from Patrick Mahomes (Harrison Butker kick),7,0
,4:43,Chiefs,Harrison Butker 30 yard field goal,10,0
2.0,10:23,Titans,Anthony Firkser 9 yard pass from Ryan Tannehill (Ryan Succop kick),10,7
,6:14,Titans,Rashaan Evans 53 yard fumble return (Ryan Succop kick failed),10,13
,1:12,Chiefs,Harrison Butker 41 yard field goal,13,13
3.0,6:54,Chiefs,Tyreek Hill 11 yard pass from Patrick Mahomes (Harrison Butker kick failed),19,13
,5:58,Titans,Derrick Henry 68 yard rush (Ryan Succop kick),19,20
,1:58,Chiefs,Harrison Butker 43 yard field goal,22,20
4.0,11:54,Chiefs,Mecole Hardman 63 yard pass from Patrick Mahomes (Harrison Butker kick),29,20
,6:26,Titans,Derrick Henry 1 yard rush (Ryan Succop kick),29,27
,3:14,Chiefs,Harrison Butker 39 yard field goal,32,27
,0:23,Titans,Adam Humphries 23 yard pass from Ryan Tannehill (Ryan Tannehill run),32,35
