Quarter,Time,Down,ToGo,Location,KAN,TEN,Detail,EPB,EPA
1,6:20,2,26,TEN 36,7,0,Patrick Mahomes pass complete short left to Deon Yelder for 7 yards (tackle by Adoree' Jackson and Logan Ryan),1.530,1.820
1,5:33,3,19,TEN 29,7,0,Patrick Mahomes pass complete short middle to Travis Kelce for 17 yards (tackle by Rashaan Evans and Amani Hooker),1.820,2.760
1,4:47,4,2,TEN 12,10,0,Harrison Butker 30 yard field goal good,2.760,3.000
1,4:43,,,KAN 35,10,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,4:43,1,10,TEN 25,10,0,Ryan Tannehill pass complete short middle to Derrick Henry for -3 yards (tackle by Anthony Hitchens),0.610,-0.340
1,4:05,2,13,TEN 22,10,0,Ryan Tannehill pass complete deep left to Tajae Sharpe for 20 yards,-0.340,1.730
1,3:28,1,10,TEN 42,10,0,"Derrick Henry left tackle for 8 yards (tackle by Reggie Ragland). Penalty on Chris Jones: Illegal Use of Hands, 5 yards",1.730,2.590
1,2:58,1,10,KAN 45,10,0,Derrick Henry up the middle for 3 yards (tackle by Chris Jones),2.590,2.450
1,2:16,2,7,KAN 42,10,0,Derrick Henry left tackle for 2 yards (tackle by Anthony Hitchens and Chris Jones),2.450,2.010
1,1:31,3,5,KAN 40,10,0,Ryan Tannehill sacked by Emmanuel Ogbah for -9 yards,2.010,0.000
1,0:56,4,14,KAN 49,10,0,"Brett Kern punts 41 yards, fair catch by Mecole Hardman at KC-8",0.000,0.380
1,0:48,1,10,KAN 8,10,0,Damien Williams right tackle for 9 yards (tackle by Kevin Byard),-0.380,0.050
1,0:09,2,1,KAN 17,10,0,Tyreek Hill left end for 3 yards (tackle by LeShaun Sims),0.050,0.280
Quarter,Time,Down,ToGo,Location,KAN,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,KAN 20,10,0,Patrick Mahomes pass incomplete short left intended for Sammy Watkins (defended by Logan Ryan),0.280,-0.270
2,14:56,2,10,KAN 20,10,0,Patrick Mahomes pass complete short left to Tyreek Hill for 12 yards (tackle by Adoree' Jackson),-0.270,1.070
2,14:29,1,10,KAN 32,10,0,Darwin Thompson left end for -1 yards (tackle by Rashaan Evans),1.070,0.390
2,13:48,2,11,KAN 31,10,0,Patrick Mahomes pass complete short middle to Travis Kelce for 16 yards (tackle by LeShaun Sims),0.390,2.060
2,13:05,1,10,KAN 47,10,0,Patrick Mahomes pass incomplete deep left intended for Tyreek Hill,2.060,1.520
2,12:59,2,10,KAN 47,10,0,Damien Williams left tackle for no gain (tackle by Wesley Woodyard and Reggie Gilbert),1.520,0.830
2,12:12,3,10,KAN 47,10,0,Patrick Mahomes pass incomplete deep middle intended for Sammy Watkins,0.830,-0.260
2,12:05,4,10,KAN 47,10,0,Dustin Colquitt punts 26 yards downed by Rashad Fenton,-0.260,-0.740
2,11:57,1,10,TEN 27,10,0,Ryan Tannehill pass complete deep middle to Kalif Raymond for 52 yards (tackle by Charvarius Ward),0.740,4.170
2,11:34,1,10,KAN 21,10,0,Derrick Henry left end for 3 yards (tackle by Charvarius Ward),4.170,4.040
2,11:06,2,7,KAN 18,10,0,Ryan Tannehill pass complete short right to Jonnu Smith for 9 yards (tackle by Tyrann Mathieu and Anthony Hitchens),4.040,5.140
2,10:28,1,9,KAN 9,10,6,"Ryan Tannehill pass complete short right to Anthony Firkser for 9 yards, touchdown. Penalty on Bashaud Breeland: Defensive Pass Interference (Declined)",5.140,7.000
2,10:23,,,KAN 15,10,7,Ryan Succop kicks extra point good,0.000,0.000
2,10:23,,,TEN 35,10,7,"Ryan Succop kicks off 61 yards, returned by Mecole Hardman for 21 yards (tackle by Kalif Raymond and LeShaun Sims). Penalty on Dorian O'Daniel: Offensive Holding, 10 yards",0.000,-0.220
2,10:16,1,10,KAN 15,10,7,Damien Williams left guard for 6 yards (tackle by Sharif Finch),-0.220,0.210
2,9:42,2,4,KAN 21,10,7,Patrick Mahomes pass complete short middle to Damien Williams for 7 yards (tackle by Logan Ryan),0.210,0.810
2,9:01,1,10,KAN 28,10,7,Sammy Watkins right end for 11 yards (tackle by LeShaun Sims and David Long),0.810,1.530
2,8:22,1,10,KAN 39,10,7,Patrick Mahomes pass complete short left to Damien Williams for 3 yards (tackle by Logan Ryan and Rashaan Evans),1.530,1.390
2,7:43,2,7,KAN 42,10,7,Darrel Williams up the middle for 1 yard (tackle by David Long and Kenny Vaccaro),1.390,0.830
2,7:02,3,6,KAN 43,10,7,Patrick Mahomes pass complete short left to Tyreek Hill for 13 yards (tackle by Amani Hooker),0.830,2.650
2,6:28,1,10,TEN 44,10,13,"Damien Williams up the middle for -3 yards (tackle by David Long). Damien Williams fumbles (forced by David Long), recovered by Rashaan Evans at TEN-47 and returned for 53 yards, touchdown",2.650,-7.000
2,6:14,,,KAN 15,10,13,Ryan Succop kicks extra point no good wide left,0.000,-1.000
2,6:14,,,TEN 35,10,13,"Ryan Succop kicks off 65 yards, touchback.",0.000,0.610
2,6:14,1,10,KAN 25,10,13,Patrick Mahomes pass incomplete short middle intended for Sammy Watkins (defended by Logan Ryan),0.610,0.060
2,6:07,2,10,KAN 25,10,13,Patrick Mahomes pass complete short middle to Sammy Watkins for 8 yards (tackle by Reggie Gilbert),0.060,0.430
2,5:32,3,2,KAN 33,10,13,Patrick Mahomes pass complete short left to Demarcus Robinson for 8 yards (tackle by Logan Ryan),0.430,1.660
2,5:03,1,10,KAN 41,10,13,Damien Williams right end for -6 yards (tackle by Logan Ryan),1.660,0.310
2,4:27,2,16,KAN 35,10,13,Patrick Mahomes pass complete short right to Damien Williams for 6 yards (tackle by David Long),0.310,0.430
2,3:45,3,10,KAN 41,10,13,Patrick Mahomes pass complete short middle to Tyreek Hill for 29 yards (tackle by LeShaun Sims),0.430,3.580
2,3:17,1,10,TEN 30,10,13,Patrick Mahomes sacked by Harold Landry for -8 yards,3.580,1.950
2,2:34,2,18,TEN 38,10,13,Patrick Mahomes pass complete short middle to Sammy Watkins for 9 yards (tackle by Jeffery Simmons and Kenny Vaccaro),1.950,2.480
2,2:00,3,9,TEN 29,10,13,Patrick Mahomes pass complete short left to Damien Williams for 6 yards (tackle by Kenny Vaccaro and Rashaan Evans),2.480,2.030
2,1:17,4,3,TEN 23,13,13,Harrison Butker 41 yard field goal good,2.030,3.000
2,1:12,,,KAN 35,13,13,"Harrison Butker kicks off 65 yards, returned by Kalif Raymond for 19 yards (tackle by Armani Watts and Byron Pringle). Penalty on Jonnu Smith: Illegal Double-Team Block, 9 yards",0.000,-0.380
2,1:06,1,10,TEN 10,13,13,"Derrick Henry right tackle for 7 yards (tackle by Frank Clark). Penalty on Anthony Hitchens: Illegal Use of Hands, 5 yards",-0.380,0.410
2,1:01,1,10,TEN 22,13,13,Derrick Henry up the middle for 12 yards (tackle by Daniel Sorensen),0.410,1.200
2,0:52,,,,,,Timeout #1 by Tennessee Titans,,
2,0:52,1,10,TEN 34,13,13,Derrick Henry up the middle for 6 yards (tackle by Tanoh Kpassagnon),1.200,1.470
2,0:34,2,4,TEN 40,13,13,Ryan Tannehill pass incomplete deep right intended for Jonnu Smith,1.470,0.760
2,0:29,3,4,TEN 40,13,13,Ryan Tannehill pass incomplete short right intended for Anthony Firkser (defended by Frank Clark),0.760,-0.720
2,0:24,4,4,TEN 40,13,13,"Brett Kern punts 56 yards, fair catch by Mecole Hardman at KC-4",-0.720,0.380
2,0:16,1,10,KAN 4,13,13,Damien Williams left end for 3 yards (tackle by LeShaun Sims),-0.380,-0.560
Quarter,Time,Down,ToGo,Location,KAN,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 35,13,13,"Harrison Butker kicks off 50 yards, returned by Kalif Raymond for 10 yards (tackle by Armani Watts). Penalty on Jonnu Smith: Illegal Double-Team Block, 12 yards",0.000,-0.320
3,14:52,1,10,TEN 13,13,13,Derrick Henry right end for 4 yards (tackle by Emmanuel Ogbah and Daniel Sorensen),-0.320,-0.300
3,14:16,2,6,TEN 17,13,13,"Derrick Henry up the middle for 3 yards (tackle by Derrick Nnadi). Penalty on Taylor Lewan: Unnecessary Roughness, 10 yards",-0.300,-1.770
3,13:48,3,13,TEN 10,13,13,"Ryan Tannehill pass complete short left to Jonnu Smith for 9 yards (tackle by Tyrann Mathieu and Rashad Fenton). Penalty on Taylor Lewan: Offensive Holding, 9 yards",-1.770,-1.770
3,13:15,3,13,TEN 10,13,13,Ryan Tannehill pass complete short middle to Anthony Firkser for 7 yards (tackle by Ben Niemann and Daniel Sorensen),-1.770,-2.320
3,12:45,4,6,TEN 17,13,13,"Brett Kern punts 65 yards, returned by Mecole Hardman for 5 yards (tackle by Christopher Milton)",-2.320,-0.480
3,12:34,1,10,KAN 23,13,13,Damien Williams right tackle for 4 yards (tackle by Kevin Byard),0.480,0.470
3,12:04,2,6,KAN 27,13,13,Patrick Mahomes pass complete short left to Tyreek Hill for 2 yards (tackle by Logan Ryan and LeShaun Sims),0.470,0.040
3,11:20,3,4,KAN 29,13,13,Patrick Mahomes pass complete short right to Tyreek Hill for 9 yards (tackle by Wesley Woodyard),0.040,1.470
3,10:41,1,10,KAN 38,13,13,Patrick Mahomes pass complete short right to Demarcus Robinson for 20 yards (tackle by Kenny Vaccaro and Kevin Byard),1.470,2.790
3,10:02,1,10,TEN 42,13,13,Damien Williams right guard for 2 yards (tackle by Logan Ryan and Wesley Woodyard),2.790,2.510
3,9:22,2,8,TEN 40,13,13,Patrick Mahomes pass incomplete short left,2.510,1.820
3,9:16,3,8,TEN 40,13,13,"Patrick Mahomes pass incomplete deep right intended for Tyreek Hill. Penalty on LeShaun Sims: Defensive Holding, 5 yards (no play)",1.820,3.250
3,9:09,1,10,TEN 35,13,13,Patrick Mahomes pass complete short left to Darrel Williams for 9 yards (tackle by Kevin Byard),3.250,3.920
3,8:26,2,1,TEN 26,13,13,Darrel Williams left guard for 5 yards (tackle by Wesley Woodyard and LeShaun Sims),3.920,4.170
3,7:45,1,10,TEN 21,13,13,Patrick Mahomes pass complete short middle to Travis Kelce for 10 yards (tackle by DaQuan Jones),4.170,4.840
3,6:59,1,10,TEN 11,19,13,"Patrick Mahomes pass complete short left to Tyreek Hill for 11 yards, touchdown",4.840,7.000
3,6:54,,,TEN 15,19,13,Harrison Butker kicks extra point no good wide left,0.000,-1.000
3,6:54,,,KAN 35,19,13,"Harrison Butker kicks off 56 yards, returned by Kalif Raymond for 17 yards (tackle by Darron Lee)",0.000,0.670
3,6:48,1,10,TEN 26,19,13,Ryan Tannehill pass complete short middle to Derrick Henry for 6 yards (tackle by Anthony Hitchens),0.670,0.940
3,6:10,2,4,TEN 32,19,19,"Derrick Henry up the middle for 68 yards, touchdown",0.940,7.000
3,5:58,,,KAN 15,19,20,Ryan Succop kicks extra point good,0.000,0.000
3,5:58,,,TEN 35,19,20,"Ryan Succop kicks off 65 yards, touchback.",0.000,0.610
3,5:58,1,10,KAN 25,19,20,"Patrick Mahomes pass incomplete deep left intended for Travis Kelce. Penalty on Logan Ryan: Defensive Pass Interference, 9 yards. Penalty on Logan Ryan: Defensive Holding, 9 yards (no play)",0.610,1.200
3,5:50,1,10,KAN 34,19,20,Damien Williams left end for 3 yards (tackle by Jeffery Simmons),1.200,1.060
3,5:16,2,7,KAN 37,19,20,Patrick Mahomes pass complete short right to Travis Kelce for 12 yards (tackle by Logan Ryan),1.060,2.190
3,4:46,1,10,KAN 49,19,20,Damien Williams left end for 5 yards (tackle by LeShaun Sims and David Long),2.190,2.320
3,4:05,2,5,TEN 46,19,20,Patrick Mahomes pass complete short right to Sammy Watkins for 3 yards (tackle by LeShaun Sims),2.320,2.010
3,3:30,3,2,TEN 43,19,20,Patrick Mahomes pass incomplete short left intended for Tyreek Hill,2.010,0.400
3,3:25,4,2,TEN 43,19,20,Patrick Mahomes pass complete short left to Damien Williams for 10 yards (tackle by Kevin Byard and Adoree' Jackson),0.400,3.380
3,2:42,1,10,TEN 33,19,20,Patrick Mahomes pass incomplete deep right intended for Sammy Watkins (defended by Logan Ryan),3.380,2.840
3,2:37,2,10,TEN 33,19,20,Patrick Mahomes pass complete short right to Darwin Thompson for 8 yards (tackle by David Long and Logan Ryan),2.840,3.200
3,2:08,3,2,TEN 25,19,20,Patrick Mahomes pass incomplete short left intended for Demarcus Robinson,3.200,1.930
3,2:03,4,2,TEN 25,22,20,Harrison Butker 43 yard field goal good,1.930,3.000
3,1:58,,,KAN 35,22,20,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
3,1:58,1,10,TEN 25,22,20,Ryan Tannehill pass incomplete short right intended for Jonnu Smith,0.610,0.060
3,1:53,2,10,TEN 25,22,20,Ryan Tannehill pass complete short right to Jonnu Smith for 9 yards (tackle by Anthony Hitchens and Morris Claiborne),0.060,0.560
3,1:11,3,1,TEN 34,22,20,Derrick Henry up the middle for 6 yards (tackle by Juan Thornhill),0.560,1.600
3,0:38,1,10,TEN 40,22,20,Derrick Henry right guard for 4 yards (tackle by Emmanuel Ogbah and Chris Jones),1.600,1.590
Quarter,Time,Down,ToGo,Location,KAN,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,TEN 44,22,20,Ryan Tannehill sacked by Chris Jones for -7 yards,1.590,-0.030
4,14:15,3,13,TEN 37,22,20,Ryan Tannehill pass incomplete deep right intended for A.J. Brown,-0.030,-0.910
4,14:09,4,13,TEN 37,22,20,Brett Kern punts 42 yards out of bounds,-0.910,-0.340
4,14:00,1,10,KAN 21,22,20,Damien Williams up the middle for 6 yards (tackle by Kenny Vaccaro and Austin Johnson),0.340,0.610
4,13:20,2,4,KAN 27,22,20,Patrick Mahomes pass complete short middle to Sammy Watkins for 9 yards (tackle by Logan Ryan),0.610,1.330
4,12:45,1,10,KAN 36,22,20,Sammy Watkins right end for 1 yard (tackle by Logan Ryan),1.330,0.930
4,12:10,2,9,KAN 37,22,20,Patrick Mahomes pass incomplete deep right intended for Tyreek Hill (defended by Adoree' Jackson),0.930,0.230
4,12:05,3,9,KAN 37,28,20,"Patrick Mahomes pass complete short middle to Mecole Hardman for 63 yards, touchdown, touchdown",0.230,7.000
4,11:54,,,TEN 15,29,20,Harrison Butker kicks extra point good,0.000,0.000
4,11:54,,,KAN 35,29,20,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
4,11:54,1,10,TEN 25,29,20,"Derrick Henry left guard for 4 yards (tackle by Daniel Sorensen). Penalty on Chris Jones: Defensive Holding, 5 yards",0.610,1.200
4,11:37,1,10,TEN 34,29,20,Derrick Henry left tackle for 1 yard (tackle by Chris Jones),1.200,0.790
4,11:05,2,9,TEN 35,29,20,Derrick Henry left tackle for 4 yards (tackle by Chris Jones and Daniel Sorensen),0.790,0.630
4,10:25,3,5,TEN 39,29,20,"Penalty on Nate Davis: False Start, 5 yards (no play)",0.630,-0.030
4,10:07,3,10,TEN 34,29,20,Ryan Tannehill up the middle for 12 yards (tackle by Rashad Fenton),-0.030,1.990
4,9:27,1,10,TEN 46,29,20,Derrick Henry up the middle for 12 yards (tackle by Juan Thornhill),1.990,2.790
4,8:52,1,10,KAN 42,29,20,Derrick Henry left guard for 3 yards (tackle by Khalen Saunders),2.790,2.650
4,8:13,2,7,KAN 39,29,20,Ryan Tannehill pass complete short left to A.J. Brown for 17 yards (tackle by Anthony Hitchens),2.650,4.110
4,7:32,1,10,KAN 22,29,20,Ryan Tannehill left end for 7 yards (tackle by Frank Clark),4.110,4.650
4,7:06,2,3,KAN 15,29,20,Derrick Henry left tackle for 14 yards (tackle by Charvarius Ward and Juan Thornhill),4.650,6.970
4,6:30,1,1,KAN 1,29,26,"Derrick Henry left guard for 1 yard, touchdown",6.970,7.000
4,6:26,,,KAN 15,29,27,Ryan Succop kicks extra point good,0.000,0.000
4,6:26,,,TEN 35,29,27,"Ryan Succop kicks off 59 yards, returned by Mecole Hardman for 20 yards (tackle by Amani Hooker)",0.000,0.670
4,6:20,1,10,KAN 26,29,27,Damien Williams up the middle for 10 yards (tackle by LeShaun Sims),0.670,1.330
4,5:40,1,10,KAN 36,29,27,Damien Williams up the middle for 2 yards (tackle by David Long),1.330,1.060
4,4:56,2,8,KAN 38,29,27,Patrick Mahomes pass complete deep right to Tyreek Hill for 39 yards (tackle by Adoree' Jackson),1.060,4.040
4,4:11,1,10,TEN 23,29,27,Damien Williams up the middle for 2 yards (tackle by David Long),4.040,3.770
4,3:30,2,8,TEN 21,29,27,Patrick Mahomes pass incomplete short right intended for Tyreek Hill,3.770,3.070
4,3:24,3,8,TEN 21,29,27,Patrick Mahomes pass incomplete deep right intended for Tyreek Hill (defended by Adoree' Jackson),3.070,2.060
4,3:19,4,8,TEN 21,32,27,Harrison Butker 39 yard field goal good,2.060,3.000
4,3:14,,,KAN 35,32,27,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
4,3:14,1,10,TEN 25,32,27,Derrick Henry up the middle for 14 yards (tackle by Juan Thornhill and Damien Wilson),0.610,1.530
4,2:46,1,10,TEN 39,32,27,Derrick Henry right guard for 2 yards (tackle by Frank Clark and Chris Jones),1.530,1.260
4,2:26,2,8,TEN 41,32,27,Ryan Tannehill pass complete short right to Jonnu Smith for 3 yards (tackle by Daniel Sorensen),1.260,0.960
4,2:02,3,5,TEN 44,32,27,"Penalty on Taylor Lewan: False Start, 5 yards (no play)",0.960,0.300
4,2:01,3,10,TEN 39,32,27,Ryan Tannehill sacked by Frank Clark for -7 yards,0.300,-1.240
4,1:55,4,17,TEN 32,32,27,Ryan Tannehill pass incomplete deep right intended for A.J. Brown (defended by Bashaud Breeland),-1.240,-3.450
4,1:48,1,10,TEN 32,32,27,Damien Williams right guard for 3 yards (tackle by Austin Johnson),3.450,3.310
4,1:42,,,,,,Timeout #1 by Tennessee Titans,,
4,1:42,2,7,TEN 29,32,27,Damien Williams right end for 5 yards (tackle by DaQuan Jones),3.310,3.270
4,1:36,,,,,,Timeout #2 by Tennessee Titans,,
4,1:36,3,2,TEN 24,32,27,Patrick Mahomes sacked by Rashaan Evans for -5 yards,3.270,1.500
4,1:27,,,,,,Timeout #3 by Tennessee Titans,,
4,1:27,4,7,TEN 29,32,27,"James Winchester aborted snap, recovered by Dustin Colquitt at TEN-37 Dustin Colquitt pass incomplete short left. Penalty on Dustin Colquitt: Intentional Grounding, 10 yards",1.500,-1.530
4,1:21,1,10,TEN 39,32,27,Ryan Tannehill left guard for 18 yards (tackle by Daniel Sorensen and Charvarius Ward),1.530,2.720
4,0:59,1,10,KAN 43,32,27,Ryan Tannehill pass incomplete deep left intended for A.J. Brown (defended by Rashad Fenton),2.720,2.180
4,0:53,2,10,KAN 43,32,27,Ryan Tannehill pass complete deep right to Anthony Firkser for 20 yards (tackle by Daniel Sorensen),2.180,4.040
4,0:29,1,10,KAN 23,32,33,"Ryan Tannehill pass complete deep middle to Adam Humphries for 23 yards, touchdown",4.040,7.000
4,0:23,,,,,,Timeout #1 by Kansas City Chiefs,,
4,0:23,,,KAN 2,32,35,"Two Point Attempt: Ryan Tannehill rushes, conversion succeeds.",1.000,1.000
4,0:23,,,TEN 35,32,35,"Ryan Succop kicks off 46 yards, returned by Mecole Hardman for 19 yards (tackle by Daren Bates and Ryan Succop)",0.000,1.470
4,0:17,1,10,KAN 38,32,35,Patrick Mahomes pass complete deep right to Demarcus Robinson for 23 yards (tackle by Logan Ryan),1.470,2.980
4,0:10,,,,,,Timeout #2 by Kansas City Chiefs,,
4,0:10,1,10,TEN 39,32,35,Patrick Mahomes pass complete short left to Demarcus Robinson for 5 yards (tackle by Adoree' Jackson),2.980,3.120
4,0:06,2,5,TEN 34,32,35,Patrick Mahomes pass incomplete short left intended for Tyreek Hill,3.120,2.410
4,0:03,3,5,TEN 34,32,35,"Harrison Butker 52 yard field goal no good blocked by Joshua Kalu, recovered by LeShaun Sims (tackle by Anthony Sherman)",2.410,1.660
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
