Quarter,Time,Tm,Detail,MIN,CHI
1.0,10:56,Bears,Robbie Gould 55 yard field goal,0,3
,3:37,Vikings,Marcus Sherels 65 yard punt return (Blair Walsh kick),7,3
2.0,9:05,Vikings,Blair Walsh 43 yard field goal,10,3
,0:42,Bears,Alshon Jeffery 21 yard pass from Jay Cutler (Robbie Gould kick),10,10
3.0,8:28,Bears,Robbie Gould 33 yard field goal,10,13
4.0,13:29,Vikings,Blair Walsh 48 yard field goal,13,13
,4:55,Bears,Jay Cutler 4 yard rush (Robbie Gould kick),13,20
,1:49,Vikings,Stefon Diggs 40 yard pass from Teddy Bridgewater (Blair Walsh kick),20,20
,0:00,Vikings,Blair Walsh 36 yard field goal,23,20
