Quarter,Time,Down,ToGo,Location,MIN,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,MIN 20,0,0,Adrian Peterson right tackle for 6 yards (tackle by LaRoy Reynolds and Adrian Amos),0.280,0.540
1,14:22,2,4,MIN 26,0,0,Teddy Bridgewater pass incomplete short right intended for Mike Wallace,0.540,-0.160
1,14:17,3,4,MIN 26,0,0,Teddy Bridgewater pass incomplete short left intended for Stefon Diggs (defended by Kyle Fuller),-0.160,-1.630
1,14:13,4,4,MIN 26,0,0,"Jeff Locke punts 34 yards, muffed catch by Marc Mariani, ball out of bounds at CHI-47",-1.630,-2.060
1,14:03,1,10,CHI 47,0,0,Jay Cutler pass complete short right to Martellus Bennett for 7 yards (tackle by Chad Greenway),2.060,2.460
1,13:29,2,3,MIN 46,0,0,Matt Forte left guard for 5 yards (tackle by Everson Griffen),2.460,2.850
1,12:57,1,10,MIN 41,0,0,Matt Forte right guard for 3 yards (tackle by Eric Kendricks),2.850,2.710
1,12:25,2,7,MIN 38,0,0,Jay Cutler pass complete short left to Alshon Jeffery for 2 yards (tackle by Anthony Barr),2.710,2.280
1,11:45,3,5,MIN 36,0,0,Jay Cutler pass complete short right to Eddie Royal for no gain,2.280,0.880
1,11:03,4,5,MIN 36,0,3,Robbie Gould 55 yard field goal good,0.880,3.000
1,11:03,,,CHI 35,0,3,"Robbie Gould kicks off 72 yards, returned by Cordarrelle Patterson for 26 yards (tackle by Sam Acho)",0.000,-0.150
1,10:51,1,10,MIN 19,0,3,Adrian Peterson right tackle for 8 yards (tackle by Will Sutton),0.150,0.750
1,10:16,2,2,MIN 27,0,3,Adrian Peterson left tackle for 3 yards (tackle by LaRoy Reynolds),0.750,0.940
1,9:38,1,10,MIN 30,0,3,Adrian Peterson left end for 1 yard (tackle by Sam Acho),0.940,0.530
1,9:04,2,9,MIN 31,0,3,Teddy Bridgewater pass complete short right to Kyle Rudolph for 6 yards (tackle by Bryce Callahan),0.530,0.630
1,8:25,3,3,MIN 37,0,3,Teddy Bridgewater pass complete short middle to Kyle Rudolph for 16 yards (tackle by Jonathan Anderson),0.630,2.460
1,7:38,1,10,CHI 47,0,3,Teddy Bridgewater pass incomplete,2.460,1.910
1,7:28,2,10,CHI 47,0,3,Adrian Peterson right tackle for 3 yards (tackle by Willie Young),1.910,1.620
1,6:43,3,7,CHI 44,0,3,Teddy Bridgewater pass complete short left to Matt Asiata for -4 yards (tackle by Sam Acho and Pernell McPhee),1.620,0.070
1,6:06,4,11,CHI 48,0,3,"Jeff Locke punts 37 yards, muffed catch by Marc Mariani, recovered by Marc Mariani and returned for 3 yards (tackle by Brandon Watts)",0.070,0.140
1,5:58,1,10,CHI 16,0,3,Matt Forte left guard for 3 yards (tackle by Xavier Rhodes),-0.140,-0.180
1,5:14,2,7,CHI 19,0,3,Matt Forte right end for 4 yards (tackle by Eric Kendricks),-0.180,-0.450
1,4:27,3,3,CHI 23,0,3,Jay Cutler sacked by Danielle Hunter for -3 yards,-0.450,-2.030
1,3:53,4,6,CHI 20,6,3,"Pat O'Donnell punts 45 yards, returned by Marcus Sherels for 65 yards, touchdown",-2.030,-7.000
1,3:37,,,CHI 20,7,3,Blair Walsh kicks extra point good,0.000,0.000
1,3:37,,,MIN 35,7,3,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
1,3:37,1,10,CHI 20,7,3,Matt Forte left tackle for 14 yards (tackle by Harrison Smith),0.280,1.200
1,2:54,1,10,CHI 34,7,3,Eddie Royal right end for -1 yards (tackle by Brian Robison),1.200,0.520
1,2:15,2,11,CHI 33,7,3,Matt Forte right tackle for no gain (tackle by Anthony Barr and Everson Griffen),0.520,-0.160
1,1:33,3,11,CHI 33,7,3,Jay Cutler pass complete short right to Eddie Royal for 2 yards (tackle by Terence Newman),-0.160,-1.040
1,1:00,4,9,CHI 35,7,3,"Pat O'Donnell punts 41 yards, muffed catch by Marcus Sherels, recovered by Marcus Sherels and returned for no gain",-1.040,-0.540
1,0:51,1,10,MIN 24,7,3,Adrian Peterson left tackle for 1 yard (tackle by Will Sutton),0.540,0.130
1,0:13,2,9,MIN 25,7,3,Adrian Peterson left tackle for 3 yards (tackle by Kyle Fuller),0.130,-0.160
Quarter,Time,Down,ToGo,Location,MIN,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,MIN 28,7,3,"Penalty on Matt Kalil: False Start, 5 yards (no play)",-0.160,-0.820
2,14:59,3,11,MIN 23,7,3,Teddy Bridgewater pass complete short left to Matt Asiata for 12 yards (tackle by Christian Jones and Adrian Amos),-0.820,1.270
2,14:17,1,10,MIN 35,7,3,Teddy Bridgewater pass complete short left to MyCole Pruitt for 9 yards (tackle by Christian Jones),1.270,1.940
2,13:36,2,1,MIN 44,7,3,Adrian Peterson right tackle for 11 yards (tackle by Antrel Rolle),1.940,2.590
2,12:57,1,10,CHI 45,7,3,Teddy Bridgewater pass complete short right to Stefon Diggs for 4 yards (tackle by Tracy Porter),2.590,2.580
2,12:13,2,6,CHI 41,7,3,Adrian Peterson left tackle for 9 yards (tackle by Antrel Rolle),2.580,3.450
2,11:29,1,10,CHI 32,7,3,Adrian Peterson right tackle for 12 yards (tackle by Mitch Unrein),3.450,4.240
2,10:52,1,10,CHI 20,7,3,Jerick McKinnon left end for 2 yards (tackle by Christian Jones),4.240,3.960
2,10:16,2,8,CHI 18,7,3,"Penalty on Brandon Fusco: False Start, 5 yards (no play)",3.960,3.290
2,9:55,2,13,CHI 23,7,3,Teddy Bridgewater pass incomplete deep right intended for Mike Wallace,3.290,2.610
2,9:49,3,13,CHI 23,7,3,Teddy Bridgewater pass complete short left to Matt Asiata for -2 yards (tackle by Christian Jones),2.610,1.800
2,9:11,4,15,CHI 25,10,3,Blair Walsh 43 yard field goal good,1.800,3.000
2,9:11,,,MIN 35,10,3,"Blair Walsh kicks off 70 yards, returned by Marc Mariani for 27 yards (tackle by Marcus Sherels)",0.000,-0.410
2,8:58,1,10,CHI 22,10,3,"Jeremy Langford left guard for 3 yards (tackle by Danielle Hunter). Penalty on Charles Leno: Offensive Holding, 10 yards (no play)",0.410,-0.660
2,8:34,1,20,CHI 12,10,3,Jay Cutler pass complete short left to Eddie Royal for no gain,-0.660,-1.510
2,7:46,2,20,CHI 12,10,3,Jay Cutler pass complete short left to Alshon Jeffery for 7 yards (tackle by Xavier Rhodes),-1.510,-1.290
2,7:08,3,13,CHI 19,10,3,Jay Cutler pass incomplete deep right intended for Alshon Jeffery,-1.290,-2.140
2,7:02,4,13,CHI 19,10,3,"Pat O'Donnell punts 44 yards, out of bounds",-2.140,-1.400
2,6:53,1,10,MIN 37,10,3,Adrian Peterson left guard for 12 yards (tackle by Adrian Amos),1.400,2.190
2,6:13,1,10,MIN 49,10,3,Adrian Peterson right guard for 3 yards (tackle by Eddie Goldman),2.190,2.050
2,5:37,2,7,CHI 48,10,3,Adrian Peterson left guard for 5 yards (tackle by Jonathan Anderson),2.050,2.050
2,4:51,2,7,CHI 48,10,3,Timeout #1 by Chicago Bears,2.050,2.010
2,4:51,3,2,CHI 43,10,3,Adrian Peterson right guard for -2 yards (tackle by Bryce Callahan),2.010,0.270
2,4:22,4,4,CHI 45,10,3,"Jeff Locke punts 32 yards, fair catch by Marc Mariani",0.270,0.320
2,4:15,1,10,CHI 13,10,3,Matt Forte right tackle for 3 yards (tackle by Chad Greenway),-0.320,-0.440
2,3:42,2,7,CHI 16,10,3,"Jay Cutler pass complete short middle to Zach Miller for 14 yards (tackle by Eric Kendricks). Penalty on Patrick Omameh: Offensive Holding, 8 yards (no play)",-0.440,-1.150
2,3:05,2,15,CHI 8,10,3,"Jay Cutler pass complete deep left to Martellus Bennett for 20 yards (tackle by Andrew Sendejo). Penalty on Chad Greenway: Roughing the Passer, 15 yards",-1.150,1.800
2,2:29,1,10,CHI 43,10,3,Jay Cutler pass incomplete short left intended for Alshon Jeffery,1.800,1.250
2,2:23,2,10,CHI 43,10,3,Matt Forte right tackle for 3 yards (tackle by Terence Newman),1.250,0.960
2,2:00,3,7,CHI 46,10,3,Jay Cutler pass complete short left to Matt Forte for no gain,0.960,0.960
2,1:55,3,7,CHI 46,10,3,Timeout #1 by Minnesota Vikings,0.960,-0.320
2,1:55,4,7,CHI 46,10,3,"Pat O'Donnell punts 38 yards, fair catch by Marcus Sherels",-0.320,0.140
2,1:46,1,10,MIN 16,10,3,Jerick McKinnon right tackle for 16 yards (tackle by Jonathan Anderson),-0.140,1.070
2,1:21,1,10,MIN 32,10,3,Teddy Bridgewater pass incomplete short right intended for Mike Wallace,1.070,0.530
2,1:18,2,10,MIN 32,10,3,Teddy Bridgewater pass incomplete short left intended for Stefon Diggs,0.530,-0.160
2,1:13,3,10,MIN 32,10,3,Teddy Bridgewater pass incomplete deep left intended for Stefon Diggs is intercepted by Kyle Fuller at MIN-49 and returned for 15 yards,-0.160,-3.310
2,1:01,1,10,MIN 34,10,3,Jay Cutler pass incomplete short right intended for Martellus Bennett,3.310,2.770
2,0:56,2,10,MIN 34,10,3,Jay Cutler pass complete short right to Alshon Jeffery for 13 yards (tackle by Harrison Smith),2.770,2.770
2,0:49,2,10,MIN 34,10,3,Timeout #2 by Chicago Bears,2.770,4.170
2,0:49,1,10,MIN 21,10,9,"Jay Cutler pass complete deep left to Alshon Jeffery for 21 yards, touchdown",4.170,7.000
2,0:49,,,MIN 21,10,10,Robbie Gould kicks extra point good,0.000,0.000
2,0:49,,,CHI 35,10,10,"Robbie Gould kicks off 48 yards, returned by Marcus Sherels for 12 yards (tackle by Sherrick McManis)",0.000,-0.870
2,0:38,1,10,MIN 29,10,10,Matt Asiata right guard for 5 yards (tackle by Pernell McPhee and Christian Jones),0.870,1.000
Quarter,Time,Down,ToGo,Location,MIN,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
