Unnamed: 0,MIN,CHI
First Downs,17,18
Rush-Yds-TDs,25-147-0,25-97-1
Cmp-Att-Yd-TD-INT,17-30-187-1-1,22-33-211-1-0
Sacked-Yards,1-7,1-3
Net Pass Yards,180,208
Total Yards,327,305
Fumbles-Lost,1-0,2-0
Turnovers,1,0
Penalties-Yards,4-35,4-38
Third Down Conv.,5-12,3-12
Fourth Down Conv.,0-0,1-1
Time of Possession,27:18,32:42
