Quarter,Time,Tm,Detail,SEA,IND
1.0,5:41,Colts,Rodrigo Blankenship 21 yard field goal,0,3
,1:26,Seahawks,Tyler Lockett 23 yard pass from Russell Wilson (Jason Myers kick),7,3
2.0,11:22,Seahawks,Gerald Everett 9 yard pass from Russell Wilson (Jason Myers kick),14,3
,7:04,Colts,Zach Pascal 10 yard pass from Carson Wentz (Rodrigo Blankenship kick),14,10
,0:41,Seahawks,Tyler Lockett 69 yard pass from Russell Wilson (Jason Myers kick),21,10
4.0,6:41,Seahawks,D.K. Metcalf 15 yard pass from Russell Wilson (Jason Myers kick),28,10
,2:08,Colts,Zach Pascal 11 yard pass from Carson Wentz (run failed),28,16
