Unnamed: 0,SEA,IND
First Downs,18,23
Rush-Yds-TDs,27-140-0,30-113-0
Cmp-Att-Yd-TD-INT,18-23-254-4-0,25-38-251-2-0
Sacked-Yards,3-13,3-28
Net Pass Yards,241,223
Total Yards,381,336
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,7-53,2-16
Third Down Conv.,4-9,5-13
Fourth Down Conv.,0-0,0-3
Time of Possession,24:13,35:47
