Unnamed: 0,MIN,GNB
First Downs,24,24
Rush-Yds-TDs,18-68-0,24-98-0
Cmp-Att-Yd-TD-INT,35-48-425-4-1,30-42-281-1-0
Sacked-Yards,2-13,4-28
Net Pass Yards,412,253
Total Yards,480,351
Fumbles-Lost,0-0,2-0
Turnovers,1,0
Penalties-Yards,8-70,7-54
Third Down Conv.,7-14,4-13
Fourth Down Conv.,0-0,0-0
Time of Possession,31:52,38:08
