Quarter,Time,Down,ToGo,Location,PIT,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,NWE 25,0,0,Tom Brady pass complete short middle to Martellus Bennett for 12 yards (tackle by Lawrence Timmons),0.610,1.400
1,14:32,1,10,NWE 37,0,0,Tom Brady pass complete short left to Julian Edelman for 41 yards (tackle by Mike Mitchell),1.400,4.110
1,14:02,1,10,PIT 22,0,0,Tom Brady pass complete short left to Malcolm Mitchell for 5 yards (tackle by Artie Burns),4.110,4.290
1,13:44,2,5,PIT 17,0,0,Tom Brady pass complete short middle to Danny Amendola for 4 yards (tackle by Lawrence Timmons),4.290,4.390
1,13:16,3,1,PIT 13,0,0,Tom Brady pass incomplete short middle intended for Malcolm Mitchell,4.390,2.720
1,13:12,4,1,PIT 13,0,3,Stephen Gostkowski 31 yard field goal good,2.720,3.000
1,13:08,,,NWE 35,0,3,"Stephen Gostkowski kicks off 60 yards, returned by Justin Gilbert for 17 yards (tackle by Jonathan Jones)",0.000,-0.410
1,13:01,1,10,PIT 22,0,3,Le'Veon Bell right guard for 3 yards (tackle by Rob Ninkovich and Logan Ryan),0.410,0.270
1,12:27,2,7,PIT 25,0,3,Le'Veon Bell middle for 6 yards,0.270,0.370
1,11:53,3,1,PIT 31,0,3,Ben Roethlisberger pass incomplete deep left intended for Sammie Coates,0.370,-1.310
1,11:36,4,1,PIT 31,0,3,"Jordan Berry punts 36 yards, out of bounds",-1.310,-1.140
1,11:27,1,10,NWE 33,0,3,LeGarrette Blount left guard for -1 yards (tackle by Javon Hargrave),1.140,0.460
1,11:00,2,11,NWE 32,0,3,Tom Brady pass incomplete short left intended for Malcolm Mitchell,0.460,-0.230
1,10:49,3,11,NWE 32,0,3,Tom Brady sacked by Javon Hargrave for -10 yards,-0.230,-1.900
1,10:14,4,21,NWE 22,0,3,"Ryan Allen punts 39 yards, fair catch by Antonio Brown",-1.900,-1.530
1,10:06,1,10,PIT 39,0,3,Le'Veon Bell right guard for 6 yards (tackle by Elandon Roberts),1.530,1.800
1,9:41,2,4,PIT 45,0,3,Ben Roethlisberger pass incomplete short right intended for Antonio Brown,1.800,1.090
1,9:39,3,4,PIT 45,0,3,Ben Roethlisberger pass complete short right to Jesse James for 7 yards (tackle by Shea McClellin),1.090,2.390
1,9:02,1,10,NWE 48,0,3,Ben Roethlisberger pass complete short left to David Johnson for 1 yard (tackle by Logan Ryan),2.390,1.980
1,8:19,2,9,NWE 47,0,3,Le'Veon Bell middle for 3 yards (tackle by Jabaal Sheard and Trey Flowers),1.980,1.690
1,7:38,3,6,NWE 44,0,3,Ben Roethlisberger pass incomplete deep left intended for Antonio Brown (defended by Malcolm Butler),1.690,0.330
1,7:30,4,6,NWE 44,0,3,"Jordan Berry punts 44 yards, touchback",0.330,-0.280
1,7:23,1,10,NWE 20,0,3,Tom Brady pass complete short right to Dion Lewis for 3 yards (tackle by Ryan Shazier),0.280,0.140
1,7:03,2,7,NWE 23,0,3,Tom Brady pass complete short right to Julian Edelman for 6 yards (tackle by Ross Cockrell),0.140,0.230
1,6:48,3,1,NWE 29,0,3,Dion Lewis middle for 1 yard (tackle by James Harrison),0.230,0.940
1,6:28,1,10,NWE 30,0,3,Dion Lewis right guard for 8 yards (tackle by Lawrence Timmons),0.940,1.470
1,6:09,2,2,NWE 38,0,3,Dion Lewis right guard for 1 yard (tackle by Lawrence Timmons and Sean Davis),1.470,0.890
1,5:41,3,1,NWE 39,0,3,Tom Brady pass complete short left to Chris Hogan for 4 yards (tackle by Artie Burns),0.890,1.800
1,4:55,1,10,NWE 43,0,3,Tom Brady pass complete deep left to Chris Hogan for 26 yards (tackle by Sean Davis),1.800,3.510
1,4:23,1,10,PIT 31,0,3,Tom Brady pass complete short middle to Chris Hogan for 11 yards (tackle by Artie Burns),3.510,4.240
1,3:58,1,10,PIT 20,0,3,LeGarrette Blount left tackle for 4 yards (tackle by Jarvis Jones and Javon Hargrave),4.240,4.280
1,3:26,2,6,PIT 16,0,3,LeGarrette Blount left end for no gain (tackle by Ryan Shazier),4.280,3.520
1,2:55,3,6,PIT 16,0,9,"Tom Brady pass complete deep right to Chris Hogan for 16 yards, touchdown",3.520,7.000
1,2:47,,,PIT 15,0,10,Stephen Gostkowski kicks extra point good,0.000,0.000
1,2:47,,,NWE 35,0,10,"Stephen Gostkowski kicks off 63 yards, returned by Sammie Coates for 14 yards (tackle by Jonathan Jones)",0.000,0.140
1,2:41,1,10,PIT 16,0,10,Ben Roethlisberger pass incomplete short right intended for Roosevelt Nix,-0.140,-0.660
1,2:36,2,10,PIT 16,0,10,Le'Veon Bell middle for no gain (tackle by Patrick Chung and Alan Branch),-0.660,-1.320
1,1:57,3,10,PIT 16,0,10,Ben Roethlisberger pass complete short left to Eli Rogers for 16 yards (tackle by Devin McCourty),-1.320,1.070
1,1:23,1,10,PIT 32,0,10,DeAngelo Williams left tackle for 1 yard (tackle by Trey Flowers and Malcolm Butler),1.070,0.660
1,0:34,2,9,PIT 33,0,10,Ben Roethlisberger pass complete short right to Eli Rogers for 9 yards (tackle by Logan Ryan),0.660,1.730
1,0:09,1,10,PIT 42,0,10,Ben Roethlisberger pass complete short right to DeAngelo Williams for 6 yards (tackle by Rob Ninkovich),1.730,2.000
Quarter,Time,Down,ToGo,Location,PIT,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,PIT 48,0,10,DeAngelo Williams right guard for 15 yards (tackle by Eric Rowe),2.000,3.120
2,14:30,1,10,NWE 37,0,10,Ben Roethlisberger pass complete short middle to Antonio Brown for 11 yards (tackle by Logan Ryan),3.120,3.840
2,13:51,1,10,NWE 26,0,10,Ben Roethlisberger pass complete short middle to Eli Rogers for 8 yards (tackle by Logan Ryan),3.840,4.450
2,13:18,2,2,NWE 18,0,10,DeAngelo Williams left guard for 4 yards (tackle by Malcom Brown),4.450,4.650
2,12:47,1,10,NWE 14,0,10,Ben Roethlisberger pass complete short left to DeAngelo Williams for 3 yards (tackle by Dont'a Hightower),4.650,4.520
2,12:10,2,7,NWE 11,0,10,Ben Roethlisberger pass complete short right to Jesse James for 6 yards (tackle by Logan Ryan),4.520,4.960
2,11:37,3,1,NWE 5,6,10,"DeAngelo Williams left guard for 5 yards, touchdown",4.960,7.000
2,11:31,,,NWE 15,6,10,Chris Boswell kicks extra point no good,0.000,-1.000
2,11:31,,,PIT 35,6,10,"Chris Boswell kicks off 65 yards, returned by Dion Lewis for 18 yards (tackle by Roosevelt Nix)",0.000,-0.040
2,11:24,1,10,NWE 18,6,10,Tom Brady pass complete short right to Martellus Bennett for 9 yards (tackle by Lawrence Timmons and Ryan Shazier),0.040,0.820
2,10:51,2,1,NWE 27,6,10,LeGarrette Blount left tackle for 3 yards (tackle by James Harrison),0.820,0.940
2,10:16,1,10,NWE 30,6,10,Tom Brady pass incomplete deep middle intended for Chris Hogan,0.940,0.390
2,10:11,2,10,NWE 30,6,10,Tom Brady pass incomplete short right intended for James White,0.390,-0.300
2,10:06,3,10,NWE 30,6,10,Tom Brady pass complete short middle to Julian Edelman for 12 yards (tackle by William Gay and Lawrence Timmons),-0.300,1.730
2,9:31,1,10,NWE 42,6,10,Tom Brady pass complete short left to Chris Hogan for 4 yards (tackle by Artie Burns and Sean Davis),1.730,1.730
2,9:01,2,6,NWE 46,6,10,LeGarrette Blount right end for -2 yards (tackle by Stephon Tuitt),1.730,0.760
2,8:25,3,8,NWE 44,6,10,Tom Brady pass complete short left to Chris Hogan for 22 yards (tackle by Sean Davis),0.760,3.310
2,7:54,1,10,PIT 34,6,16,"Tom Brady pass complete deep right to Chris Hogan for 34 yards, touchdown",3.310,7.000
2,7:43,,,PIT 15,6,17,Stephen Gostkowski kicks extra point good,0.000,0.000
2,7:43,,,NWE 35,6,17,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
2,7:43,1,10,PIT 25,6,17,Le'Veon Bell middle for 2 yards (tackle by Trey Flowers),0.610,0.330
2,7:07,2,8,PIT 27,6,17,Ben Roethlisberger pass complete short left to DeAngelo Williams for 9 yards (tackle by Logan Ryan),0.330,1.330
2,6:28,1,10,PIT 36,6,17,Ben Roethlisberger pass complete short middle to Antonio Brown for 3 yards (tackle by Shea McClellin),1.330,1.200
2,5:45,2,7,PIT 39,6,17,Ben Roethlisberger pass complete short left to DeAngelo Williams for 9 yards (tackle by Malcolm Butler),1.200,2.130
2,5:06,1,10,PIT 48,6,17,Ben Roethlisberger pass complete short right to Eli Rogers for 7 yards (tackle by Logan Ryan),2.130,2.530
2,4:24,2,3,NWE 45,6,17,DeAngelo Williams right guard for 1 yard (tackle by Alan Branch and Jabaal Sheard),2.530,1.950
2,3:42,3,2,NWE 44,6,17,Ben Roethlisberger pass complete short right to Antonio Brown for 12 yards (tackle by Malcolm Butler),1.950,3.450
2,2:54,1,10,NWE 32,6,17,Ben Roethlisberger pass complete short right to Jesse James for 11 yards (tackle by Patrick Chung),3.450,4.170
2,2:21,1,10,NWE 21,6,17,Ben Roethlisberger pass incomplete deep left intended for Cobi Hamilton (defended by Eric Rowe),4.170,3.630
2,2:13,2,10,NWE 21,6,17,DeAngelo Williams middle for 2 yards (tackle by Malcom Brown and Alan Branch),3.630,3.180
2,2:00,3,8,NWE 19,6,17,Ben Roethlisberger pass complete short right to Jesse James for 18 yards (tackle by Duron Harmon and Patrick Chung),3.180,0.000
2,1:53,,,,6,17,Timeout #1 by New England Patriots,0.000,-6.970
