Unnamed: 0,OAK,KAN
First Downs,15,17
Rush-Yds-TDs,34-135-0,22-102-0
Cmp-Att-Yd-TD-INT,14-28-209-2-1,22-34-219-1-2
Sacked-Yards,0-0,3-22
Net Pass Yards,209,197
Total Yards,344,299
Fumbles-Lost,0-0,3-2
Turnovers,1,4
Penalties-Yards,2-20,5-40
Third Down Conv.,2-12,4-13
Fourth Down Conv.,0-0,0-0
Time of Possession,28:58,31:02
