Quarter,Time,Down,ToGo,Location,OAK,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Ryan Succop kicks off 72 yards, touchback",0.000,0.280
1,15:00,1,10,OAK 20,0,0,Carson Palmer pass incomplete deep left intended for Darrius Heyward-Bey is intercepted by Stanford Routt at KAN-39 and returned for 17 yards (tackle by Cooper Carlisle),0.280,-2.650
1,14:44,1,10,OAK 44,0,0,Brady Quinn pass complete short middle to Jamaal Charles for 5 yards (tackle by Joselio Hanson),2.650,2.780
1,14:22,2,5,OAK 39,0,0,Jamaal Charles left tackle for no gain (tackle by Matt Shaughnessy),2.780,2.080
1,13:47,3,5,OAK 39,0,0,Brady Quinn pass incomplete deep left intended for Dwayne Bowe,2.080,0.660
1,13:42,4,5,OAK 39,0,0,"Dustin Colquitt punts 33 yards, fair catch by Phillip Adams",0.660,0.380
1,13:34,1,10,OAK 6,0,0,Darren McFadden left end for -1 yards (tackle by Jovan Belcher),-0.380,-0.850
1,12:55,2,11,OAK 5,0,0,Carson Palmer pass complete short left to Darren McFadden for 11 yards (tackle by Tamba Hali),-0.850,-0.140
1,12:28,1,10,OAK 16,0,0,Darren McFadden up the middle for 2 yards (tackle by Dontari Poe),-0.140,-0.350
1,11:51,2,8,OAK 18,0,0,Carson Palmer pass complete short left to Denarius Moore for 58 yards (tackle by Brandon Flowers),-0.350,3.970
1,11:17,1,10,KAN 24,0,0,Darren McFadden up the middle for 2 yards (tackle by Dontari Poe),3.970,3.700
1,10:38,2,8,KAN 22,0,0,Carson Palmer pass incomplete short left intended for Rod Streater (defended by Ropati Pitoitua),3.700,3.010
1,10:34,3,8,KAN 22,0,0,Carson Palmer pass complete short right to Darren McFadden for 4 yards (tackle by Derrick O. Johnson),3.010,2.320
1,9:55,4,4,KAN 18,3,0,Sebastian Janikowski 36 yard field goal good,2.320,3.000
1,9:51,,,OAK 35,3,0,"Sebastian Janikowski kicks off 74 yards, touchback",0.000,0.280
1,9:51,1,10,KAN 20,3,0,Jamaal Charles right tackle for 2 yards (tackle by Richard Seymour),0.280,0.000
1,9:14,2,8,KAN 22,3,0,Dexter McCluster left end for 2 yards (tackle by Tyvon Branch),0.000,-0.430
1,8:30,3,6,KAN 24,3,0,Brady Quinn up the middle for 12 yards (tackle by Tyvon Branch),-0.430,1.330
1,7:52,1,10,KAN 36,3,0,Shaun Draughn left tackle for 1 yard (tackle by Philip Wheeler),1.330,0.930
1,7:07,2,9,KAN 37,3,0,Brady Quinn up the middle for 6 yards (tackle by Philip Wheeler),0.930,1.030
1,6:25,3,3,KAN 43,3,0,Brady Quinn pass complete short left to Jamaal Charles for -4 yards (tackle by Miles Burris),1.030,0.000
1,5:47,,,,3,0,Timeout #1 by Oakland Raiders,0.000,-0.780
1,5:47,4,7,KAN 39,3,0,"Dustin Colquitt punts 49 yards, returned by Phillip Adams for 5 yards (tackle by Cory Greenwood)",-0.780,0.060
1,5:35,1,10,OAK 17,3,0,Darren McFadden left end for 4 yards (tackle by Ropati Pitoitua and Justin Houston),-0.060,0.080
1,4:55,2,6,OAK 21,3,0,Darren McFadden up the middle for 4 yards (tackle by Ropati Pitoitua),0.080,-0.240
1,4:14,3,2,OAK 25,3,0,Darren McFadden right end for -4 yards (tackle by Derrick O. Johnson),-0.240,-1.960
1,3:41,4,6,OAK 21,3,0,"Shane Lechler punts 43 yards, returned by Javier Arenas for 13 yards (tackle by Dave Tollefson)",-1.960,-2.190
1,3:28,1,10,KAN 49,3,0,"Brady Quinn sacked by Rolando McClain for -7 yards. Brady Quinn fumbles (forced by Rolando McClain), recovered by Tony Moeaki at KAN-42",2.190,0.700
1,2:40,2,17,KAN 42,3,0,Brady Quinn pass incomplete deep middle intended for Tony Moeaki is intercepted by Matt Giordano at OAK-34 and returned for 21 yards (tackle by Dwayne Bowe),0.700,-2.590
1,2:27,1,10,KAN 45,3,0,Carson Palmer pass incomplete deep right intended for Juron Criner,2.590,2.040
1,2:21,2,10,KAN 45,3,0,Darren McFadden left tackle for 3 yards (tackle by Anthony Toribio),2.040,1.750
1,1:39,3,7,KAN 42,3,0,"Carson Palmer pass incomplete short left intended for Darrius Heyward-Bey. Penalty on Stanford Routt: Illegal Contact, 5 yards (no play)",1.750,3.120
1,1:33,1,10,KAN 37,3,0,Darren McFadden up the middle for 4 yards (tackle by Justin Houston),3.120,3.110
1,0:51,2,6,KAN 33,3,0,Carson Palmer pass complete short left to Denarius Moore for 16 yards (tackle by Stanford Routt),3.110,4.440
