Quarter,Time,Down,ToGo,Location,ARI,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Jay Feely kicks off 70 yards, returned by Chris Givens for 36 yards (tackle by Gregory Toler)",0.000,1.000
1,14:52,1,10,STL 31,0,0,Sam Bradford pass complete short right to Brandon Gibson for 14 yards (tackle by O'Brien Schofield),1.000,1.930
1,14:10,1,10,STL 45,0,0,Sam Bradford pass complete deep left to Danny Amendola for 44 yards (tackle by Patrick Peterson). Penalty on Patrick Peterson: Defensive Pass Interference (Declined),1.930,4.840
1,13:36,1,10,ARI 11,0,0,Sam Bradford pass incomplete short middle intended for Austin Pettis,4.840,4.140
1,13:30,2,10,ARI 11,0,0,Sam Bradford up the middle for 4 yards (tackle by Sam Acho),4.140,3.980
1,12:45,3,6,ARI 7,0,6,"Sam Bradford pass complete short left to Lance Kendricks for 7 yards, touchdown",3.980,7.000
1,12:45,,,ARI 2,0,7,Greg Zuerlein kicks extra point good,0.000,0.000
1,12:39,,,STL 35,0,7,"Greg Zuerlein kicks off 73 yards, touchback",0.000,0.280
1,12:39,1,10,ARI 20,0,7,Kevin Kolb pass complete short right to Larry Fitzgerald for 5 yards (tackle by Cortland Finnegan and Bradley Fletcher),0.280,0.410
1,12:11,2,5,ARI 25,0,7,Kevin Kolb pass complete short left to Andre Roberts for 3 yards (tackle by Quintin Mikell and Janoris Jenkins),0.410,0.100
1,11:20,3,2,ARI 28,0,7,Kevin Kolb pass complete short left to Ryan Williams for 5 yards (tackle by James Laurinaitis),0.100,1.140
1,10:43,1,10,ARI 33,0,7,Ryan Williams left tackle for 5 yards (tackle by Robert Quinn),1.140,1.270
1,9:59,2,5,ARI 38,0,7,Kevin Kolb pass complete short left to Larry Fitzgerald for 4 yards (tackle by Quintin Mikell),1.270,1.090
1,9:59,3,1,ARI 42,0,7,Kevin Kolb up the middle for 2 yards (tackle by Michael Brockers and Robert Quinn),1.090,1.860
1,8:35,1,10,ARI 44,0,7,Ryan Williams right guard for 1 yard (tackle by Chris Long and Cortland Finnegan),1.860,1.450
1,7:55,2,9,ARI 45,0,7,Kevin Kolb pass complete short right to Andre Roberts for 8 yards (tackle by Craig Dahl),1.450,1.820
1,7:20,3,1,STL 47,0,7,Ryan Williams right tackle for 3 yards (tackle by Jo-Lonn Dunbar and Cortland Finnegan),1.820,2.650
1,6:41,1,10,STL 44,0,7,Andre Roberts up the middle for 3 yards (tackle by James Laurinaitis),2.650,2.520
1,5:57,2,7,STL 41,0,7,"Ryan Williams up the middle for 4 yards (tackle by Quintin Mikell). Penalty on Chris Long: Defensive Offside, 5 yards (no play)",2.520,3.190
1,5:33,2,2,STL 36,0,7,Ryan Williams right end for 6 yards (tackle by Jermelle Cudjo and James Laurinaitis),3.190,3.580
1,4:47,1,10,STL 30,0,7,Kevin Kolb pass incomplete deep middle intended for Rob Housler,3.580,3.030
1,4:41,2,10,STL 30,0,7,Kevin Kolb pass complete short right to Andre Roberts for 11 yards (tackle by Bradley Fletcher),3.030,4.310
1,4:12,1,10,STL 19,0,7,Ryan Williams left end for 2 yards (tackle by James Laurinaitis),4.310,4.030
1,3:27,2,8,STL 17,0,7,Kevin Kolb pass incomplete short middle intended for Larry Fitzgerald (defended by Jo-Lonn Dunbar),4.030,3.260
1,3:22,3,8,STL 17,0,7,Kevin Kolb pass incomplete short right intended for Early Doucet,3.260,2.310
1,3:19,4,8,STL 17,3,7,Jay Feely 35 yard field goal good,2.310,3.000
1,3:15,,,ARI 35,3,7,"Jay Feely kicks off 65 yards, touchback",0.000,0.280
1,3:15,1,10,STL 20,3,7,Sam Bradford pass complete short right to Austin Pettis for 6 yards (tackle by Michael Adams),0.280,0.540
1,2:44,2,4,STL 26,3,7,Steven Jackson right tackle for no gain (tackle by O'Brien Schofield and Dan Williams),0.540,-0.160
1,2:02,3,4,STL 26,3,7,Sam Bradford pass incomplete short left intended for Danny Amendola (defended by Patrick Peterson),-0.160,-1.630
1,1:53,4,4,STL 26,3,7,"John Hekker punts 56 yards, returned by Patrick Peterson for 11 yards (tackle by Mario Haggan)",-1.630,-0.870
1,1:42,1,10,ARI 29,3,7,Kevin Kolb pass complete deep middle to Larry Fitzgerald for 19 yards (tackle by James Laurinaitis),0.870,2.130
1,0:56,1,10,ARI 48,3,7,Kevin Kolb sacked by Bradley Fletcher for 0 yards,2.130,1.580
1,0:26,2,10,ARI 48,3,7,Ryan Williams right end for 4 yards (tackle by Cortland Finnegan),1.580,1.420
Quarter,Time,Down,ToGo,Location,ARI,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,STL 48,3,7,Kevin Kolb sacked by Chris Long for -9 yards,1.420,-0.520
2,15:00,4,15,ARI 43,3,7,"Dave Zastudil punts 49 yards, fair catch by Danny Amendola",-0.520,0.380
2,14:25,1,10,STL 8,3,7,Sam Bradford pass complete short left to Brandon Gibson for 10 yards (tackle by Patrick Peterson),-0.380,0.040
2,13:44,1,10,STL 18,3,7,Sam Bradford pass incomplete short left intended for Lance Kendricks,0.040,-0.490
2,13:38,2,10,STL 18,3,7,Sam Bradford pass incomplete short middle intended for Daryl Richardson (defended by Calais Campbell),-0.490,-1.170
2,13:34,3,10,STL 18,3,7,Sam Bradford pass incomplete short middle intended for Danny Amendola,-1.170,-2.240
2,13:30,4,10,STL 18,3,7,"John Hekker punts 68 yards, out of bounds",-2.240,0.280
2,13:21,1,10,ARI 14,3,7,Ryan Williams up the middle for 4 yards (tackle by Quintin Mikell and Michael Brockers),-0.280,-0.210
2,12:46,2,6,ARI 18,3,7,Kevin Kolb pass incomplete deep right intended for Larry Fitzgerald,-0.210,-0.920
2,12:41,3,6,ARI 18,3,7,Kevin Kolb pass incomplete short right intended for William Powell,-0.920,-2.240
2,12:37,4,6,ARI 18,3,7,"Dave Zastudil punts 46 yards, returned by Danny Amendola for 14 yards (tackle by Rashad Johnson)",-2.240,-2.260
2,12:23,1,10,,3,7,Steven Jackson right guard for 12 yards (tackle by Paris Lenon),2.260,3.050
2,11:37,1,10,ARI 38,3,7,Steven Jackson left tackle for 2 yards (tackle by Sam Acho),3.050,2.780
2,11:00,2,8,ARI 36,3,7,Sam Bradford pass incomplete short left intended for Chris Givens,2.780,2.080
2,10:56,3,8,ARI 36,3,7,Sam Bradford pass incomplete deep right intended for Danny Amendola,2.080,0.880
2,10:50,4,8,ARI 36,3,10,Greg Zuerlein 53 yard field goal good,0.880,3.000
2,10:45,,,STL 35,3,10,"Greg Zuerlein kicks off 74 yards, touchback",0.000,0.280
2,10:45,1,10,ARI 20,3,10,Kevin Kolb pass incomplete short right intended for Larry Fitzgerald (defended by Cortland Finnegan),0.280,-0.270
2,10:39,2,10,ARI 20,3,10,Kevin Kolb pass incomplete deep left intended for Rob Housler (defended by Janoris Jenkins),-0.270,-0.960
2,10:34,3,10,ARI 20,3,10,Kevin Kolb pass complete short left to Rob Housler for 25 yards (tackle by Craig Dahl),-0.960,1.930
2,10:12,1,10,ARI 45,3,10,Kevin Kolb pass incomplete deep middle intended for Andre Roberts,1.930,1.380
2,10:05,2,10,ARI 45,3,10,Ryan Williams left tackle for 5 yards (tackle by Jo-Lonn Dunbar),1.380,1.360
2,9:22,3,5,,3,10,Kevin Kolb pass incomplete short left intended for Michael Floyd,1.360,-0.060
2,9:17,4,5,,3,10,Dave Zastudil punts 46 yards,-0.060,0.380
2,9:05,1,10,STL 4,3,10,Steven Jackson right tackle for 4 yards (tackle by Dan Williams),-0.380,-0.490
2,8:35,2,6,STL 8,3,10,Steven Jackson up the middle for 1 yard (tackle by Vonnie Holliday),-0.490,-0.840
2,7:51,3,5,STL 9,3,10,Sam Bradford pass incomplete deep right intended for Danny Amendola,-0.840,-2.490
,,,,,,,"ARI challenged the pass completion ruling, and the original play was overturned.",,
2,7:47,4,5,STL 9,3,10,"John Hekker punts 60 yards, returned by Patrick Peterson for 19 yards (tackle by Rocky McIntosh)",-2.490,-2.260
2,7:33,1,10,,3,10,Kevin Kolb pass complete short left to Rob Housler for 13 yards (tackle by Cortland Finnegan),2.260,3.120
2,6:54,1,10,STL 37,3,10,Kevin Kolb sacked by Robert Quinn for -9 yards,3.120,1.360
2,6:22,2,19,STL 46,3,10,Kevin Kolb pass complete short middle to Rob Housler for 7 yards (tackle by Jo-Lonn Dunbar),1.360,1.620
2,5:35,3,12,STL 39,3,10,Kevin Kolb pass complete short middle to Early Doucet for 12 yards (tackle by Cortland Finnegan and Craig Dahl),1.620,3.780
2,4:51,1,10,STL 27,3,10,Kevin Kolb pass incomplete deep left intended for Larry Fitzgerald,3.780,3.230
2,4:45,2,10,STL 27,3,10,Ryan Williams left tackle for no gain (tackle by James Laurinaitis and Craig Dahl),3.230,2.540
2,4:06,3,10,STL 27,3,10,"Penalty on Michael Brockers: Neutral Zone Infraction, 5 yards (no play)",2.540,3.200
2,3:43,3,5,STL 22,3,10,Kevin Kolb pass incomplete short left intended for Andre Roberts (defended by Janoris Jenkins),3.200,2.040
2,3:35,4,5,STL 22,3,10,Jay Feely 40 yard field goal no good,2.040,-0.940
2,3:31,1,10,STL 30,3,10,Daryl Richardson right tackle for 7 yards (tackle by Paris Lenon),0.940,1.340
2,2:56,2,3,STL 37,3,10,Daryl Richardson up the middle for no gain (tackle by O'Brien Schofield),1.340,0.630
2,2:12,3,3,STL 37,3,10,Sam Bradford sacked by Daryl Washington for -10 yards,0.630,-1.570
2,2:00,4,13,STL 27,3,10,"John Hekker punts 55 yards, returned by Patrick Peterson for 35 yards (tackle by Lance Kendricks). Penalty on Alfonso Smith: Defensive Offside, 5 yards (no play)",-1.570,-1.240
2,1:46,4,8,STL 32,3,10,"Penalty on Justin Bethel: Neutral Zone Infraction, 5 yards (no play)",-1.240,-0.910
2,1:46,4,3,STL 37,3,10,"John Hekker punts 57 yards, out of bounds",-0.910,0.380
2,1:38,1,10,ARI 6,3,10,William Powell left tackle for 7 yards (tackle by Craig Dahl),-0.380,-0.270
2,0:59,2,3,ARI 13,3,10,Kevin Kolb sacked by Jo-Lonn Dunbar for -5 yards,-0.270,0.000
2,0:55,,,,3,10,Timeout #1 by St. Louis Rams,0.000,-1.190
2,0:55,3,8,ARI 8,3,10,"Kevin Kolb pass complete short middle to William Powell for 2 yards (tackle by Cortland Finnegan and Jo-Lonn Dunbar). Penalty on Kendall Langford: Roughing the Passer, 15 yards",-1.190,0.610
