Unnamed: 0,ARI,STL
First Downs,20,12
Rush-Yds-TDs,17-45-0,32-111-0
Cmp-Att-Yd-TD-INT,28-50-289-0-0,7-21-141-2-1
Sacked-Yards,9-52,1-10
Net Pass Yards,237,131
Total Yards,282,242
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,5-35,7-60
Third Down Conv.,7-19,4-14
Fourth Down Conv.,0-2,0-0
Time of Possession,34:22,25:38
