Unnamed: 0,ATL,CAR
First Downs,16,29
Rush-Yds-TDs,21-194-0,25-141-0
Cmp-Att-Yd-TD-INT,15-26-239-3-0,37-57-312-1-3
Sacked-Yards,1-6,2-17
Net Pass Yards,233,295
Total Yards,427,436
Fumbles-Lost,2-2,2-1
Turnovers,2,4
Penalties-Yards,4-41,10-86
Third Down Conv.,4-10,7-14
Fourth Down Conv.,0-0,0-2
Time of Possession,22:31,37:29
