Quarter,Time,Tm,Detail,ATL,CAR
1.0,6:57,Panthers,Ian Thomas 1 yard pass from Taylor Heinicke (Chandler Catanzaro kick),0,7
,0:38,Falcons,Julio Jones 1 yard pass from Matt Ryan (Matt Bryant kick),7,7
2.0,7:40,Panthers,Chandler Catanzaro 50 yard field goal,7,10
,5:31,Falcons,Matt Bryant 39 yard field goal,10,10
3.0,14:51,Falcons,Calvin Ridley 75 yard pass from Matt Ryan (Matt Bryant kick),17,10
,4:36,Falcons,Mohamed Sanu 44 yard pass from Matt Ryan (Matt Bryant kick),24,10
