Quarter,Time,Tm,Detail,PIT,DEN
1.0,9:00,Steelers,Jeff Reed 24 yard field goal,3,0
2.0,12:09,Broncos,Shannon Sharpe 10 yard pass from Steve Beuerlein (Jason Elam kick),3,7
,6:15,Steelers,Jeff Reed 26 yard field goal,6,7
4.0,9:22,Broncos,Rod Smith 11 yard pass from Steve Beuerlein (Jason Elam kick),6,14
,2:41,Steelers,Jerome Bettis 1 yard rush (Jerome Bettis run),14,14
,0:00,Broncos,Jason Elam 47 yard field goal,14,17
