Unnamed: 0,PIT,DEN
First Downs,17,15
Rush-Yds-TDs,30-85-1,18-77-0
Cmp-Att-Yd-TD-INT,20-31-186-0-0,17-28-172-2-2
Sacked-Yards,7-56,2-7
Net Pass Yards,130,165
Total Yards,215,242
Fumbles-Lost,3-1,2-1
Turnovers,1,3
Penalties-Yards,9-85,6-37
Third Down Conv.,4-15,2-8
Fourth Down Conv.,2-2,0-0
Time of Possession,36:15,23:45
