Unnamed: 0,GNB,TAM
First Downs,13,21
Rush-Yds-TDs,21-94-1,35-158-2
Cmp-Att-Yd-TD-INT,16-35-160-0-2,17-28-166-2-0
Sacked-Yards,5-53,0-0
Net Pass Yards,107,166
Total Yards,201,324
Fumbles-Lost,1-0,0-0
Turnovers,2,0
Penalties-Yards,6-76,0-0
Third Down Conv.,7-17,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,31:37,28:23
