Quarter,Time,Down,ToGo,Location,GNB,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Packers to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,GNB 25,0,0,Aaron Jones left end for no gain (tackle by Devin White),0.610,0.060
1,14:18,2,10,GNB 25,0,0,Aaron Rodgers pass incomplete short right intended for Jamaal Williams (defended by Carlton Davis),0.060,-0.620
1,14:14,3,10,GNB 25,0,0,Aaron Rodgers pass complete short middle to Aaron Jones for 20 yards (tackle by Sean Murphy-Bunting and Jordan Whitehead),-0.620,1.930
1,13:30,1,10,GNB 45,0,0,Aaron Rodgers pass complete short right to Davante Adams for 8 yards (tackle by Carlton Davis),1.930,2.460
1,12:52,2,2,TAM 47,0,0,Aaron Rodgers pass complete short middle to Davante Adams for 12 yards (tackle by Carlton Davis),2.460,3.250
1,12:10,1,10,TAM 35,0,0,Aaron Rodgers pass complete short middle to Marquez Valdes-Scantling for 12 yards (tackle by Devin White),3.250,4.040
1,11:27,1,10,TAM 23,0,0,Aaron Rodgers pass incomplete short left,4.040,3.500
1,11:24,,,,,,Timeout #1 by Green Bay Packers,,
1,11:24,2,10,TAM 23,0,0,Jamaal Williams right end for 2 yards (tackle by Lavonte David),3.500,3.070
1,10:38,3,8,TAM 21,0,0,Aaron Rodgers pass incomplete deep left intended for Malik Taylor,3.070,2.060
1,10:31,4,8,TAM 21,3,0,Mason Crosby 39 yard field goal good,2.060,3.000
1,10:27,,,GNB 35,3,0,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
1,10:27,1,10,TAM 25,3,0,Ronald Jones right guard for 2 yards (tackle by Krys Barnes),0.610,0.330
1,9:53,2,8,TAM 27,3,0,Tom Brady pass complete short right to Ronald Jones for 6 yards (tackle by Kenny Clark),0.330,0.430
1,9:11,3,2,TAM 33,3,0,LeSean McCoy up the middle for 1 yard (tackle by Josh Jackson),0.430,-1.110
1,8:28,4,1,TAM 34,3,0,Bradley Pinion punts 46 yards out of bounds,-1.110,-0.280
1,8:20,1,10,GNB 20,3,0,Jamaal Williams right end for 5 yards (tackle by Devin White and Rakeem Nunez-Roches),0.280,0.410
1,7:38,2,5,GNB 25,3,0,Aaron Jones left end for -2 yards (tackle by Devin White),0.410,-0.560
1,6:51,3,7,GNB 23,3,0,Aaron Rodgers pass complete short right to Robert Tonyan for 11 yards (tackle by Sean Murphy-Bunting),-0.560,1.200
1,6:07,1,10,GNB 34,3,0,Jamaal Williams right guard for 25 yards (tackle by Jamel Dean),1.200,2.850
1,5:24,1,10,TAM 41,3,0,Aaron Rodgers pass incomplete short right,2.850,2.310
1,5:16,2,10,TAM 41,3,0,Aaron Rodgers pass complete short right to Marquez Valdes-Scantling for 15 yards (tackle by Devin White),2.310,3.840
1,4:28,1,10,TAM 26,3,0,Aaron Rodgers pass complete short right to Davante Adams for 13 yards (tackle by Carlton Davis and Antoine Winfield),3.840,4.710
1,3:40,1,10,TAM 13,3,0,"AJ Dillon left end for 7 yards (tackle by Antoine Winfield). Penalty on Elgton Jenkins: Offensive Holding, 10 yards (no play)",4.710,4.040
1,3:09,1,20,TAM 23,3,0,Aaron Jones left guard for no gain (tackle by Anthony Nelson),4.040,2.810
1,2:21,2,20,TAM 23,3,0,Aaron Rodgers pass complete short right to Darrius Shepherd for 16 yards (tackle by Carlton Davis),2.810,4.330
1,1:31,3,4,TAM 7,3,0,Aaron Rodgers right end for 6 yards (tackle by Antoine Winfield),4.330,6.970
1,1:08,1,1,TAM 1,9,0,"Aaron Jones up the middle for 1 yard, touchdown",6.970,7.000
