Quarter,Time,Tm,Detail,GNB,TAM
1.0,10:27,Packers,Mason Crosby 39 yard field goal,3,0
,0:48,Packers,Aaron Jones 1 yard rush (Mason Crosby kick),10,0
2.0,12:42,Buccaneers,Jamel Dean 32 yard interception return (Ryan Succop kick),10,7
,11:02,Buccaneers,Ronald Jones II 2 yard rush (Ryan Succop kick),10,14
,4:35,Buccaneers,Tyler Johnson 7 yard pass from Tom Brady (Ryan Succop kick),10,21
,1:02,Buccaneers,Rob Gronkowski 12 yard pass from Tom Brady (Ryan Succop kick),10,28
3.0,12:14,Buccaneers,Ryan Succop 50 yard field goal,10,31
,2:40,Buccaneers,Ronald Jones II 1 yard rush (Ryan Succop kick),10,38
