Unnamed: 0,OAK,BAL
First Downs,10,18
Rush-Yds-TDs,19-47-0,46-192-2
Cmp-Att-Yd-TD-INT,15-33-228-1-1,13-25-183-1-0
Sacked-Yards,4-41,0-0
Net Pass Yards,187,183
Total Yards,234,375
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,2-10,8-52
Third Down Conv.,2-13,10-18
Fourth Down Conv.,1-4,0-0
Time of Possession,23:40,36:20
