Quarter,Time,Down,ToGo,Location,OAK,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Matt Stover kicks off 63 yards, returned by Johnnie Lee Higgins for 15 yards (tackle by Brendon Ayanbadejo)",0.000,0.410
1,14:55,1,10,OAK 22,0,0,Justin Fargas left tackle for 1 yard (tackle by Justin Bannan and Haloti Ngata),0.410,0.000
1,14:17,2,9,OAK 23,0,0,JaMarcus Russell sacked by Terrell Suggs for -13 yards,0.000,-2.820
1,13:40,3,22,OAK 10,0,0,Justin Fargas left end for 8 yards (tackle by Jarret Johnson),-2.820,-2.240
1,13:06,4,14,OAK 18,0,0,"Shane Lechler punts 49 yards, returned by Jim Leonhard for 16 yards (tackle by Luke Lawton)",-2.240,-2.190
1,12:54,1,10,BAL 49,0,0,"Penalty on Jared Gaither: False Start, 5 yards (no play)",2.190,1.860
1,12:54,1,15,BAL 44,0,0,Willis McGahee right guard for 1 yard (tackle by Ricky Brown),1.860,1.110
1,12:19,2,14,BAL 45,0,0,Joe Flacco pass incomplete short right intended for Le'Ron McClain,1.110,0.430
1,12:13,3,14,BAL 45,0,0,Joe Flacco pass incomplete deep right intended for Demetrius Williams (defended by DeAngelo Hall),0.430,-0.390
1,12:06,4,14,BAL 45,0,0,Sam Koch punts 48 yards,-0.390,0.380
1,11:58,1,10,OAK 7,0,0,Justin Fargas up the middle for -1 yards (tackle by Terrell Suggs),-0.380,-0.850
1,11:22,2,11,OAK 6,0,0,Justin Fargas right tackle for 4 yards (tackle by Trevor Pryce),-0.850,-1.070
1,10:37,3,7,OAK 10,0,2,"JaMarcus Russell sacked by Jameel McClain for -10 yards, safety",-1.070,-2.000
1,,,,OAK 20,0,2,"Shane Lechler kicks off 65 yards, returned by Jim Leonhard for 16 yards (tackle by Johnnie Lee Higgins)",0.000,1.000
1,10:28,1,10,BAL 31,0,2,Joe Flacco pass incomplete short right intended for Le'Ron McClain,1.000,0.460
1,10:23,,,,0,2,Timeout #1 by Baltimore Ravens,0.000,0.460
1,10:23,2,10,BAL 31,0,2,Le'Ron McClain right guard for 5 yards (tackle by Terdell Sands and Tommy Kelly),0.460,0.430
1,9:47,3,5,BAL 36,0,2,Joe Flacco pass complete short right to Todd Heap for 6 yards (tackle by Michael Huff),0.430,1.730
1,9:06,1,10,BAL 42,0,2,Troy Smith up the middle for 3 yards (tackle by Kirk Morrison and Jay Richardson),1.730,1.590
1,8:28,2,7,BAL 45,0,2,Joe Flacco pass incomplete short right intended for Le'Ron McClain,1.590,0.890
1,8:23,3,7,BAL 45,0,2,Joe Flacco pass incomplete short right intended for Derrick Mason,0.890,-0.390
1,8:20,4,7,BAL 45,0,2,Sam Koch punts 29 yards,-0.390,-0.670
1,8:11,1,10,OAK 26,0,2,Justin Fargas left guard for 2 yards (tackle by Bart Scott),0.670,0.400
1,7:37,2,8,OAK 28,0,2,Justin Fargas right guard for -3 yards (tackle by Marques Douglas),0.400,-0.690
1,6:57,3,11,OAK 25,0,2,Justin Fargas left end for 3 yards (tackle by Jameel McClain),-0.690,-1.500
1,6:19,4,8,OAK 28,0,2,"Shane Lechler punts 47 yards, returned by Jim Leonhard for 1 yard (tackle by Trevor Scott)",-1.500,-0.670
1,6:09,1,10,BAL 26,0,2,Le'Ron McClain right guard for 14 yards (tackle by Ricky Brown and Hiram Eugene),0.670,1.600
1,5:30,1,10,BAL 40,0,2,Willis McGahee left guard for 2 yards (tackle by Gibril Wilson and Kirk Morrison),1.600,1.320
1,4:58,2,8,BAL 42,0,2,Joe Flacco pass complete short right to Derrick Mason for 3 yards (tackle by DeAngelo Hall),1.320,1.030
1,4:18,,,,0,2,Timeout #2 by Baltimore Ravens,0.000,1.030
1,4:18,3,5,BAL 45,0,2,Joe Flacco pass incomplete deep middle intended for Willis McGahee,1.030,-0.390
1,4:12,4,5,BAL 45,0,2,"Sam Koch punts 47 yards, returned by Johnnie Lee Higgins for 8 yards (tackle by Evan Oglesby). Penalty on Hiram Eugene: Offensive Holding, 5 yards",-0.390,0.380
1,4:03,1,10,OAK 3,0,2,JaMarcus Russell pass complete short middle to Tony Stewart for 5 yards (tackle by Ray Lewis),-0.380,-0.420
1,3:29,2,5,OAK 8,0,2,Michael Bush right guard for 2 yards (tackle by Bart Scott and Marques Douglas),-0.420,-0.600
1,2:44,3,3,OAK 10,0,2,Michael Bush up the middle for no gain (tackle by Terrell Suggs),-0.600,-2.490
