Quarter,Time,Tm,Detail,STL,SEA
1.0,6:25,Rams,Greg Zuerlein 33 yard field goal,3,0
2.0,4:18,Rams,Greg Zuerlein 52 yard field goal,6,0
3.0,11:13,Seahawks,Stephen Hauschka 42 yard field goal,6,3
,4:45,Seahawks,Stephen Hauschka 45 yard field goal,6,6
4.0,12:07,Seahawks,Marshawn Lynch 9 yard rush (Stephen Hauschka kick),6,13
,9:50,Seahawks,Bruce Irvin 49 yard interception return (Stephen Hauschka kick),6,20
