Unnamed: 0,TEN,SEA
First Downs,13,24
Rush-Yds-TDs,20-66-0,33-151-2
Cmp-Att-Yd-TD-INT,17-29-171-0-2,23-31-257-0-0
Sacked-Yards,3-14,2-4
Net Pass Yards,157,253
Total Yards,223,404
Fumbles-Lost,3-0,5-2
Turnovers,2,2
Penalties-Yards,7-44,6-65
Third Down Conv.,4-12,5-13
Fourth Down Conv.,1-2,1-1
Time of Possession,26:38,33:22
