Quarter,Time,Down,ToGo,Location,TEN,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Steven Hauschka kicks off 73 yards, returned by Darius Reynaud for 25 yards (tackle by Heath Farwell)",0.000,0.060
1,14:56,1,10,TEN 17,0,0,Chris Johnson left guard for no gain (tackle by Tony McDaniel and Richard Sherman),-0.060,-0.580
1,14:19,2,10,TEN 17,0,0,Ryan Fitzpatrick left end for 11 yards (tackle by Earl Thomas),-0.580,0.810
1,13:30,1,10,TEN 28,0,0,"Ryan Fitzpatrick for no gain. Ryan Fitzpatrick fumbles, recovered by Ryan Fitzpatrick at TEN-25",0.810,-0.140
1,13:00,2,13,TEN 25,0,0,Ryan Fitzpatrick pass incomplete short left intended for Chris Johnson,-0.140,-0.820
1,12:55,3,13,TEN 25,0,0,Ryan Fitzpatrick pass complete short middle to Chris Johnson for 2 yards (tackle by Malcolm Smith),-0.820,-1.570
1,12:12,4,11,TEN 27,0,0,"Brett Kern punts 46 yards, returned by Golden Tate for 4 yards (tackle by George Wilson)",-1.570,-1.000
1,12:00,1,10,SEA 31,0,0,Russell Wilson pass complete short right to Luke Willson for 14 yards (tackle by Jason McCourty and Zach Brown),1.000,1.930
1,11:20,1,10,SEA 45,0,0,Russell Wilson left tackle for 1 yard (tackle by Kamerion Wimbley),1.930,1.520
1,10:41,2,9,SEA 46,0,0,Marshawn Lynch up the middle for 4 yards (tackle by Jurrell Casey and Lavar Edwards),1.520,1.360
1,10:10,3,5,,0,0,Russell Wilson pass incomplete short middle intended for Golden Tate (defended by Alterraun Verner),1.360,-0.060
1,10:06,4,5,,0,0,"Jon Ryan punts 43 yards, fair catch by Darius Reynaud",-0.060,0.380
1,9:59,1,10,TEN 7,0,0,Chris Johnson up the middle for -4 yards (tackle by Red Bryant),-0.380,-1.070
1,9:19,2,14,TEN 3,0,0,Ryan Fitzpatrick pass complete deep left to Kendall Wright for 32 yards (tackle by Brandon Browner),-1.070,1.270
1,8:39,1,10,TEN 35,0,0,Ryan Fitzpatrick pass complete short middle to Kendall Wright for 11 yards (tackle by Brandon Browner),1.270,1.990
1,8:04,1,10,TEN 46,0,0,Ryan Fitzpatrick pass complete short right to Kendall Wright for 4 yards (tackle by Earl Thomas),1.990,1.990
1,7:20,2,6,,0,0,"Ryan Fitzpatrick for 5 yards. Penalty on Richard Sherman: Unnecessary Roughness, 15 yards",1.990,3.580
1,6:54,1,10,SEA 30,0,0,Chris Johnson right tackle for 1 yard (tackle by Clinton McDonald and Bruce Irvin),3.580,3.170
1,6:14,2,9,SEA 29,0,0,Ryan Fitzpatrick pass incomplete deep left intended for Damian Williams,3.170,2.480
1,6:07,3,9,SEA 29,0,0,Ryan Fitzpatrick pass complete short right to Justin Hunter for 8 yards (tackle by Earl Thomas and Richard Sherman),2.480,2.210
1,5:21,4,1,SEA 21,3,0,Rob Bironas 38 yard field goal good,2.210,3.000
1,5:21,,,TEN 35,3,0,"Rob Bironas kicks off 72 yards, returned by Jermaine Kearse for 26 yards (tackle by Kamerion Wimbley)",0.000,-0.150
1,5:09,1,10,SEA 19,3,0,Russell Wilson right end for 13 yards,0.150,1.070
1,4:30,1,10,SEA 32,3,0,Marshawn Lynch left tackle for 4 yards (tackle by Zach Brown and Jurrell Casey),1.070,1.070
1,3:56,2,6,SEA 36,3,0,Marshawn Lynch left end for 3 yards (tackle by Mike Martin),1.070,0.760
1,3:26,3,3,SEA 39,3,0,Russell Wilson pass incomplete short middle intended for Golden Tate (defended by Alterraun Verner),0.760,-0.780
1,3:23,4,3,SEA 39,3,0,"Jon Ryan punts 61 yards, touchback",-0.780,-0.280
1,3:13,1,10,TEN 20,3,0,Ryan Fitzpatrick pass incomplete deep left intended for Nate Washington is intercepted by Earl Thomas at TEN-42,0.280,-2.790
1,3:05,1,10,TEN 42,3,0,Marshawn Lynch left tackle for 3 yards (tackle by Akeem Ayers and Ropati Pitoitua),2.790,2.650
1,2:31,2,7,TEN 39,3,0,Marshawn Lynch up the middle for 2 yards (tackle by Antonio Johnson and Moise Fokou),2.650,2.210
1,1:45,3,5,TEN 37,3,0,"Russell Wilson up the middle for 12 yards. Penalty on James Carpenter: Offensive Holding, 10 yards (no play)",2.210,0.890
1,1:18,3,15,TEN 47,3,0,Russell Wilson pass complete short left to Marshawn Lynch for 5 yards (tackle by Michael Griffin and Moise Fokou),0.890,0.460
1,0:40,4,10,TEN 42,3,0,"Jon Ryan punts 42 yards, touchback",0.460,-0.280
1,0:31,1,10,TEN 20,3,0,Chris Johnson left guard for 2 yards (tackle by Jordan Hill and Clinton McDonald),0.280,0.000
Quarter,Time,Down,ToGo,Location,TEN,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
