Quarter,Time,Tm,Detail,TEN,SEA
1.0,5:16,Titans,Rob Bironas 38 yard field goal,3,0
2.0,2:41,Seahawks,Marshawn Lynch 1 yard rush (Stephen Hauschka kick),3,7
,0:00,Titans,Jason McCourty 77 yard defensive fumble return (Rob Bironas kick),10,7
3.0,4:27,Seahawks,Stephen Hauschka 31 yard field goal,10,10
4.0,11:23,Seahawks,Stephen Hauschka 29 yard field goal,10,13
,7:33,Seahawks,Marshawn Lynch 3 yard rush (Stephen Hauschka kick),10,20
,2:18,Titans,Rob Bironas 25 yard field goal,13,20
