Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,PHI 30,,,"David Akers kicks off 69 yards, returned by Bryan McCann for 18 yards (tackle by Keenan Clayton)",,
1,14:56,1,10,DAL 19,0,0,Felix Jones middle for 2 yards (tackle by Omar Gaither),0.150,-0.060
1,14:18,2,8,DAL 21,0,0,Stephen McGee pass complete short right to Felix Jones for -4 yards (tackle by Trevard Lindley),-0.060,-1.420
1,13:39,3,12,DAL 17,0,0,Stephen McGee pass complete short left to Miles Austin for 31 yards (tackle by Keenan Clayton),-1.420,2.130
1,12:57,1,10,DAL 48,0,0,Stephen McGee for 5 yards (tackle by Trevard Lindley),2.130,2.260
1,12:30,,,,0,0,Timeout #1 by Philadelphia Eagles,0.000,2.260
1,12:30,2,5,PHI 47,0,0,Felix Jones right end for 12 yards (tackle by Colt Anderson),2.260,3.250
1,12:30,1,10,PHI 35,0,0,Tashard Choice right tackle for 4 yards (tackle by Moise Fokou),3.250,3.240
1,11:23,2,6,PHI 31,0,0,Miles Austin middle for -9 yards (tackle by Dimitri Patterson),3.240,1.350
1,10:41,3,15,PHI 40,0,0,Stephen McGee pass incomplete short right intended for Manuel Johnson,1.350,0.590
1,10:36,4,15,PHI 40,0,0,"Mat McBriar punts 40 yards, touchback",0.590,-0.280
1,10:27,1,10,PHI 20,0,0,Kevin Kolb pass complete short right to Clay Harbor for 9 yards (tackle by Bradie James),0.280,0.950
1,10:01,2,1,PHI 29,0,0,Jerome Harrison right guard for 9 yards (tackle by Igor Olshansky),0.950,1.470
1,9:20,1,10,PHI 38,0,0,Kevin Kolb pass complete short right to Jerome Harrison for 8 yards (tackle by Terence Newman),1.470,2.000
1,8:58,2,2,PHI 46,0,0,Jerome Harrison right end for 6 yards (tackle by Terence Newman),2.000,2.390
1,8:15,1,10,DAL 48,0,0,Kevin Kolb pass incomplete deep left intended for Jeremy Maclin,2.390,1.850
1,8:08,2,10,DAL 48,0,0,Kevin Kolb pass incomplete,1.850,1.160
1,8:04,3,10,DAL 48,0,0,Kevin Kolb pass incomplete short right intended for Clay Harbor (defended by Jay Ratliff),1.160,0.070
1,8:00,4,10,DAL 48,0,0,Saverio Rocca punts 39 yards,0.070,0.380
1,7:50,1,10,DAL 9,0,0,Felix Jones left guard for 4 yards (tackle by Darryl Tapp),-0.380,-0.480
1,7:19,2,6,DAL 13,0,0,Felix Jones left end for 2 yards (tackle by Omar Gaither),-0.480,-0.720
1,6:33,3,4,DAL 15,0,0,Tashard Choice middle for 1 yard (tackle by Darryl Tapp),-0.720,-2.390
1,6:02,4,3,DAL 16,0,0,"Mat McBriar punts 58 yards, returned by Chad Hall for 14 yards (tackle by Sean Lee). Penalty on Dimitri Patterson: Offensive Holding, 10 yards",-2.390,-0.940
1,5:49,1,10,PHI 30,0,0,Jerome Harrison right end for 4 yards (tackle by Keith Brooking and Bradie James),0.940,0.930
1,5:16,2,6,PHI 34,0,0,Jerome Harrison right guard for 2 yards (tackle by Keith Brooking),0.930,0.500
1,4:36,3,4,PHI 36,0,0,Kevin Kolb pass complete short right to Jerome Harrison for 1 yard (tackle by Keith Brooking),0.500,-0.910
1,4:15,4,3,PHI 37,0,0,"Saverio Rocca punts 39 yards, fair catch by Bryan McCann",-0.910,-0.540
1,4:08,1,10,DAL 24,0,0,Stephen McGee sacked by Dimitri Patterson for -4 yards,0.540,-0.540
1,3:35,2,14,DAL 20,0,0,Stephen McGee pass complete short right to Martellus Bennett for no gain,-0.540,-1.220
1,2:49,3,14,DAL 20,0,0,"Stephen McGee pass incomplete. Penalty on Stephen McGee: Intentional Grounding, 10 yards",-1.220,-2.490
1,2:44,4,24,DAL 10,0,0,"Mat McBriar punts 42 yards, returned by Chad Hall for 13 yards (tackle by L.P. Ladouceur)",-2.490,-2.980
1,2:31,1,10,DAL 39,0,0,Kevin Kolb pass incomplete deep middle intended for Jason Avant,2.980,2.440
1,2:21,2,10,DAL 39,0,0,Kevin Kolb pass complete short middle to Jason Avant for 21 yards (tackle by Alan Ball),2.440,4.370
1,1:50,1,10,DAL 18,0,0,Kevin Kolb pass incomplete short middle intended for Clay Harbor,4.370,3.800
1,1:46,2,10,DAL 18,0,0,Jerome Harrison middle for 2 yards (tackle by DeMarcus Ware),3.800,3.300
1,1:10,3,8,DAL 16,0,0,Kevin Kolb pass complete short left to Chad Hall for 10 yards (tackle by Mike Jenkins),3.300,5.830
1,0:29,1,6,DAL 6,0,0,Chad Hall middle for 2 yards (tackle by Bradie James),5.830,5.340
Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,DAL 4,0,6,"Kevin Kolb pass complete short left to Chad Hall for 4 yards, touchdown",5.340,7.000
2,,,,DAL 2,0,7,David Akers kicks extra point good,0.000,0.000
2,,,,PHI 30,0,7,"David Akers kicks off 70 yards, returned by Bryan McCann for 17 yards (tackle by Moise Fokou)",0.000,-0.060
2,14:49,1,10,DAL 17,0,7,Felix Jones right tackle for 20 yards (tackle by Trevard Lindley),-0.060,1.400
2,14:16,1,10,DAL 37,0,7,Tashard Choice right tackle for 5 yards (tackle by Darryl Tapp),1.400,1.530
2,13:43,2,5,DAL 42,0,7,Tashard Choice right end for 2 yards (tackle by Akeem Jordan),1.530,1.090
2,13:00,3,3,DAL 44,0,7,Stephen McGee pass incomplete short right intended for Manuel Johnson,1.090,-0.460
2,12:57,4,3,DAL 44,0,7,"Mat McBriar punts 48 yards, fair catch by Chad Hall",-0.460,0.380
2,12:49,1,10,PHI 8,0,7,Jerome Harrison middle for 4 yards (tackle by Bradie James),-0.380,-0.490
2,12:18,2,6,PHI 12,0,7,Jerome Harrison middle for 3 yards (tackle by Stephen Bowen),-0.490,-0.600
2,11:37,3,3,PHI 15,6,7,"Kevin Kolb sacked by Anthony Spencer for -6 yards. Kevin Kolb fumbles (forced by Anthony Spencer), recovered by DeMarcus Ware at PHI-17 and returned for 17 yards, touchdown",-0.600,-7.000
2,,,,PHI 2,7,7,David Buehler kicks extra point good,0.000,0.000
2,,,,DAL 30,7,7,"David Buehler kicks off 61 yards, returned by Gerard Lawson for 20 yards (tackle by Kenwin Cummings)",0.000,0.870
2,11:20,1,10,PHI 29,7,7,Kevin Kolb pass complete short right to Chad Hall for 8 yards (tackle by Terence Newman),0.870,1.410
2,10:47,2,2,PHI 37,7,7,Jerome Harrison middle for 1 yard (tackle by Igor Olshansky),1.410,0.830
2,10:15,3,1,PHI 38,7,7,Jerome Harrison middle for 5 yards (tackle by Bradie James),0.830,1.800
2,9:43,1,10,PHI 43,7,7,Jerome Harrison middle for 3 yards (tackle by Keith Brooking),1.800,1.660
2,9:03,2,7,PHI 46,7,7,Kevin Kolb pass complete short left to Chad Hall for 9 yards (tackle by Terence Newman),1.660,2.590
