Unnamed: 0,NYJ,CIN
First Downs,15,20
Rush-Yds-TDs,24-93-0,25-79-0
Cmp-Att-Yd-TD-INT,23-37-176-0-2,19-30-325-5-1
Sacked-Yards,4-29,1-2
Net Pass Yards,147,323
Total Yards,240,402
Fumbles-Lost,0-0,2-0
Turnovers,2,1
Penalties-Yards,4-69,4-45
Third Down Conv.,6-15,6-11
Fourth Down Conv.,0-1,0-1
Time of Possession,33:17,26:43
