Quarter,Time,Down,ToGo,Location,NYJ,CIN,Detail,EPB,EPA
1,9:08,3,7,NYJ 23,0,7,Geno Smith sacked by Geno Atkins for -8 yards,-0.560,-2.440
1,8:37,4,15,NYJ 15,0,7,"Ryan Quigley punts 56 yards, returned by Brandon Tate for 13 yards (tackle by Josh Cribbs). Penalty on Taylor Mays: Offensive Holding, 10 yards",-2.440,-1.070
1,8:22,1,10,CIN 32,0,7,BenJarvus Green-Ellis up the middle for 6 yards (tackle by David Harris and Antonio Allen),1.070,1.340
1,7:36,2,4,CIN 38,0,7,Andy Dalton pass complete short middle to A.J. Green for 9 yards (tackle by Antonio Allen),1.340,2.060
1,7:11,1,10,CIN 47,0,7,Andy Dalton pass complete short left to Tyler Eifert for 16 yards (tackle by Dawan Landry),2.060,3.120
1,6:28,1,10,NYJ 37,0,7,BenJarvus Green-Ellis left tackle for 3 yards (tackle by Antonio Allen and Demario Davis),3.120,2.980
1,5:51,2,7,NYJ 34,0,7,Andy Dalton pass complete short middle to Marvin Jones for 30 yards (tackle by Dee Milliner),2.980,6.280
1,5:05,1,4,NYJ 4,0,7,BenJarvus Green-Ellis up the middle for no gain (tackle by Calvin Pace),6.280,5.340
1,4:26,2,4,NYJ 4,0,13,"Andy Dalton pass complete short left to Jermaine Gresham for 4 yards, touchdown",5.340,7.000
1,4:26,,,NYJ 2,0,14,Mike Nugent kicks extra point good,0.000,0.000
1,4:26,,,CIN 35,0,14,"Mike Nugent kicks off 69 yards, returned by Josh Cribbs for 24 yards (tackle by Jayson DiManche)",0.000,-0.280
1,4:15,1,10,NYJ 20,0,14,Bilal Powell left end for -3 yards (tackle by Vontaze Burfict),0.280,-0.790
1,3:34,2,13,NYJ 17,0,14,Geno Smith pass incomplete short left intended for Stephen Hill,-0.790,-1.510
1,3:28,3,13,NYJ 17,0,14,Geno Smith pass complete short left to Bilal Powell for 17 yards,-1.510,1.200
1,2:51,1,10,NYJ 34,0,14,Geno Smith left end for 5 yards (tackle by James Harrison),1.200,1.330
1,2:13,2,5,NYJ 39,0,14,Chris Ivory left end for -2 yards (tackle by Domata Peko and James Harrison),1.330,0.370
1,1:30,3,7,NYJ 37,0,14,Geno Smith sacked by Reggie Nelson for -11 yards,0.370,-1.630
1,1:00,4,18,NYJ 26,0,14,"Ryan Quigley punts 49 yards, returned by Brandon Tate for 11 yards (tackle by Troy Davis)",-1.630,-1.330
1,0:48,1,10,CIN 36,0,14,Andy Dalton pass complete deep middle to A.J. Green for 53 yards (tackle by Antonio Cromartie),1.330,4.840
Quarter,Time,Down,ToGo,Location,NYJ,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYJ 11,0,14,Andy Dalton pass complete short left to Giovani Bernard for 9 yards (tackle by Calvin Pace),4.840,5.850
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
2,14:46,2,1,NYJ 2,0,14,BenJarvus Green-Ellis up the middle for no gain (tackle by Damon Harrison and Kenrick Ellis),5.850,5.120
2,14:04,3,1,NYJ 2,0,14,Andy Dalton pass incomplete short right intended for Tyler Eifert (defended by Dawan Landry),5.120,3.250
2,14:01,4,1,NYJ 2,0,14,BenJarvus Green-Ellis right guard for no gain (tackle by Demario Davis),3.250,0.380
2,13:56,1,10,NYJ 2,0,14,Chris Ivory left tackle for 3 yards (tackle by Rey Maualuga and James Harrison),-0.380,-0.560
2,13:15,2,7,NYJ 5,0,14,Geno Smith pass complete short middle to David Nelson for 6 yards (tackle by Vontaze Burfict),-0.560,-0.370
2,12:33,3,1,NYJ 11,0,14,Bilal Powell right guard for no gain (tackle by Chris Crocker),-0.370,-2.490
2,11:55,4,1,NYJ 11,0,14,Ryan Quigley punts 48 yards (tackle by Ellis Lankster),-2.490,-1.730
2,11:44,1,10,CIN 42,0,14,Andy Dalton sacked by Muhammad Wilkerson for -2 yards,1.730,0.920
2,11:12,2,12,CIN 40,0,14,Andy Dalton pass incomplete short middle intended for Jermaine Gresham,0.920,0.230
2,11:07,3,12,CIN 40,0,14,Andy Dalton pass incomplete short middle intended for Giovani Bernard is intercepted by Muhammad Wilkerson at CIN-36 and returned for 6 yards,0.230,-3.580
2,11:00,1,10,CIN 30,0,14,Geno Smith pass incomplete deep middle intended for Jeff Cumberland (defended by Vontaze Burfict),3.580,3.030
2,10:53,2,10,CIN 30,0,14,"Chris Ivory right guard for no gain (tackle by Rey Maualuga). Penalty on Brian Winters: Offensive Holding, 10 yards (no play)",3.030,1.680
2,10:27,2,20,CIN 40,0,14,Geno Smith pass complete short left to David Nelson for 6 yards,1.680,1.820
2,9:55,3,14,CIN 34,0,14,Geno Smith pass complete short left to David Nelson for 7 yards,1.820,1.670
2,9:14,4,7,CIN 27,3,14,Nick Folk 45 yard field goal good,1.670,3.000
2,9:14,,,NYJ 35,3,14,"Nick Folk kicks off 67 yards, returned by Brandon Tate for 16 yards (tackle by Ellis Lankster)",0.000,0.280
2,9:04,1,10,CIN 14,3,14,BenJarvus Green-Ellis left guard for 6 yards (tackle by Antonio Allen),-0.280,0.150
2,8:32,2,4,CIN 20,3,14,BenJarvus Green-Ellis right guard for 5 yards (tackle by Quinton Coples),0.150,0.610
2,7:51,1,10,CIN 25,3,14,Andy Dalton pass complete deep left to Mohamed Sanu for 24 yards (tackle by Dee Milliner),0.610,2.190
2,7:25,1,10,CIN 49,3,14,Andy Dalton pass incomplete short right intended for A.J. Green,2.190,1.650
2,7:18,2,10,CIN 49,3,14,Andy Dalton pass complete short left to Marvin Jones for 45 yards (tackle by Dawan Landry and Antonio Allen),1.650,1.650
2,6:26,2,10,CIN 49,3,14,Timeout #1 by Cincinnati Bengals,1.650,5.830
2,6:26,1,6,NYJ 6,3,14,Andy Dalton pass incomplete short right intended for A.J. Green,5.830,4.950
2,6:21,2,6,NYJ 6,3,14,Andy Dalton pass incomplete short middle intended for Tyler Eifert,4.950,4.040
2,6:18,3,6,NYJ 6,3,20,"Andy Dalton pass complete short left to Marvin Jones for 6 yards, touchdown",4.040,7.000
2,6:18,,,NYJ 2,3,21,Mike Nugent kicks extra point good,0.000,0.000
2,6:18,,,CIN 35,3,21,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
2,6:13,1,10,NYJ 20,3,21,Geno Smith pass complete deep right to David Nelson for 26 yards (tackle by George Iloka),0.280,1.990
2,5:33,1,10,NYJ 46,3,21,Geno Smith pass complete short middle to David Nelson for 7 yards (tackle by Terence Newman),1.990,2.400
2,4:51,2,3,CIN 47,3,21,Bilal Powell left guard for 2 yards (tackle by Vontaze Burfict and Brandon Thompson),2.400,1.950
2,4:16,3,1,CIN 45,3,21,Chris Ivory right guard for 2 yards (tackle by Rey Maualuga),1.950,2.720
2,3:47,1,10,CIN 43,3,21,Geno Smith pass complete short middle to Jeff Cumberland for 9 yards (tackle by Michael Boley),2.720,3.390
2,3:06,2,1,CIN 34,3,21,Bilal Powell right guard for 1 yard (tackle by Chris Crocker and Vontaze Burfict),3.390,3.380
2,2:25,1,10,CIN 33,3,21,Geno Smith pass complete short middle to Jeremy Kerley for 7 yards (tackle by Chris Crocker),3.380,3.780
2,2:00,2,3,CIN 26,3,21,Geno Smith pass complete short right to Bilal Powell for -4 yards (tackle by Terence Newman),3.780,2.540
2,1:18,3,7,CIN 30,3,21,Geno Smith pass incomplete short left intended for David Nelson,2.540,1.410
2,1:13,4,7,CIN 30,6,21,Nick Folk 47 yard field goal good,1.410,3.000
2,1:13,,,NYJ 35,6,21,"Nick Folk kicks off 65 yards, returned by Brandon Tate for 71 yards (tackle by Antonio Allen)",0.000,-3.640
2,0:57,1,10,NYJ 29,6,21,Andy Dalton pass complete short middle to Marvin Jones for 12 yards (tackle by Antonio Allen),3.640,4.440
2,0:35,1,10,NYJ 17,6,21,Giovani Bernard right guard for 3 yards (tackle by Muhammad Wilkerson and Dawan Landry),4.440,4.440
2,0:27,1,10,NYJ 17,6,21,Timeout #2 by Cincinnati Bengals,4.440,4.320
2,0:27,2,7,NYJ 14,6,21,Andy Dalton pass incomplete short middle intended for Mohamed Sanu (defended by Dawan Landry),4.320,4.320
2,0:23,2,7,NYJ 14,6,21,Timeout #1 by New York Jets,4.320,3.500
2,0:23,3,7,NYJ 14,6,27,"Andy Dalton pass complete short right to Marvin Jones for 14 yards, touchdown",3.500,7.000
2,0:23,,,NYJ 2,6,28,Mike Nugent kicks extra point good,0.000,0.000
2,0:23,,,CIN 35,6,28,"Mike Nugent kicks off 38 yards, returned by Troy Davis for 7 yards (tackle by Jayson DiManche)",0.000,-1.200
2,0:09,1,10,NYJ 34,6,28,Bilal Powell right tackle for 7 yards (tackle by Taylor Mays),1.200,1.600
Quarter,Time,Down,ToGo,Location,NYJ,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,6,28,"Mike Nugent kicks off no gain, muffed catch by Josh Cribbs, recovered by Josh Cribbs at NYJ-1, and returned for 27 yards",0.000,0.810
3,14:54,1,10,NYJ 28,6,34,"Geno Smith pass incomplete short right intended for Jeremy Kerley is intercepted by Chris Crocker at NYJ-32 and returned for 32 yards, touchdown",0.810,-7.000
3,14:45,,,NYJ 2,6,35,Mike Nugent kicks extra point good,0.000,0.000
3,14:45,,,CIN 35,6,35,"Mike Nugent kicks off 70 yards, returned by Josh Cribbs for 36 yards (tackle by Mike Nugent)",0.000,-1.000
3,14:37,1,10,NYJ 31,6,35,Geno Smith pass incomplete short middle intended for Bilal Powell (defended by Michael Johnson),1.000,0.460
3,14:32,2,10,NYJ 31,6,35,Chris Ivory right end for 5 yards (tackle by Terence Newman),0.460,0.430
3,13:51,3,5,NYJ 36,6,35,Geno Smith pass complete short left to Bilal Powell for 3 yards (tackle by Vontaze Burfict),0.430,-0.780
3,13:12,4,2,NYJ 39,6,35,"Ryan Quigley punts 46 yards, fair catch by Brandon Tate",-0.780,0.220
3,13:04,1,10,CIN 15,6,35,BenJarvus Green-Ellis right guard for 5 yards (tackle by Calvin Pace),-0.220,0.080
3,12:28,2,5,CIN 20,6,35,BenJarvus Green-Ellis right guard for 1 yard (tackle by Damon Harrison),0.080,-0.630
3,11:46,3,4,CIN 21,6,35,Andy Dalton pass incomplete deep left intended for A.J. Green,-0.630,-1.960
3,11:40,4,4,CIN 21,6,35,"Kevin Huber punts 53 yards, returned by Josh Cribbs for 4 yards (tackle by Shawn Williams). Penalty on Ellis Lankster: Illegal Block Above the Waist, 10 yards",-1.960,0.140
3,11:26,1,10,NYJ 16,6,35,Bilal Powell left end for 4 yards (tackle by Vontaze Burfict),-0.140,0.010
3,10:48,2,6,NYJ 20,6,35,"Geno Smith pass incomplete deep right intended for Jeff Cumberland (defended by Terence Newman). Penalty on Terence Newman: Unnecessary Roughness, 15 yards (no play)",0.010,1.270
3,10:42,1,10,NYJ 35,6,35,Chris Ivory left guard for 1 yard (tackle by James Harrison and Vontaze Burfict),1.270,0.860
3,10:02,2,9,NYJ 36,6,35,Geno Smith pass complete short left to Stephen Hill for 5 yards,0.860,0.830
3,9:23,3,4,NYJ 41,6,35,Geno Smith pass complete short middle to Stephen Hill for 4 yards (tackle by Michael Boley),0.830,1.930
3,8:38,1,10,NYJ 45,6,35,Geno Smith pass complete short left to Bilal Powell for 4 yards (tackle by Michael Boley),1.930,1.920
3,8:04,2,6,NYJ 49,6,35,Geno Smith pass complete short middle to Zach Sudfeld for 5 yards (tackle by Michael Boley),1.920,1.880
3,7:29,3,1,CIN 46,6,35,Bilal Powell up the middle for 2 yards (tackle by Vontaze Burfict),1.880,2.650
3,6:51,1,10,CIN 44,6,35,Geno Smith pass incomplete short left intended for Stephen Hill,2.650,2.110
3,6:45,2,10,CIN 44,6,35,Geno Smith pass complete short right to David Nelson for 19 yards,2.110,3.910
3,6:11,1,10,CIN 25,6,35,Chris Ivory right tackle for 2 yards (tackle by Vontaze Burfict),3.910,3.630
3,5:36,2,8,CIN 23,6,35,Geno Smith sacked by Brandon Thompson for -9 yards,3.630,1.750
3,4:59,3,17,CIN 32,6,35,Geno Smith pass incomplete short left intended for Bilal Powell,1.750,1.240
3,4:53,4,17,CIN 32,9,35,Nick Folk 50 yard field goal good,1.240,3.000
3,4:53,,,NYJ 35,9,35,"Nick Folk kicks off 66 yards, returned by Brandon Tate for 27 yards (tackle by Troy Davis)",0.000,-0.670
3,4:43,1,10,CIN 26,9,35,Giovani Bernard left end for 3 yards (tackle by Sheldon Richardson and Darrin Walls),0.670,0.540
3,4:01,2,7,CIN 29,9,35,Andy Dalton pass complete short right to Dane Sanzenbacher for 9 yards (tackle by Jaiquawn Jarrett),0.540,1.470
3,3:33,1,10,CIN 38,9,35,Andy Dalton pass incomplete short left intended for Brandon Tate,1.470,0.920
3,3:29,2,10,CIN 38,9,35,Giovani Bernard left tackle for 3 yards (tackle by Garrett McIntyre),0.920,0.630
3,2:49,3,7,CIN 41,9,35,Andy Dalton pass complete deep middle to A.J. Green for 53 yards (tackle by Antonio Cromartie),0.630,5.830
3,2:00,1,6,NYJ 6,9,35,Andy Dalton pass complete short right to Marvin Jones for no gain,5.830,4.950
3,1:20,2,6,NYJ 6,9,41,"Andy Dalton pass complete short left to Marvin Jones for 6 yards, touchdown",4.950,7.000
3,1:20,,,NYJ 2,9,42,Mike Nugent kicks extra point good,0.000,0.000
3,1:20,,,CIN 35,9,42,"Mike Nugent kicks off 73 yards, returned by Josh Cribbs for 22 yards (tackle by Jayson DiManche)",0.000,0.280
3,1:09,1,10,NYJ 14,9,42,Geno Smith pass complete short left to Jeremy Kerley for 6 yards (tackle by Chris Crocker),-0.280,0.150
3,0:40,2,4,NYJ 20,9,42,Geno Smith pass complete short right to Stephen Hill for 8 yards (tackle by Dre Kirkpatrick). Penalty on Dre Kirkpatrick: Illegal Use of Hands (Declined),0.150,0.810
3,0:14,1,10,NYJ 28,9,42,"Bilal Powell up the middle for 4 yards (tackle by Carlos Dunlap and Vontaze Burfict). Penalty on David Nelson: Unnecessary Roughness, 15 yards",0.810,-1.360
Quarter,Time,Down,ToGo,Location,NYJ,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,21,NYJ 17,9,42,"Geno Smith pass complete short left to Stephen Hill for 6 yards. Penalty on Vontaze Burfict: Personal Foul, 15 yards",-1.360,1.470
4,14:36,1,10,NYJ 38,9,42,Geno Smith pass incomplete short right intended for Stephen Hill,1.470,0.920
4,14:31,2,10,NYJ 38,9,42,Geno Smith pass complete short middle to David Nelson for 4 yards (tackle by Vontaze Burfict),0.920,0.760
4,13:53,3,6,NYJ 42,9,42,Geno Smith pass complete deep left to Jeremy Kerley for 14 yards (tackle by Chris Crocker),0.760,2.650
4,13:24,1,10,CIN 44,9,48,"Geno Smith pass incomplete short left intended for David Nelson, touchdown",2.650,-7.000
4,13:09,,,NYJ 2,9,49,Mike Nugent kicks extra point good,0.000,0.000
4,13:09,,,CIN 35,9,49,"Mike Nugent kicks off 68 yards, returned by Josh Cribbs for 23 yards (tackle by Cedric Peerman)",0.000,-0.280
4,13:04,1,10,NYJ 20,9,49,Bilal Powell right tackle for 1 yard (tackle by Brandon Thompson and Michael Johnson),0.280,-0.130
4,12:34,2,9,NYJ 21,9,49,Matt Simms pass complete short left to David Nelson for 5 yards,-0.130,-0.160
4,12:03,3,4,NYJ 26,9,49,Matt Simms pass complete short right to Zach Sudfeld for 5 yards (tackle by Jayson DiManche),-0.160,1.000
4,11:32,1,10,NYJ 31,9,49,Bilal Powell right guard for 1 yard (tackle by Brandon Thompson and Domata Peko),1.000,0.600
4,10:58,2,9,NYJ 32,9,49,Matt Simms for 3 yards (tackle by Michael Johnson),0.600,0.300
4,10:33,3,6,NYJ 35,9,49,Matt Simms pass incomplete short right intended for David Nelson (defended by Brandon Ghee),0.300,-1.040
4,10:26,4,6,NYJ 35,9,49,"Ryan Quigley punts 49 yards, muffed catch by Brandon Tate, recovered by Brandon Tate and returned for -5 yards (tackle by Demario Davis)",-1.040,0.280
4,10:15,1,10,CIN 14,9,49,"Josh Johnson for 2 yards. Josh Johnson fumbles, recovered by Josh Johnson at CIN-14",-0.280,-0.510
4,9:41,2,8,CIN 16,9,49,Cedric Peerman left end for -1 yards (tackle by Quinton Coples and Damon Harrison),-0.510,-1.280
4,9:02,3,9,CIN 15,9,49,Josh Johnson up the middle for 5 yards (tackle by Muhammad Wilkerson),-1.280,-2.030
4,8:30,4,4,CIN 20,9,49,"Kevin Huber punts 58 yards, returned by Josh Cribbs for 10 yards (tackle by Orson Charles)",-2.030,-1.070
4,8:18,1,10,NYJ 32,9,49,Matt Simms pass incomplete deep right intended for Michael Campbell (defended by Brandon Ghee),1.070,0.530
4,8:12,2,10,NYJ 32,9,49,Matt Simms up the middle for 22 yards (tackle by Shawn Williams),0.530,2.520
4,7:36,1,10,CIN 46,9,49,Matt Simms pass complete short left to Alex Green for 7 yards (tackle by Vincent Rey),2.520,2.920
4,7:07,2,3,CIN 39,9,49,Alex Green right guard for 8 yards (tackle by Michael Johnson and Dre Kirkpatrick),2.920,3.510
4,6:27,1,10,CIN 31,9,49,Matt Simms pass incomplete short right intended for David Nelson,3.510,2.970
4,6:22,2,10,CIN 31,9,49,Matt Simms pass incomplete deep left intended for Michael Campbell,2.970,2.280
4,6:15,3,10,CIN 31,9,49,Matt Simms sacked by James Harrison for -1 yards,2.280,1.240
4,5:35,4,11,CIN 32,9,49,Matt Simms right end for 10 yards (tackle by Brandon Ghee and Jayson DiManche),1.240,-0.340
4,5:13,1,10,CIN 21,9,49,Cedric Peerman left tackle for 3 yards (tackle by Josh Bush),0.340,0.210
4,4:35,2,7,CIN 24,9,49,Cedric Peerman right guard for 5 yards (tackle by Ellis Lankster and Damon Harrison),0.210,0.170
4,3:52,3,2,CIN 29,9,49,Josh Johnson up the middle for 10 yards (tackle by Quinton Coples),0.170,1.530
4,3:09,1,10,CIN 39,9,49,Cedric Peerman left tackle for -4 yards (tackle by Josh Bush),1.530,0.450
4,2:31,2,14,CIN 35,9,49,Cedric Peerman up the middle for 4 yards (tackle by Josh Bush and Quinton Coples),0.450,0.300
4,2:00,3,10,CIN 39,9,49,Cedric Peerman right guard for 4 yards (tackle by Damon Harrison and Darrin Walls),0.300,-0.520
4,1:19,4,6,CIN 43,9,49,Kevin Huber punts 50 yards,-0.520,0.380
4,1:07,1,10,NYJ 7,9,49,Alex Green left guard for 9 yards (tackle by Shawn Williams and Brandon Ghee),-0.380,-0.020
4,0:32,2,1,NYJ 16,9,49,Alex Green right guard for 3 yards (tackle by Margus Hunt and James Harrison),-0.020,0.150
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
