Quarter,Time,Tm,Detail,CAR,KAN
1.0,11:49,Chiefs,Peyton Hillis 2 yard rush (Ryan Succop kick),0,7
,8:46,Panthers,Greg Olsen 47 yard pass from Cam Newton (Graham Gano kick),7,7
,3:20,Chiefs,Ryan Succop 42 yard field goal,7,10
2.0,13:27,Panthers,Steve Smith Sr. 23 yard pass from Cam Newton (Graham Gano kick),14,10
,0:00,Chiefs,Tony Moeaki 1 yard pass from Brady Quinn (Ryan Succop kick),14,17
3.0,2:52,Chiefs,Jonathan Baldwin 3 yard pass from Brady Quinn (Ryan Succop kick),14,24
4.0,13:21,Panthers,Louis Murphy 8 yard pass from Cam Newton (Graham Gano kick),21,24
,4:54,Chiefs,Ryan Succop 52 yard field goal,21,27
