Unnamed: 0,CAR,KAN
First Downs,19,23
Rush-Yds-TDs,22-165-0,43-158-1
Cmp-Att-Yd-TD-INT,15-27-232-3-0,19-23-201-2-0
Sacked-Yards,2-12,1-4
Net Pass Yards,220,197
Total Yards,385,355
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,7-45,1-5
Third Down Conv.,6-10,6-14
Fourth Down Conv.,0-0,3-3
Time of Possession,22:47,37:13
