Unnamed: 0,TAM,SFO
First Downs,20,11
Rush-Yds-TDs,24-67-0,29-97-0
Cmp-Att-Yd-TD-INT,30-52-381-2-1,11-24-123-3-1
Sacked-Yards,4-14,2-7
Net Pass Yards,367,116
Total Yards,434,213
Fumbles-Lost,3-1,1-1
Turnovers,2,2
Penalties-Yards,8-56,8-72
Third Down Conv.,7-19,4-14
Fourth Down Conv.,1-3,0-0
Time of Possession,34:29,25:31
