Quarter,Time,Tm,Detail,STL,SEA
1.0,9:11,Rams,Victor Adeyanju 89 yard defensive fumble return (Jeff Wilkins kick),7,0
,5:45,Seahawks,Darrell Jackson 3 yard pass from Seneca Wallace (Josh Brown kick),7,7
,0:07,Rams,Jeff Wilkins 40 yard field goal,10,7
2.0,7:39,Seahawks,Jerramy Stevens 15 yard pass from Seneca Wallace (Josh Brown kick),10,14
,0:27,Rams,Jeff Wilkins 42 yard field goal,13,14
3.0,5:41,Rams,Jeff Wilkins 35 yard field goal,16,14
4.0,8:19,Seahawks,Nate Burleson 90 yard punt return (Josh Brown kick),16,21
,2:30,Rams,Steven Jackson 14 yard rush (pass failed),22,21
,0:09,Seahawks,Josh Brown 38 yard field goal,22,24
