Unnamed: 0,WAS,BUF
First Downs,10,17
Rush-Yds-TDs,11-26-0,33-138-0
Cmp-Att-Yd-TD-INT,20-33-208-0-2,21-27-262-2-1
Sacked-Yards,10-56,2-10
Net Pass Yards,152,252
Total Yards,178,390
Fumbles-Lost,1-0,1-1
Turnovers,2,2
Penalties-Yards,4-59,6-35
Third Down Conv.,4-14,7-14
Fourth Down Conv.,0-2,0-0
Time of Possession,25:09,34:51
