Unnamed: 0,ARI,PHI
First Downs,24,23
Rush-Yds-TDs,22-90-0,34-105-0
Cmp-Att-Yd-TD-INT,24-41-302-3-2,21-34-237-3-0
Sacked-Yards,5-42,5-35
Net Pass Yards,260,202
Total Yards,350,307
Fumbles-Lost,2-1,2-0
Turnovers,3,0
Penalties-Yards,6-55,5-48
Third Down Conv.,4-12,5-16
Fourth Down Conv.,1-2,1-1
Time of Possession,30:39,29:21
